hisse,tarih,kat,grup,pos52,acilis,ovol,ciro_TL,kapanis
BORLS,2026-06-02,0.1,DIP,0.1,5.7,49195,280411,5.7
BORLS,2026-06-03,0.2,DIP,0.1,5.7,107411,612242,6.27
BORLS,2026-06-04,0.9,DIP,0.12,6.41,550546,3528999,6.45
BORLS,2026-06-05,0.3,DIP,0.13,6.44,140374,904008,6.15
BORLS,2026-06-08,0.3,DIP,0.12,6.2,121587,753839,5.99
BORLS,2026-06-09,0.2,DIP,0.11,5.85,68085,398297,5.6
BORLS,2026-06-10,0.1,DIP,0.1,5.61,32485,182240,5.38
BORLS,2026-06-11,0.1,DIP,0.09,5.42,12223,66248,5.52
BORLS,2026-06-12,0.3,DIP,0.1,5.53,66910,370012,5.41
BORLS,2026-06-15,0.5,DIP,0.1,5.58,92536,516350,5.47
BORLS,2026-06-16,0.2,DIP,0.09,5.47,47419,259381,5.62
BORLS,2026-06-17,0.1,DIP,0.1,5.61,19048,106859,5.53
BORLS,2026-06-18,0.0,DIP,0.1,5.54,5965,33046,5.87
BORLS,2026-06-19,0.5,DIP,0.11,5.92,90577,536215,6.45
BORLS,2026-06-22,9.8,DIP,0.13,6.65,1729388,11500430,6.89
BTCIM,2026-06-02,0.3,tepe,0.82,6.4,162922,1042700,6.35
BTCIM,2026-06-03,0.6,tepe,0.81,6.39,279297,1784707,6.14
BTCIM,2026-06-04,0.3,orta,0.77,6.22,153853,956965,6.26
BTCIM,2026-06-05,0.3,orta,0.78,6.26,136174,852449,6.05
BTCIM,2026-06-08,0.2,orta,0.72,6.03,85128,513321,6.06
BTCIM,2026-06-09,0.3,orta,0.72,6.06,122855,744501,5.84
BTCIM,2026-06-10,0.4,orta,0.66,5.83,201025,1171975,5.87
BTCIM,2026-06-11,0.4,orta,0.67,5.87,163388,959087,5.82
BTCIM,2026-06-12,0.7,orta,0.67,5.87,314324,1845081,5.84
BTCIM,2026-06-15,0.9,orta,0.68,5.9,408234,2408580,5.92
BTCIM,2026-06-16,0.1,orta,0.69,5.94,51220,304246,5.94
BTCIM,2026-06-17,0.1,orta,0.69,5.95,31922,189935,5.94
BTCIM,2026-06-18,0.2,orta,0.7,5.96,69133,412032,5.97
BTCIM,2026-06-19,0.5,orta,0.69,5.95,202778,1206529,6.04
BTCIM,2026-06-22,3.2,orta,0.72,6.05,1307824,7912335,6.17
