tarih,kat,en_yuksek_%,barem,stop,hisse
2026-05-22,18.299137836952966,17.0,+5%+,False,ADGYO
2026-05-22,23.640641711229947,6.33,+5%+,False,AGESA
2026-05-22,42.154283308777096,12.0,+5%+,False,AGYO
2026-06-02,9.935461025978796,4.75,+4%,False,AKENR
2026-06-03,24.503034901365705,0.17,stop/<1%,True,AKMGY
2026-06-02,12.739151873767259,0.08,stop/<1%,True,ARASE
2026-06-02,8.147369803638274,5.25,+5%+,False,ARENA
2026-06-04,30.91521278925469,4.52,+4%,True,ARTMS
2025-03-25,8.324569091440257,0.0,stop/<1%,False,ATEKS
2025-03-26,8.910365095512603,0.0,stop/<1%,False,ATEKS
2025-04-09,8.051390268123138,0.0,stop/<1%,False,ATEKS
2025-07-02,9.22009253139458,0.71,stop/<1%,False,ATEKS
2025-08-05,10.443414956982132,3.04,+3%,False,ATEKS
2025-10-24,18.72877122877123,8.57,+5%+,False,ATEKS
2025-12-17,25.6110408765276,0.0,stop/<1%,False,ATEKS
2024-07-24,22.688772160210114,0.0,stop/<1%,False,ATSYH
2024-10-09,9.422313350257111,14.58,+5%+,False,ATSYH
2024-12-31,11.823022557846837,0.0,stop/<1%,False,ATSYH
2025-02-03,8.5625,0.0,stop/<1%,True,ATSYH
2025-02-11,8.401725512941347,5.3,+5%+,False,ATSYH
2025-04-04,10.90035467791411,0.0,stop/<1%,False,ATSYH
2026-06-05,227.04248704663212,1.57,+1%,True,AVGYO
2026-06-05,17.028252053300616,5.21,+5%+,True,AVHOL
2026-06-04,37.7,0.0,stop/<1%,True,AYCES
2024-01-26,11.153211387705904,0.0,stop/<1%,True,AYES
2024-05-06,9.11007087005409,0.0,stop/<1%,False,AYES
2024-05-07,11.668909187386477,0.0,stop/<1%,True,AYES
2025-05-14,9.07392996108939,0.0,stop/<1%,False,AYES
2025-06-02,17.34700236819134,0.0,stop/<1%,False,AYES
2025-06-03,9.443098891562448,0.0,stop/<1%,False,AYES
2025-07-22,23.16788956597425,0.94,stop/<1%,False,AYES
2025-11-26,9.54195998517949,8.07,+5%+,False,AYES
2026-02-05,10.241457325635778,16.47,+5%+,False,AYES
2026-05-05,10.10306067975555,0.99,stop/<1%,False,AYES
2026-05-15,9.285782625334813,0.0,stop/<1%,False,AYES
2026-06-03,13.29328404189772,10.36,+5%+,False,BAHKM
2026-05-21,24.498922413793103,0.0,stop/<1%,True,BAKAB
2023-12-20,9.444604685446912,7.07,+5%+,False,BALAT
