tarih,hisse,kat,kat_kova,en_yuksek_%,barem,stop
2026-05-26,A1CAP,10.78,8x+,0.8,stop/<1%,False
2026-05-26,A1YEN,4.98,3-5x,1.46,+1%,False
2026-05-26,AAGYO,21.67,8x+,0.39,stop/<1%,False
2026-05-20,ACSEL,7.26,5-8x,2.85,+2%,True
2026-05-26,ACSEL,33.79,8x+,1.62,+1%,True
2026-05-26,ADEL,14.13,8x+,0.0,stop/<1%,True
2026-05-26,ADESE,5.18,5-8x,2.97,+2%,False
2026-05-22,ADGYO,9.44,8x+,17.0,+5%+,False
2026-05-25,ADGYO,3.08,3-5x,3.98,+3%,False
2026-05-26,ADGYO,13.78,8x+,0.52,stop/<1%,True
2026-05-26,AFYON,13.64,8x+,0.95,stop/<1%,False
2026-05-22,AGESA,13.5,8x+,6.33,+5%+,False
2026-05-26,AGESA,6.37,5-8x,0.17,stop/<1%,False
2026-05-22,AGYO,9.07,8x+,12.0,+5%+,False
2026-05-22,AKCNS,4.28,3-5x,9.47,+5%+,False
2026-05-25,AKCNS,8.04,8x+,1.64,+1%,False
2026-05-26,AKCNS,39.99,8x+,5.49,+5%+,False
2026-05-26,AKENR,13.59,8x+,2.69,+2%,False
2026-05-22,AKFGY,3.03,3-5x,4.56,+4%,False
2026-05-26,AKFGY,18.51,8x+,0.36,stop/<1%,False
2026-05-15,AKFIS,3.3,3-5x,0.61,stop/<1%,True
2026-05-18,AKFIS,4.54,3-5x,10.84,+5%+,False
2026-05-26,AKFIS,55.35,8x+,3.04,+3%,False
2026-05-26,AKFYE,9.35,8x+,0.18,stop/<1%,False
2026-05-26,AKGRT,7.06,5-8x,0.14,stop/<1%,False
2026-06-03,AKGRT,3.33,3-5x,0.52,stop/<1%,False
2026-05-26,AKHAN,28.68,8x+,0.0,stop/<1%,False
2026-05-26,AKSGY,7.94,5-8x,0.0,stop/<1%,False
2026-05-21,AKSUE,4.02,3-5x,1.09,+1%,True
2026-05-26,AKSUE,14.09,8x+,0.48,stop/<1%,False
2026-05-26,AKYHO,15.39,8x+,0.73,stop/<1%,False
2026-05-26,ALBRK,8.56,8x+,0.76,stop/<1%,False
2026-05-14,ALCAR,32.94,8x+,1.88,+1%,False
2026-05-26,ALCAR,28.03,8x+,0.0,stop/<1%,False
2026-05-26,ALCTL,58.15,8x+,4.05,+4%,False
2026-05-22,ALGYO,5.81,5-8x,13.93,+5%+,False
2026-05-26,ALGYO,9.56,8x+,2.12,+2%,False
2026-05-26,ALKA,5.6,5-8x,1.15,+1%,False
2026-05-26,ALKIM,10.25,8x+,0.0,stop/<1%,False
2026-05-26,ALKLC,4.32,3-5x,3.4,+3%,False
2026-05-21,ALVES,4.88,3-5x,0.66,stop/<1%,True
2026-05-22,ALVES,7.95,5-8x,6.15,+5%+,False
2026-05-26,ALVES,12.58,8x+,0.75,stop/<1%,False
2026-05-26,ANELE,3.97,3-5x,9.3,+5%+,False
2026-05-26,ANGEN,9.17,8x+,2.24,+2%,False
2026-05-26,ARASE,4.51,3-5x,5.51,+5%+,False
2026-06-02,ARASE,3.34,3-5x,0.08,stop/<1%,True
2026-05-26,ARENA,10.32,8x+,0.28,stop/<1%,False
2026-05-26,ARFYE,73.14,8x+,2.19,+2%,False
2026-05-18,ARMGD,39.63,8x+,20.7,+5%+,False
2026-05-26,ARMGD,4.07,3-5x,1.45,+1%,False
2026-05-26,ARSAN,21.44,8x+,1.17,+1%,False
2026-05-15,ARTMS,20.13,8x+,0.69,stop/<1%,False
2026-05-18,ARTMS,3.3,3-5x,3.26,+3%,False
2026-05-26,ARTMS,17.8,8x+,0.97,stop/<1%,False
2026-06-04,ARTMS,9.81,8x+,4.52,+4%,True
2026-05-26,ARZUM,18.49,8x+,0.0,stop/<1%,False
2026-05-26,ASGYO,4.03,3-5x,0.34,stop/<1%,False
2026-05-26,ASUZU,13.68,8x+,0.08,stop/<1%,False
2026-04-28,ATAGY,9.87,8x+,1.4,+1%,False
2026-05-25,ATAKP,5.97,5-8x,2.89,+2%,False
2026-05-26,ATAKP,10.29,8x+,0.55,stop/<1%,False
2026-05-20,ATATP,6.22,5-8x,1.41,+1%,True
2026-05-26,ATATP,63.89,8x+,5.5,+5%+,True
2026-05-26,ATATR,29.03,8x+,2.05,+2%,False
2025-03-18,ATEKS,6.72,5-8x,0.58,stop/<1%,True
2025-03-25,ATEKS,16.82,8x+,0.0,stop/<1%,False
2025-03-26,ATEKS,25.34,8x+,0.0,stop/<1%,False
2025-03-27,ATEKS,18.62,8x+,22.16,+5%+,False
2025-03-28,ATEKS,11.59,8x+,0.0,stop/<1%,True
2025-04-09,ATEKS,6.19,5-8x,0.0,stop/<1%,False
2025-04-10,ATEKS,4.95,3-5x,0.0,stop/<1%,False
2025-04-11,ATEKS,6.89,5-8x,0.0,stop/<1%,False
2025-07-02,ATEKS,6.65,5-8x,0.71,stop/<1%,False
2025-07-04,ATEKS,5.74,5-8x,2.31,+2%,False
2025-07-17,ATEKS,4.51,3-5x,0.0,stop/<1%,True
2025-08-05,ATEKS,3.16,3-5x,3.04,+3%,False
2025-08-06,ATEKS,3.22,3-5x,0.84,stop/<1%,False
2025-08-19,ATEKS,3.01,3-5x,0.0,stop/<1%,False
2025-10-10,ATEKS,5.27,5-8x,7.75,+5%+,False
2025-10-24,ATEKS,11.47,8x+,8.57,+5%+,False
2025-10-31,ATEKS,3.07,3-5x,0.0,stop/<1%,False
2025-12-17,ATEKS,32.5,8x+,0.0,stop/<1%,False
2025-12-18,ATEKS,20.97,8x+,0.0,stop/<1%,False
2025-12-19,ATEKS,13.03,8x+,2.38,+2%,False
2025-12-22,ATEKS,8.06,8x+,0.93,stop/<1%,False
2025-12-23,ATEKS,5.52,5-8x,0.84,stop/<1%,False
2025-12-24,ATEKS,3.28,3-5x,0.0,stop/<1%,False
2025-12-26,ATEKS,3.85,3-5x,0.0,stop/<1%,False
2026-01-06,ATEKS,9.34,8x+,11.63,+5%+,False
2026-02-10,ATEKS,3.21,3-5x,9.11,+5%+,False
2026-02-13,ATEKS,3.22,3-5x,22.22,+5%+,False
2026-03-10,ATEKS,3.44,3-5x,0.0,stop/<1%,False
2026-04-24,ATEKS,3.17,3-5x,0.0,stop/<1%,True
2026-04-27,ATEKS,3.49,3-5x,0.1,stop/<1%,False
2026-05-26,ATLAS,6.92,5-8x,1.2,+1%,False
2023-06-09,ATSYH,3.04,3-5x,0.0,stop/<1%,True
2023-06-15,ATSYH,6.87,5-8x,20.94,+5%+,False
2023-09-14,ATSYH,3.25,3-5x,0.29,stop/<1%,False
2023-09-15,ATSYH,4.36,3-5x,0.0,stop/<1%,True
2023-09-18,ATSYH,3.26,3-5x,0.0,stop/<1%,False
2023-09-19,ATSYH,5.6,5-8x,0.08,stop/<1%,False
2023-11-03,ATSYH,3.97,3-5x,0.0,stop/<1%,False
