tarih,hisse,kat,kat_kova,acilis,gun_yuksek,gun_dusuk,gun_yuksek_%,gun_dusuk_%,en_yuksek_%,barem,stop,bar_sayisi
2026-05-20,ACSEL,7.26,5-8x,161.4,166.0,149.1,2.85,-7.62,2.85,+2%,True,471
2026-05-22,ADGYO,9.44,8x+,50.0,58.5,50.0,17.0,0.0,17.0,+5%+,False,406
2026-05-25,ADGYO,3.08,3-5x,56.6,58.85,56.6,3.98,0.0,3.98,+3%,False,302
2026-05-22,AGESA,13.5,8x+,221.0,235.0,221.0,6.33,0.0,6.33,+5%+,False,406
2026-05-22,AGYO,9.07,8x+,8.08,9.05,8.08,12.0,0.0,12.0,+5%+,False,257
2026-05-22,AKCNS,4.28,3-5x,196.4,215.0,194.4,9.47,-1.02,9.47,+5%+,False,473
2026-05-25,AKCNS,8.04,8x+,218.9,222.5,213.5,1.64,-2.47,1.64,+1%,False,470
2026-05-22,AKFGY,3.03,3-5x,2.63,2.75,2.62,4.56,-0.38,4.56,+4%,False,415
2026-05-15,AKFIS,3.3,3-5x,66.1,66.5,63.55,0.61,-3.86,0.61,stop/<1%,True,240
2026-05-18,AKFIS,4.54,3-5x,59.5,65.95,57.75,10.84,-2.94,10.84,+5%+,False,473
2026-06-03,AKGRT,3.33,3-5x,7.74,7.78,7.51,0.52,-2.97,0.52,stop/<1%,False,445
2026-06-03,AKMGY,12.42,8x+,294.5,295.0,272.25,0.17,-7.56,0.17,stop/<1%,True,392
2026-05-21,AKSUE,4.02,3-5x,36.6,37.36,33.0,2.08,-9.84,1.09,+1%,True,416
2026-05-14,ALCAR,32.94,8x+,771.5,786.0,770.5,1.88,-0.13,1.88,+1%,False,288
2026-05-22,ALGYO,5.81,5-8x,6.03,6.87,6.0,13.93,-0.5,13.93,+5%+,False,484
2026-05-21,ALVES,4.88,3-5x,3.03,3.05,2.83,0.66,-6.6,0.66,stop/<1%,True,456
2026-05-22,ALVES,7.95,5-8x,2.6,2.76,2.59,6.15,-0.38,6.15,+5%+,False,484
2026-06-02,ARASE,3.34,3-5x,126.9,129.7,121.4,2.21,-4.33,0.08,stop/<1%,True,469
2026-05-18,ARMGD,39.63,8x+,117.4,141.7,116.6,20.7,-0.68,20.7,+5%+,False,399
2026-05-25,ATAKP,5.97,5-8x,53.65,55.2,53.65,2.89,0.0,2.89,+2%,False,394
2026-05-20,ATATP,6.22,5-8x,213.3,216.3,190.1,1.41,-10.88,1.41,+1%,True,464
2026-06-05,AVGYO,83.49,8x+,14.0,14.22,13.01,1.57,-7.07,1.57,+1%,True,399
2026-06-05,AVHOL,11.35,8x+,51.8,54.5,46.82,5.21,-9.61,5.21,+5%+,True,464
