tarih,hisse,tip,grup,kat,pos52,acilis,gun_yuksek_%,en_yuksek_%,barem,stop,bar_sayisi
2026-05-25,ACSEL,kontrol,taze_kirilim,0.61,0.929,164.0,6.52,6.52,+5%+,False,480
2026-06-01,ACSEL,kontrol,taze_kirilim,0.29,0.851,162.5,8.43,8.43,+5%+,False,437
2026-05-22,ADEL,kontrol,dip,0.37,0.142,31.54,5.58,0.0,stop/<1%,True,484
2026-05-25,ADEL,kontrol,dip,0.26,0.188,33.14,2.72,2.72,+2%,False,479
2026-06-02,ADEL,kontrol,dip,0.15,0.183,32.94,0.73,0.73,stop/<1%,False,480
2026-06-03,ADEL,kontrol,dip,0.21,0.185,33.04,0.06,0.06,stop/<1%,True,478
2026-06-04,ADEL,kontrol,dip,0.1,0.162,32.24,1.49,1.49,+1%,False,470
2026-06-05,ADEL,kontrol,dip,0.15,0.166,32.38,0.12,0.12,stop/<1%,True,474
2026-05-18,ADESE,kontrol,dip,0.44,0.142,1.08,0.93,0.93,stop/<1%,True,483
2026-05-20,ADESE,kontrol,dip,0.52,0.132,1.04,0.96,0.96,stop/<1%,False,484
2026-05-21,ADESE,kontrol,dip,1.32,0.127,1.02,0.98,0.98,stop/<1%,True,457
2026-05-22,ADESE,kontrol,dip,0.46,0.102,0.95,6.32,6.32,+5%+,False,484
2026-05-25,ADESE,kontrol,dip,0.17,0.113,1.0,2.0,2.0,+2%,False,484
2026-06-01,ADESE,kontrol,dip,0.5,0.096,1.05,1.9,1.9,+1%,False,484
2026-06-02,ADESE,kontrol,dip,0.19,0.077,1.04,1.92,1.92,+1%,False,484
2026-06-03,ADESE,kontrol,dip,0.36,0.074,1.05,0.95,0.95,stop/<1%,True,484
2026-06-04,ADESE,kontrol,dip,0.12,0.062,1.02,0.98,0.98,stop/<1%,False,484
2026-06-05,ADESE,kontrol,dip,1.67,0.043,1.02,0.98,0.98,stop/<1%,False,484
2026-05-20,AFYON,kontrol,dip,0.6,0.191,12.95,0.15,0.15,stop/<1%,False,443
2026-05-22,AFYON,kontrol,dip,1.06,0.076,12.2,3.2,3.2,+3%,False,449
2026-06-01,AFYON,kontrol,dip,0.43,0.16,12.75,4.24,4.24,+4%,False,426
2026-06-01,AKCNS,kontrol,taze_kirilim,1.02,0.989,227.5,0.92,0.92,stop/<1%,True,453
2026-06-05,AKENR,kontrol,taze_kirilim,0.34,0.952,14.7,5.24,0.68,stop/<1%,True,474
2026-05-20,AKFIS,kontrol,taze_kirilim,2.75,0.995,66.9,1.72,1.72,+1%,True,466
2026-06-01,AKFIS,kontrol,taze_kirilim,0.18,0.958,66.05,3.86,3.86,+3%,True,480
2026-06-04,AKFIS,kontrol,taze_kirilim,0.05,0.964,66.85,2.77,2.77,+2%,False,465
2026-05-14,ALCAR,sinyal,dip,32.94,0.183,771.5,1.88,1.88,+1%,False,288
2026-06-03,ALCTL,kontrol,taze_kirilim,2.97,0.96,152.6,3.54,3.54,+3%,True,474
2026-05-18,ALGYO,kontrol,taze_kirilim,0.65,0.974,8.05,3.73,0.99,stop/<1%,True,483
2026-05-25,ALVES,kontrol,dip,0.4,0.153,2.71,1.11,1.11,+1%,False,484
2026-06-01,ALVES,kontrol,dip,0.14,0.132,2.66,6.39,6.39,+5%+,False,484
2026-06-02,ALVES,kontrol,dip,0.15,0.183,2.78,8.99,8.99,+5%+,False,483
2026-06-05,ALVES,kontrol,dip,0.07,0.179,2.77,0.72,0.72,stop/<1%,False,484
2026-05-15,ANELE,kontrol,taze_kirilim,0.19,0.933,64.35,9.95,9.95,+5%+,False,480
2026-05-25,ANELE,kontrol,taze_kirilim,0.26,0.967,82.8,7.13,7.13,+5%+,False,476
2026-06-01,ANELE,kontrol,taze_kirilim,0.43,0.977,95.0,4.26,0.0,stop/<1%,True,451
2026-06-02,ANELE,kontrol,taze_kirilim,0.25,0.949,94.7,5.6,0.0,stop/<1%,True,473
2026-05-22,ANGEN,kontrol,dip,0.47,0.136,10.47,5.44,5.44,+5%+,False,474
2026-06-01,ARASE,kontrol,taze_kirilim,0.74,0.951,115.9,7.77,7.77,+5%+,False,474
2026-05-22,ARENA,kontrol,dip,0.22,0.157,27.0,6.3,6.3,+5%+,False,480
2026-05-18,ATATP,kontrol,taze_kirilim,0.6,0.908,190.0,8.89,8.89,+5%+,False,393
2026-05-25,ATATP,kontrol,taze_kirilim,0.98,0.894,201.0,8.81,8.81,+5%+,False,477
2026-06-01,ATATP,kontrol,taze_kirilim,0.17,0.909,221.0,9.5,9.5,+5%+,False,483
2026-05-22,AYCES,kontrol,dip,0.46,0.115,480.0,9.38,9.38,+5%+,False,473
2026-05-25,AYCES,kontrol,dip,0.15,0.159,521.5,4.03,4.03,+4%,False,470
2026-06-02,AYCES,kontrol,dip,0.1,0.148,511.0,1.08,1.08,+1%,False,460
2026-05-21,BAKAB,sinyal,taze_kirilim,9.42,1.008,52.2,0.0,0.0,stop/<1%,True,406
2026-05-18,BALSU,kontrol,dip,1.22,0.052,14.29,0.0,0.0,stop/<1%,False,481
2026-05-20,BALSU,kontrol,dip,0.72,0.027,13.93,0.65,0.65,stop/<1%,False,477
2026-05-21,BALSU,kontrol,dip,0.74,0.009,13.67,0.8,0.8,stop/<1%,True,455
2026-05-22,BALSU,kontrol,dip,1.2,-0.003,12.97,2.85,2.85,+2%,False,482
2026-05-25,BALSU,kontrol,dip,0.46,0.026,13.32,0.98,0.98,stop/<1%,False,483
2026-06-01,BALSU,kontrol,dip,0.63,0.038,13.5,6.37,6.37,+5%+,False,481
2026-06-02,BALSU,kontrol,dip,0.61,0.075,14.07,1.63,1.63,+1%,False,469
2026-06-03,BALSU,kontrol,dip,0.26,0.084,14.2,0.07,0.07,stop/<1%,True,484
2026-06-03,BANVT,kontrol,dip,1.24,0.106,156.8,2.23,2.23,+2%,False,383
2026-05-15,BEGYO,kontrol,dip,1.25,0.037,4.32,6.02,6.02,+5%+,False,444
