giris_tarih,hisse,grup,kat,pos52,giris,poz_tl,cikis_tarih,cikis,sebep,getiri_%,tl_kar,max_gordugu_%,dakika
2026-01-02,ARENA,dip,7.0,0.096,28.8,33333.0,2026-01-05,27.936,stop,-3.03,-1011.0,2.36,
2026-01-02,BMSCH,kirilim,6.5,0.96,30.4,33333.0,2026-01-02,31.312,hedef,2.97,989.0,8.55,
2026-01-02,PKENT,dip,7.1,0.031,183.0,33333.0,2026-01-02,188.49,hedef,2.97,989.0,5.41,
2026-01-05,ALCAR,dip,7.4,0.102,869.5,5720.0,2026-01-08,843.415,stop,-3.03,-173.0,1.38,
2026-01-05,BIENY,dip,11.6,0.03,25.26,5720.0,2026-01-07,24.5022,stop,-3.03,-173.0,1.35,
2026-01-05,EDATA,kirilim,5.1,0.909,6.81,5720.0,2026-01-05,6.6057,stop,-3.03,-173.0,0.0,
2026-01-05,ESCAR,dip,9.5,0.118,25.54,5720.0,2026-01-05,24.7738,stop,-3.03,-173.0,0.39,
2026-01-05,FENER,dip,7.0,0.029,3.36,5720.0,2026-01-06,3.2592,stop,-3.03,-173.0,1.19,
2026-01-05,GOKNR,dip,5.0,0.09,20.0,5720.0,2026-01-09,20.6,hedef,2.97,170.0,4.1,
2026-01-05,GZNMI,dip,6.0,0.035,58.0,5720.0,2026-01-05,59.74,hedef,2.97,170.0,3.62,
2026-01-05,ISSEN,dip,7.8,0.195,7.35,5720.0,2026-01-26,7.5705,hedef,2.97,170.0,4.22,
2026-01-05,JANTS,dip,22.6,0.169,20.58,5720.0,2026-01-05,21.1974,hedef,2.97,170.0,3.89,
2026-01-05,MARKA,dip,6.1,0.19,41.0,5720.0,2026-01-05,39.77,stop,-3.03,-173.0,0.0,
2026-01-05,QUAGR,dip,20.5,0.039,2.92,5720.0,2026-01-05,2.8324,stop,-3.03,-173.0,0.0,
2026-01-05,SONME,kirilim,10.0,0.992,185.0,5720.0,2026-01-05,179.45,stop,-3.03,-173.0,2.11,
2026-01-06,ESCAR,dip,5.5,0.103,24.64,23946.0,2026-01-06,25.3792,hedef,2.97,710.0,3.17,
2026-01-06,ODINE,kirilim,20.0,0.996,323.0,23946.0,2026-01-08,313.31,stop,-3.03,-726.0,0.7,
2026-01-06,SARKY,kirilim,7.0,1.139,21.34,23946.0,2026-01-07,21.9802,hedef,2.97,710.0,3.66,
2026-01-07,CMBTN,dip,6.2,0.194,2014.0,4315.0,2026-01-08,1953.58,stop,-3.03,-131.0,1.94,
2026-01-07,COSMO,kirilim,7.6,1.014,300.0,4315.0,2026-01-08,291.0,stop,-3.03,-131.0,3.08,
