sira,min_kat,hedef_%,giris_tarih,hisse,grup,kat,pos52,giris,poz_tl,cikis_tarih,cikis,sebep,getiri_%,tl_kar,max_gordugu_%,gun_sayisi
1,8,1,2026-05-06,IHYAY,dip,9.0,0.106,1.83,100000.0,2026-05-06,1.8483,hedef,0.97,967.0,1.09,0
2,8,1,2026-05-12,ERBOS,kirilim,17.0,0.911,217.9,100967.0,2026-05-12,220.079,hedef,0.97,976.0,1.01,0
3,8,1,2026-05-14,ALCAR,dip,32.9,0.183,771.5,101943.0,2026-05-14,779.215,hedef,0.97,986.0,1.69,0
4,8,1,2026-05-18,GSDHO,kirilim,8.1,0.996,6.0,51465.0,2026-05-18,6.06,hedef,0.97,498.0,4.83,0
5,8,1,2026-05-18,ISSEN,kirilim,119.0,1.071,10.04,51465.0,2026-05-18,10.1404,hedef,0.97,498.0,3.09,0
6,8,1,2026-05-20,EKSUN,kirilim,9.8,0.903,7.4,51962.0,2026-05-20,7.474,hedef,0.97,502.0,1.35,0
7,8,1,2026-05-20,LKMNH,dip,17.0,0.169,15.2,51962.0,2026-05-20,15.352,hedef,0.97,502.0,3.09,0
8,8,1,2026-05-21,BAKAB,kirilim,9.4,1.008,52.2,52465.0,2026-05-21,50.634,stop,-3.03,-1591.0,0.0,0
9,8,1,2026-05-21,BIGTK,dip,56.0,0.018,211.5,52465.0,2026-05-21,213.615,hedef,0.97,507.0,2.08,0
10,8,1,2026-05-22,KOPOL,dip,44.1,0.131,5.03,51923.0,2026-05-22,5.0803,hedef,0.97,502.0,9.54,0
11,8,1,2026-05-22,VERUS,kirilim,10.4,0.967,573.0,51923.0,2026-05-22,578.73,hedef,0.97,502.0,4.71,0
12,8,1,2026-05-25,DURDO,kirilim,23.5,0.907,5.0,104850.0,2026-05-25,5.05,hedef,0.97,1014.0,2.4,0
13,8,1,2026-06-02,DERHL,dip,8.1,0.047,15.42,105864.0,2026-06-02,15.5742,hedef,0.97,1024.0,2.66,0
14,8,1,2026-06-05,CMBTN,dip,19.5,0.095,1595.0,53444.0,2026-06-05,1610.95,hedef,0.97,517.0,1.19,0
15,8,1,2026-06-05,EMKEL,dip,9.8,0.071,25.96,53444.0,2026-06-05,25.1812,stop,-3.03,-1621.0,0.15,0
16,8,1,2026-06-08,AKFYE,kirilim,20.5,1.057,26.0,35261.0,2026-06-08,26.26,hedef,0.97,341.0,6.46,0
17,8,1,2026-06-08,POLTK,dip,9.1,0.067,5270.0,35261.0,2026-06-08,5111.9,stop,-3.03,-1069.0,0.05,0
18,8,1,2026-06-08,SEKUR,kirilim,14.9,0.863,8.06,35261.0,2026-06-08,7.8182,stop,-3.03,-1069.0,0.5,0
1,8,2,2026-05-06,IHYAY,dip,9.0,0.106,1.83,100000.0,2026-05-06,1.8666,hedef,1.97,1967.0,2.19,0
2,8,2,2026-05-12,ERBOS,kirilim,17.0,0.911,217.9,101967.0,2026-05-12,222.258,hedef,1.97,2006.0,2.34,0
3,8,2,2026-05-14,ALCAR,dip,32.9,0.183,771.5,103973.0,2026-05-18,748.355,stop,-3.03,-3153.0,1.88,4
4,8,2,2026-05-20,EKSUN,kirilim,9.8,0.903,7.4,50410.0,2026-05-20,7.548,hedef,1.97,992.0,2.03,0
5,8,2,2026-05-20,LKMNH,dip,17.0,0.169,15.2,50410.0,2026-05-20,15.504,hedef,1.97,992.0,3.09,0
6,8,2,2026-05-21,BAKAB,kirilim,9.4,1.008,52.2,51401.0,2026-05-21,50.634,stop,-3.03,-1559.0,0.0,0
7,8,2,2026-05-21,BIGTK,dip,56.0,0.018,211.5,51401.0,2026-05-21,215.73,hedef,1.97,1011.0,2.08,0
8,8,2,2026-05-22,KOPOL,dip,44.1,0.131,5.03,51127.0,2026-05-22,5.1306,hedef,1.97,1006.0,9.54,0
9,8,2,2026-05-22,VERUS,kirilim,10.4,0.967,573.0,51127.0,2026-05-22,584.46,hedef,1.97,1006.0,4.71,0
10,8,2,2026-05-25,DURDO,kirilim,23.5,0.907,5.0,104266.0,2026-05-25,5.1,hedef,1.97,2051.0,2.4,0
11,8,2,2026-06-02,DERHL,dip,8.1,0.047,15.42,106317.0,2026-06-02,15.7284,hedef,1.97,2091.0,2.66,0
12,8,2,2026-06-05,CMBTN,dip,19.5,0.095,1595.0,54204.0,2026-06-05,1626.9,hedef,1.97,1066.0,2.63,0
13,8,2,2026-06-05,EMKEL,dip,9.8,0.071,25.96,54204.0,2026-06-05,25.1812,stop,-3.03,-1644.0,0.15,0
14,8,2,2026-06-08,AKFYE,kirilim,20.5,1.057,26.0,35943.0,2026-06-08,26.52,hedef,1.97,707.0,6.46,0
15,8,2,2026-06-08,POLTK,dip,9.1,0.067,5270.0,35943.0,2026-06-08,5111.9,stop,-3.03,-1090.0,0.05,0
16,8,2,2026-06-08,SEKUR,kirilim,14.9,0.863,8.06,35943.0,2026-06-08,7.8182,stop,-3.03,-1090.0,0.5,0
1,8,3,2026-05-06,IHYAY,dip,9.0,0.106,1.83,100000.0,2026-05-08,1.8849,hedef,2.97,2967.0,3.28,2
2,8,3,2026-05-12,ERBOS,kirilim,17.0,0.911,217.9,102967.0,2026-05-12,224.437,hedef,2.97,3055.0,3.72,0
3,8,3,2026-05-14,ALCAR,dip,32.9,0.183,771.5,106022.0,2026-05-18,748.355,stop,-3.03,-3216.0,1.88,4
4,8,3,2026-05-20,EKSUN,kirilim,9.8,0.903,7.4,51403.0,2026-05-20,7.622,hedef,2.97,1525.0,3.92,0
5,8,3,2026-05-20,LKMNH,dip,17.0,0.169,15.2,51403.0,2026-05-20,15.656,hedef,2.97,1525.0,3.09,0
6,8,3,2026-05-21,BAKAB,kirilim,9.4,1.008,52.2,52928.0,2026-05-21,50.634,stop,-3.03,-1605.0,0.0,0
7,8,3,2026-05-21,BIGTK,dip,56.0,0.018,211.5,52928.0,2026-05-21,217.845,hedef,2.97,1570.0,3.03,0
8,8,3,2026-05-22,KOPOL,dip,44.1,0.131,5.03,52911.0,2026-05-22,5.1809,hedef,2.97,1570.0,9.54,0
9,8,3,2026-05-22,VERUS,kirilim,10.4,0.967,573.0,52911.0,2026-05-22,590.19,hedef,2.97,1570.0,4.71,0
10,8,3,2026-05-25,DURDO,kirilim,23.5,0.907,5.0,108961.0,2026-05-25,5.15,hedef,2.97,3233.0,3.6,0
11,8,3,2026-06-02,DERHL,dip,8.1,0.047,15.42,112194.0,2026-06-02,15.8826,hedef,2.97,3329.0,3.76,0
12,8,3,2026-06-05,CMBTN,dip,19.5,0.095,1595.0,57762.0,2026-06-08,1588.0,acik_kaldi,-0.47,-273.0,2.63,3
13,8,3,2026-06-05,EMKEL,dip,9.8,0.071,25.96,57762.0,2026-06-05,25.1812,stop,-3.03,-1752.0,0.15,0
14,8,3,2026-06-08,AKFYE,kirilim,20.5,1.057,26.0,18670.0,2026-06-08,26.78,hedef,2.97,554.0,6.46,0
15,8,3,2026-06-08,POLTK,dip,9.1,0.067,5270.0,18670.0,2026-06-08,5111.9,stop,-3.03,-566.0,0.05,0
16,8,3,2026-06-08,SEKUR,kirilim,14.9,0.863,8.06,18670.0,2026-06-08,7.8182,stop,-3.03,-566.0,0.5,0
1,8,5,2026-05-06,IHYAY,dip,9.0,0.106,1.83,100000.0,2026-05-18,1.7751,stop,-3.03,-3033.0,4.37,12
2,8,5,2026-05-20,EKSUN,kirilim,9.8,0.903,7.4,48484.0,2026-05-20,7.77,hedef,4.97,2408.0,5.81,0
3,8,5,2026-05-20,LKMNH,dip,17.0,0.169,15.2,48484.0,2026-05-20,15.96,hedef,4.97,2408.0,5.0,0
4,8,5,2026-05-21,BAKAB,kirilim,9.4,1.008,52.2,50892.0,2026-05-21,50.634,stop,-3.03,-1544.0,0.0,0
5,8,5,2026-05-21,BIGTK,dip,56.0,0.018,211.5,50892.0,2026-05-21,222.075,hedef,4.97,2528.0,5.96,0
6,8,5,2026-05-22,KOPOL,dip,44.1,0.131,5.03,51384.0,2026-05-22,5.2815,hedef,4.97,2552.0,9.54,0
7,8,5,2026-05-22,VERUS,kirilim,10.4,0.967,573.0,51384.0,2026-06-02,601.65,hedef,4.97,2552.0,6.63,11
8,8,5,2026-05-25,DURDO,kirilim,23.5,0.907,5.0,53936.0,2026-05-25,5.25,hedef,4.97,2679.0,5.0,0
9,8,5,2026-06-02,DERHL,dip,8.1,0.047,15.42,56615.0,2026-06-02,14.9574,stop,-3.03,-1717.0,3.76,0
10,8,5,2026-06-05,CMBTN,dip,19.5,0.095,1595.0,54417.0,2026-06-08,1588.0,acik_kaldi,-0.47,-257.0,2.63,3
11,8,5,2026-06-05,EMKEL,dip,9.8,0.071,25.96,54417.0,2026-06-05,25.1812,stop,-3.03,-1650.0,0.15,0
12,8,5,2026-06-08,AKFYE,kirilim,20.5,1.057,26.0,17589.0,2026-06-08,27.3,hedef,4.97,874.0,6.46,0
13,8,5,2026-06-08,POLTK,dip,9.1,0.067,5270.0,17589.0,2026-06-08,5111.9,stop,-3.03,-533.0,0.05,0
14,8,5,2026-06-08,SEKUR,kirilim,14.9,0.863,8.06,17589.0,2026-06-08,7.8182,stop,-3.03,-533.0,0.5,0
1,5,1,2026-05-06,IHYAY,dip,9.0,0.106,1.83,100000.0,2026-05-06,1.8483,hedef,0.97,967.0,1.09,0
2,5,1,2026-05-12,ERBOS,kirilim,17.0,0.911,217.9,100967.0,2026-05-12,220.079,hedef,0.97,976.0,1.01,0
3,5,1,2026-05-14,ALCAR,dip,32.9,0.183,771.5,101943.0,2026-05-14,779.215,hedef,0.97,986.0,1.69,0
4,5,1,2026-05-18,GARFA,kirilim,6.8,0.983,35.66,25732.0,2026-05-18,34.5902,stop,-3.03,-780.0,0.95,0
5,5,1,2026-05-18,GSDHO,kirilim,8.1,0.996,6.0,25732.0,2026-05-18,6.06,hedef,0.97,249.0,4.83,0
6,5,1,2026-05-18,ISSEN,kirilim,119.0,1.071,10.04,25732.0,2026-05-18,10.1404,hedef,0.97,249.0,3.09,0
7,5,1,2026-05-18,JANTS,dip,6.5,0.191,18.98,25732.0,2026-05-18,19.1698,hedef,0.97,249.0,2.27,0
8,5,1,2026-05-20,EKSUN,kirilim,9.8,0.903,7.4,51448.0,2026-05-20,7.474,hedef,0.97,497.0,1.35,0
9,5,1,2026-05-20,LKMNH,dip,17.0,0.169,15.2,51448.0,2026-05-20,15.352,hedef,0.97,497.0,3.09,0
10,5,1,2026-05-21,BAKAB,kirilim,9.4,1.008,52.2,17315.0,2026-05-21,50.634,stop,-3.03,-525.0,0.0,0
