tarih,hisse,kat,baseline_tl,kum_ciro_tl,tetik_bar,tetik_saat,giris,mfe_gun_kalan_%,mae_gun_kalan_%,kapanis_gun_%,mfe_5g_%,mae_5g_%,mfe_t1,mae_t1,kapanis_t1,mfe_t2,mae_t2,kapanis_t2,mfe_t3,mae_t3,kapanis_t3,mfe_t5,mae_t5,kapanis_t5
2025-03-04,A1CAP,5.23,20768666.0,108700460.0,1,2025-03-04 10:00,4.64,2.37,-3.66,-2.37,11.21,-3.66,5.17,-3.02,-2.37,2.8,-3.02,2.59,7.33,2.8,6.68,11.21,6.68,10.13
2025-05-15,A1CAP,10.94,44721098.0,489168103.0,1,2025-05-15 10:00,6.62,4.38,-4.83,-3.32,27.34,-4.83,6.34,-3.17,6.34,16.92,7.25,16.92,27.34,11.33,11.33,12.54,2.11,3.78
2025-05-21,A1CAP,5.18,127144031.0,659140561.0,2,2025-05-21 11:00,7.87,7.12,-6.35,-6.35,7.12,-21.35,-1.78,-12.2,-11.56,-5.34,-14.1,-12.71,-8.77,-15.5,-15.37,-17.66,-21.35,-17.92
2024-10-22,A1YEN,4.56,35421240.0,161464049.0,3,2024-10-22 12:00,2.4145,2.89,-3.19,-2.43,2.89,-5.39,1.44,-5.09,-5.09,-3.11,-4.71,-4.25,-3.87,-5.39,-4.18,1.59,-2.51,-0.15
2026-01-13,A1YEN,4.94,39508348.0,195322250.0,1,2026-01-13 10:00,3.1295,2.52,-2.05,0.23,2.52,-9.55,-0.35,-8.67,-7.85,-3.1,-9.55,-8.32,-6.03,-8.44,-7.44,-5.74,-9.49,-9.43
2024-09-06,ACSEL,6.23,17767816.0,110645852.0,1,2024-09-06 10:00,126.4,2.85,-7.12,2.85,13.13,-7.12,13.13,0.79,2.14,10.52,-3.56,2.85,8.23,-1.19,0.08,-1.11,-4.27,-2.29
2024-09-09,ACSEL,4.18,25950156.0,108503560.0,1,2024-09-09 10:00,141.6,0.99,-10.03,-8.83,0.99,-16.45,-1.34,-13.91,-8.19,-3.39,-11.79,-10.66,-7.34,-16.45,-13.14,-11.44,-14.9,-14.76
2024-12-10,ACSEL,6.28,17117770.0,107522244.0,1,2024-12-10 10:00,135.8,1.1,-7.14,-3.9,5.15,-8.39,1.62,-8.39,-6.11,-2.14,-7.66,-7.44,0.96,-7.36,-2.06,2.36,-3.46,-2.21
2025-03-10,ACSEL,4.39,10837926.0,47608826.0,3,2025-03-10 12:00,117.4,0.0,-0.6,0.0,3.66,-6.05,3.66,-4.43,-3.41,-2.56,-6.05,-3.92,-2.39,-4.43,-3.07,1.19,-3.75,-1.96
2025-07-18,ACSEL,5.32,16466389.0,87594008.0,1,2025-07-18 10:00,117.5,5.19,-3.32,-3.15,5.19,-7.4,0.26,-3.91,-3.15,-0.34,-4.0,-3.49,-2.89,-5.36,-5.11,-6.04,-7.4,-7.32
2026-01-05,ACSEL,4.27,13754323.0,58699628.0,2,2026-01-05 11:00,105.5,2.27,-2.84,-2.56,3.7,-5.12,3.7,-2.56,-1.42,1.42,-3.98,-3.98,-2.46,-5.12,-3.6,-1.61,-3.98,-3.7
2026-05-05,ACSEL,6.63,39619422.0,262788856.0,3,2026-05-05 12:00,140.2,4.07,-5.28,-4.07,9.84,-7.28,-0.78,-7.28,-4.56,3.07,-4.42,-0.93,2.28,-3.42,-1.0,9.84,-3.14,9.84
2025-03-12,ADEL,4.96,94149227.0,466771453.0,2,2025-03-12 11:00,40.86,6.85,-7.73,-7.73,6.85,-25.6,-7.73,-16.94,-16.94,-12.78,-16.79,-15.12,-12.14,-18.11,-17.57,-18.99,-25.6,-25.6
2025-08-06,ADEL,4.39,92675712.0,407228930.0,1,2025-08-06 10:00,39.34,6.15,-8.44,-8.34,6.15,-8.69,0.36,-8.44,-0.86,1.37,-5.34,-3.97,0.66,-5.39,-3.76,-3.61,-8.08,-7.12
2026-04-01,ADEL,5.92,82222553.0,486921023.0,2,2026-04-01 11:00,43.02,1.26,-3.53,-3.53,17.27,-7.02,4.74,-2.32,2.7,12.92,-0.05,12.92,17.27,7.53,8.6,1.49,-7.02,-3.35
2024-09-27,ADESE,4.74,61920963.0,293667401.0,1,2024-09-27 10:00,0.43,0.47,-2.79,0.47,6.05,-11.63,6.05,-2.33,-1.86,1.86,-7.44,-6.51,-6.98,-11.63,-11.16,-8.84,-11.16,-8.84
2025-04-30,ADESE,4.08,87035611.0,355093930.0,3,2025-04-30 12:00,0.452,12.39,-0.44,7.08,34.51,-0.44,17.7,6.19,17.7,26.55,16.37,22.12,26.55,15.93,17.7,34.51,16.37,18.14
2026-02-25,ADGYO,4.48,95379272.0,427507730.0,0,2026-02-25 09:00,55.05,3.91,-8.54,-6.54,4.45,-9.9,-2.0,-9.39,-3.0,4.45,-3.63,-2.0,-2.18,-9.9,-3.54,-3.91,-7.36,-5.45
2025-09-26,AGESA,4.32,44442147.0,191849002.0,2,2025-09-26 11:00,177.9,3.43,-0.34,2.81,5.9,-1.85,5.9,-1.07,-0.84,3.43,-1.85,3.43,3.71,0.45,2.42,4.83,0.9,3.37
2024-11-07,AGYO,7.14,10750302.0,76754630.0,3,2024-11-07 12:00,7.87,0.13,-4.57,0.13,14.36,-4.57,9.66,1.78,7.12,14.36,2.29,10.04,13.85,6.23,7.37,8.01,3.56,4.32
2024-11-08,AGYO,4.48,15578330.0,69841838.0,2,2024-11-08 11:00,8.54,1.05,-1.99,-1.29,5.39,-5.74,5.39,-5.74,1.41,4.92,-2.11,-1.05,0.59,-5.04,-5.04,-0.35,-4.68,-3.4
2026-03-04,AHSGY,4.58,45460000.0,208412074.0,2,2026-03-04 11:00,22.06,11.24,-4.44,1.09,11.24,-12.69,4.26,-4.9,-4.9,-1.27,-11.6,-10.06,-6.17,-12.69,-12.06,-7.52,-11.88,-10.74
2026-05-06,AHSGY,4.05,73165080.0,296184143.0,3,2026-05-06 12:00,22.6,1.33,-5.49,-4.78,13.72,-7.08,-1.06,-5.04,-4.69,0.88,-7.08,-0.62,5.66,1.15,3.72,10.62,-2.04,-2.04
2025-02-17,AKCNS,5.38,130944766.0,703987343.0,3,2025-02-17 12:00,188.4,2.92,0.0,0.0,2.92,-10.3,-1.49,-5.04,-2.55,-2.18,-6.05,-4.46,-3.34,-4.67,-4.56,-5.36,-7.96,-6.05
2026-01-29,AKCNS,6.13,105954576.0,649038360.0,1,2026-01-29 10:00,194.7,5.29,-2.67,-2.26,5.29,-5.96,1.75,-5.96,-0.26,2.82,-3.8,-0.1,3.54,-3.34,-1.39,1.34,-2.52,0.0
2024-08-14,AKENR,4.23,191166251.0,808861907.0,2,2024-08-14 11:00,14.09,3.97,-3.48,-2.06,9.65,-10.57,-1.28,-10.57,-7.88,1.28,-8.8,-5.89,3.48,-8.52,3.48,4.61,-2.77,-2.34
2024-12-31,AKENR,4.77,123252413.0,588000007.0,1,2024-12-31 10:00,13.66,6.15,-3.51,-3.51,8.35,-10.47,1.61,-7.69,-7.32,-4.03,-10.47,-7.76,1.46,-7.69,1.46,5.64,0.73,2.49
2025-05-06,AKENR,7.07,58621573.0,414264338.0,1,2025-05-06 10:00,11.5,2.35,-3.3,2.35,21.65,-8.87,11.3,-6.0,-5.65,3.74,-8.87,3.74,14.09,4.87,14.09,18.87,9.91,11.74
2025-05-07,AKENR,4.12,91113752.0,375503559.0,2,2025-05-07 11:00,12.62,0.63,-14.34,-14.03,10.86,-16.96,-5.47,-16.96,-5.47,3.96,-4.44,3.96,10.86,0.55,5.78,1.74,-3.01,-3.01
2025-11-05,AKENR,4.15,109347309.0,454220689.0,2,2025-11-05 11:00,11.84,2.36,-5.07,-4.98,2.36,-17.06,-3.04,-6.17,-4.56,-5.83,-10.98,-10.98,-9.97,-13.6,-13.18,-14.19,-15.71,-15.2
2026-05-11,AKENR,4.55,112103285.0,510486721.0,3,2026-05-11 12:00,12.55,1.04,-3.51,-2.71,19.36,-4.38,7.01,-4.38,7.01,17.69,8.53,10.36,18.73,6.77,14.58,11.16,0.32,0.32
2026-05-13,AKENR,4.6,161094829.0,740864496.0,1,2026-05-13 10:00,14.36,2.86,-5.15,-3.55,4.32,-24.03,3.76,-6.69,0.14,4.32,-5.08,-5.08,-2.86,-12.33,-12.33,-14.42,-24.03,-23.12
2025-05-27,AKFIS,4.49,140207030.0,629990403.0,1,2025-05-27 10:00,22.36,8.23,-3.58,-2.15,15.92,-6.62,6.8,-2.95,0.54,1.97,-4.47,-4.11,5.46,-6.62,5.46,9.03,1.7,1.88
2026-02-16,AKFIS,5.25,81261671.0,426755846.0,2,2026-02-16 11:00,27.86,0.29,-4.24,0.29,31.87,-4.24,10.27,2.3,10.27,21.25,8.76,21.25,31.87,11.84,26.35,10.77,2.37,2.37
2026-02-19,AKFIS,4.46,180966594.0,807778268.0,3,2026-02-19 12:00,35.2,4.37,-3.69,0.0,4.37,-32.33,-0.06,-10.0,-10.0,-12.33,-18.98,-18.98,-17.39,-26.99,-25.97,-24.6,-30.51,-27.33
2026-02-02,AKFYE,5.16,73526316.0,379547631.0,3,2026-02-02 12:00,20.08,2.39,-3.44,2.39,8.76,-6.37,7.07,-0.9,4.68,8.76,4.18,5.58,5.98,1.39,2.09,-3.59,-5.58,-4.33
2026-03-24,AKMGY,4.04,5737707.0,23168111.0,3,2026-03-24 12:00,257.0,4.09,-5.49,3.99,14.2,-5.49,13.72,-1.17,10.51,13.72,3.89,11.67,11.58,5.45,7.2,14.2,3.11,10.89
