tarih,hisse,grup,giris,cikis,sebep,getiri_%,poz_tl,tl_kar
2026-06-01,HRKET,kirilim,96.5,96.5,gun_sonu,-0.03,100000.0,-30.0
2026-06-02,DERHL,dip,15.42,15.8826,hedef,2.97,49985.0,1485.0
2026-06-02,KRVGD,kirilim,3.4,3.502,hedef,2.97,49985.0,1485.0
2026-06-03,CGCAM,kirilim,46.42,47.8126,hedef,2.97,51470.0,1529.0
2026-06-03,KARTN,kirilim,130.3,134.209,hedef,2.97,51470.0,1529.0
2026-06-04,TUREX,dip,9.2,9.476,hedef,2.97,105996.0,3148.0
2026-06-05,CMBTN,dip,1595.0,1596.0,gun_sonu,0.03,36381.0,11.0
2026-06-05,EMKEL,dip,25.96,25.1812,stop,-3.03,36381.0,-1102.0
2026-06-05,KRTEK,dip,24.82,24.68,gun_sonu,-0.6,36381.0,-218.0
2026-06-08,AKFYE,kirilim,26.0,26.78,hedef,2.97,26959.0,801.0
2026-06-08,DERHL,dip,14.2,13.774,stop,-3.03,26959.0,-817.0
2026-06-08,POLTK,dip,5270.0,5111.9,stop,-3.03,26959.0,-817.0
2026-06-08,SEKUR,kirilim,8.06,8.3018,hedef,2.97,26959.0,801.0
2026-06-09,DIRIT,dip,22.92,23.6076,hedef,2.97,35934.0,1067.0
2026-06-09,IHLAS,dip,1.46,1.4162,stop,-3.03,35934.0,-1089.0
2026-06-09,SEKUR,kirilim,8.96,9.2288,hedef,2.97,35934.0,1067.0
2026-06-10,AYEN,kirilim,38.92,40.0876,hedef,2.97,54424.0,1616.0
2026-06-10,DIRIT,dip,22.34,21.6698,stop,-3.03,54424.0,-1649.0
2026-06-11,BARMA,kirilim,67.15,68.2,gun_sonu,1.53,36272.0,555.0
2026-06-11,KZBGY,dip,3.22,3.1234,stop,-3.03,36272.0,-1099.0
2026-06-11,TRILC,dip,1.35,1.35,gun_sonu,-0.03,36272.0,-11.0
2026-06-15,INTEK,dip,249.7,246.4,gun_sonu,-1.35,27065.0,-365.0
2026-06-15,MTRKS,kirilim,30.74,29.8178,stop,-3.03,27065.0,-820.0
2026-06-15,VBTYZ,kirilim,34.94,33.8918,stop,-3.03,27065.0,-820.0
2026-06-15,VERUS,kirilim,622.0,640.66,hedef,2.97,27065.0,804.0
2026-06-16,DGGYO,kirilim,34.54,35.5762,hedef,2.97,53529.0,1590.0
2026-06-16,EUKYO,kirilim,9.8,10.094,hedef,2.97,53529.0,1590.0
2026-06-18,BANVT,dip,162.8,157.916,stop,-3.03,36746.0,-1113.0
2026-06-18,IHLAS,dip,1.22,1.2566,hedef,2.97,36746.0,1091.0
2026-06-18,YAYLA,dip,25.64,26.4092,hedef,2.97,36746.0,1091.0
2026-06-19,BIGCH,dip,6.79,6.9937,hedef,2.97,111308.0,3306.0
2026-06-22,BORLS,dip,6.65,6.8495,hedef,2.97,38205.0,1135.0
2026-06-22,ENSRI,dip,6.8,7.004,hedef,2.97,38205.0,1135.0
2026-06-22,IHLAS,dip,1.23,1.2669,hedef,2.97,38205.0,1135.0
2026-06-23,IHLAS,dip,1.37,1.4111,hedef,2.97,39339.0,1168.0
2026-06-23,IHLGM,dip,2.07,2.1321,hedef,2.97,39339.0,1168.0
2026-06-23,IHYAY,dip,1.86,1.9158,hedef,2.97,39339.0,1168.0
2026-06-24,BORLS,dip,7.8,8.034,hedef,2.97,60761.0,1805.0
2026-06-24,POLTK,dip,5097.5,5005.0,gun_sonu,-1.85,60761.0,-1124.0
2026-06-26,ATSYH,kirilim,108.0,111.24,hedef,2.97,122203.0,3629.0
2026-06-29,BMSCH,dip,14.98,14.7,gun_sonu,-1.9,15729.0,-299.0
2026-06-29,FORMT,dip,2.24,2.22,gun_sonu,-0.93,15729.0,-146.0
2026-06-29,ISGYO,kirilim,27.4,26.578,stop,-3.03,15729.0,-477.0
2026-06-29,KOCMT,kirilim,3.32,3.35,gun_sonu,0.87,15729.0,137.0
2026-06-29,KUTPO,dip,87.5,87.2,gun_sonu,-0.38,15729.0,-60.0
2026-06-29,MARMR,dip,2.72,2.6384,stop,-3.03,15729.0,-477.0
2026-06-29,VESBE,dip,6.99,7.1997,hedef,2.97,15729.0,467.0
2026-06-29,VSNMD,dip,101.8,104.854,hedef,2.97,15729.0,467.0
2026-06-30,FORMT,dip,2.19,2.19,gun_sonu,-0.03,25089.0,-8.0
2026-06-30,KOCMT,kirilim,3.44,3.5432,hedef,2.97,25089.0,745.0
2026-06-30,KRONT,kirilim,24.0,24.72,hedef,2.97,25089.0,745.0
2026-06-30,PKENT,dip,146.3,146.0,gun_sonu,-0.24,25089.0,-60.0
2026-06-30,VESBE,dip,7.69,7.4593,stop,-3.03,25089.0,-760.0
