tarih,hisse,kova,grup,kat,pos52,giris,tf,sebep,cikis,cikis_saat,getiri_%,max_%,min_%,max_saat,min_saat,max_fiyat,min_fiyat
2026-06-01,HRKET,dipkir,kirilim,6.3,1.1,96.5,15dk,gun_sonu,96.5,18:00,-0.03,0.0,0.0,18:00,18:00,96.5,96.5
2026-06-02,DERHL,dipkir,dip,8.1,0.047,15.42,15dk,hedef,15.8826,10:00,2.97,3.76,-9.99,10:00,16:30,16.0,13.88
2026-06-02,KRVGD,dipkir,kirilim,5.4,0.964,3.4,15dk,hedef,3.502,12:45,2.97,5.0,-4.12,13:00,18:00,3.57,3.26
2026-06-03,CGCAM,dipkir,kirilim,6.6,0.899,46.42,15dk,hedef,47.8126,10:00,2.97,6.16,-6.38,10:00,18:00,49.28,43.46
2026-06-03,KARTN,dipkir,kirilim,7.7,0.981,130.3,15dk,hedef,134.209,10:00,2.97,4.91,-1.77,18:00,10:00,136.7,128.0
2026-06-04,TUREX,dipkir,dip,5.1,0.155,9.2,15dk,hedef,9.476,10:30,2.97,7.61,-7.17,10:45,17:30,9.9,8.54
2026-06-05,CMBTN,dipkir,dip,19.5,0.095,1595.0,15dk,gun_sonu,1596.0,18:00,0.03,2.63,-0.38,11:30,10:00,1637.0,1589.0
2026-06-05,EMKEL,dipkir,dip,9.8,0.071,25.96,15dk,stop,25.1812,10:15,-3.03,0.23,-12.56,10:00,17:45,26.02,22.7
2026-06-05,KRTEK,dipkir,dip,6.5,0.116,24.82,1dk,gun_sonu,24.68,18:08,-0.6,0.56,-0.81,10:03,11:28,24.96,24.62
2026-06-08,AKFYE,dipkir,kirilim,20.5,1.057,26.0,15dk,hedef,26.78,10:00,2.97,6.46,0.0,18:00,10:00,27.68,26.0
2026-06-08,DERHL,dipkir,dip,7.5,0.033,14.2,15dk,stop,13.774,11:00,-3.03,0.28,-3.8,10:00,15:45,14.24,13.66
2026-06-08,POLTK,dipkir,dip,9.1,0.067,5270.0,15dk,stop,5111.9,10:15,-3.03,0.05,-5.5,10:00,11:30,5272.5,4980.0
2026-06-08,SEKUR,dipkir,kirilim,14.9,0.863,8.06,15dk,hedef,8.3018,11:00,2.97,9.93,-3.1,17:45,10:00,8.86,7.81
2026-06-09,DIRIT,dipkir,dip,9.2,0.166,22.92,1dk,hedef,23.6076,12:55,2.97,17.1,0.35,12:55,17:55,26.84,23.0
2026-06-09,IHLAS,dipkir,dip,9.1,0.016,1.46,15dk,stop,1.4162,10:15,-3.03,0.68,-8.22,10:00,15:45,1.47,1.34
2026-06-09,SEKUR,dipkir,kirilim,8.8,1.018,8.96,15dk,hedef,9.2288,10:00,2.97,4.91,-4.69,17:00,10:15,9.4,8.54
2026-06-10,AYEN,dipkir,kirilim,17.7,0.875,38.92,15dk,hedef,40.0876,10:00,2.97,8.32,-2.57,10:15,17:30,42.16,37.92
2026-06-10,DIRIT,dipkir,dip,6.5,0.138,22.34,1dk,stop,21.6698,13:55,-3.03,2.95,-4.57,12:55,17:55,23.0,21.32
2026-06-11,BARMA,dipkir,kirilim,8.9,0.986,67.15,15dk,gun_sonu,68.2,18:00,1.53,2.31,-0.82,16:45,10:15,68.7,66.6
2026-06-11,KZBGY,dipkir,dip,7.3,0.196,3.22,15dk,stop,3.1234,10:15,-3.03,0.0,-6.21,10:00,15:45,3.22,3.02
2026-06-11,TRILC,dipkir,dip,18.2,-0.037,1.35,1dk,gun_sonu,1.35,18:09,-0.03,0.0,-2.22,18:09,17:55,1.35,1.32
2026-06-15,INTEK,dipkir,dip,6.1,0.101,249.7,1dk,gun_sonu,246.4,18:09,-1.35,-1.08,-1.88,12:55,13:55,247.0,245.0
2026-06-15,MTRKS,dipkir,kirilim,6.0,0.996,30.74,1dk,stop,29.8178,13:46,-3.03,-5.92,-10.34,14:00,17:19,28.92,27.56
2026-06-15,VBTYZ,dipkir,kirilim,9.4,1.089,34.94,1dk,stop,33.8918,15:15,-3.03,-3.38,-9.62,16:29,15:59,33.76,31.58
2026-06-15,VERUS,dipkir,kirilim,7.3,1.0,622.0,1dk,hedef,640.66,10:00,2.97,9.24,0.4,13:40,10:00,679.5,624.5
2026-06-16,DGGYO,dipkir,kirilim,7.3,0.731,34.54,1dk,hedef,35.5762,10:13,2.97,9.84,-3.88,11:13,10:02,37.94,33.2
2026-06-16,EUKYO,dipkir,kirilim,8.4,0.973,9.8,1dk,hedef,10.094,10:00,2.97,8.27,0.0,10:00,10:00,10.61,9.8
2026-06-18,BANVT,dipkir,dip,11.1,0.176,162.8,1dk,stop,157.916,10:15,-3.03,8.6,-4.79,13:57,10:01,176.8,155.0
2026-06-18,IHLAS,dipkir,dip,6.4,0.017,1.22,1dk,hedef,1.2566,13:05,2.97,3.28,-1.64,14:34,10:11,1.26,1.2
