tarih,hisse,kova,grup,kat,pos52,giris,tf,sebep,cikis,cikis_saat,getiri_%,max_%,min_%,max_saat,min_saat,max_fiyat,min_fiyat
2026-06-01,IDGYO,elenen,orta,8.5,0.718,4.23,15dk,hedef,4.3569,14:45,2.97,5.2,-0.71,18:00,10:00,4.45,4.2
2026-06-01,NUGYO,elenen,orta,8.1,0.509,10.41,15dk,stop,10.0977,13:15,-3.03,1.92,-4.9,10:00,16:30,10.61,9.9
2026-06-02,ERBOS,elenen,orta,7.9,0.741,202.5,1dk,stop,196.425,11:37,-3.03,-0.54,-4.3,16:03,11:37,201.4,193.8
2026-06-02,HRKET,elenen,tepe,7.9,1.091,100.0,15dk,stop,97.0,10:15,-3.03,6.1,-8.0,18:00,10:30,106.1,92.0
2026-06-02,KLSER,elenen,orta,5.2,0.56,31.48,15dk,stop,30.5356,10:15,-3.03,0.32,-4.64,10:00,10:15,31.58,30.02
2026-06-02,MEPET,elenen,orta,7.6,0.632,24.08,15dk,hedef,24.8024,10:00,2.97,4.24,-2.74,18:00,10:00,25.1,23.42
2026-06-02,PAMEL,elenen,orta,11.7,0.296,93.75,15dk,stop,90.9375,10:15,-3.03,0.75,-4.53,10:00,10:15,94.45,89.5
2026-06-03,AKMGY,elenen,orta,12.4,0.693,294.5,15dk,stop,285.665,10:15,-3.03,0.17,-7.56,10:00,18:00,295.0,272.25
2026-06-03,BARMA,elenen,tepe,9.4,0.95,60.2,15dk,gun_sonu,60.3,18:00,0.13,2.57,-1.5,16:15,10:00,61.75,59.3
2026-06-03,BINBN,elenen,orta,5.3,0.388,197.0,15dk,stop,191.09,11:00,-3.03,2.18,-8.63,10:00,17:45,201.3,180.0
2026-06-03,BLCYT,elenen,orta,58.4,0.622,44.16,15dk,stop,42.8352,10:15,-3.03,0.0,-18.12,10:00,18:00,44.16,36.16
2026-06-03,KNFRT,elenen,orta,8.1,0.374,15.04,15dk,hedef,15.4912,10:00,2.97,6.98,0.07,18:00,10:00,16.09,15.05
2026-06-03,MEPET,elenen,orta,12.9,0.7,25.88,15dk,hedef,26.6564,10:00,2.97,5.49,-1.08,10:00,10:00,27.3,25.6
2026-06-03,MSGYO,elenen,orta,5.5,0.432,6.7,15dk,stop,6.499,10:15,-3.03,3.58,-4.48,15:45,10:15,6.94,6.4
2026-06-03,NUGYO,elenen,orta,8.7,0.634,11.29,15dk,stop,10.9513,11:45,-3.03,1.24,-6.02,10:00,17:15,11.43,10.61
2026-06-03,OZGYO,elenen,orta,6.2,0.721,2.18,15dk,stop,2.1146,16:45,-3.03,2.29,-3.21,12:00,17:30,2.23,2.11
2026-06-04,ARTMS,elenen,orta,9.8,0.713,48.84,15dk,hedef,50.3052,10:00,2.97,4.52,-9.87,10:00,14:30,51.05,44.02
2026-06-04,CGCAM,elenen,tepe,5.9,0.863,46.0,15dk,stop,44.62,12:15,-3.03,3.91,-4.04,18:00,12:30,47.8,44.14
2026-06-04,CUSAN,elenen,orta,29.0,0.468,28.78,15dk,stop,27.9166,10:15,-3.03,3.13,-6.95,14:00,11:15,29.68,26.78
2026-06-04,DIRIT,elenen,orta,5.6,0.207,23.76,1dk,hedef,24.4728,12:55,2.97,13.55,5.13,17:55,12:55,26.98,24.98
2026-06-04,EKIZ,elenen,orta,5.4,0.286,81.65,1dk,hedef,84.0995,12:55,2.97,10.23,4.1,17:55,12:55,90.0,85.0
2026-06-04,HRKET,elenen,tepe,6.5,1.0,116.7,15dk,hedef,120.201,10:00,2.97,7.71,-4.97,14:45,10:45,125.7,110.9
2026-06-04,KNFRT,elenen,orta,9.4,0.486,16.69,15dk,hedef,17.1907,10:00,2.97,5.09,-5.45,16:30,11:15,17.54,15.78
2026-06-04,LUKSK,elenen,orta,29.9,0.623,118.7,15dk,stop,115.139,10:15,-3.03,0.08,-7.92,10:15,14:30,118.8,109.3
2026-06-04,MAKIM,elenen,orta,20.2,0.566,19.59,15dk,stop,19.0023,10:30,-3.03,0.77,-9.34,10:00,17:30,19.74,17.76
2026-06-04,UFUK,elenen,orta,27.9,0.387,1387.0,15dk,stop,1345.39,10:15,-3.03,0.0,-10.89,10:00,12:00,1387.0,1236.0
2026-06-05,AVGYO,elenen,orta,83.5,0.49,14.0,15dk,stop,13.58,14:45,-3.03,1.57,-7.07,10:00,17:15,14.22,13.01
2026-06-05,AVHOL,elenen,orta,11.4,0.769,51.8,1dk,hedef,53.354,10:06,2.97,5.21,-9.61,10:56,14:10,54.5,46.82
2026-06-05,BARMA,elenen,tepe,34.9,0.926,59.1,15dk,hedef,60.873,16:00,2.97,4.15,-0.34,16:15,10:00,61.55,58.9
2026-06-05,DITAS,elenen,orta,6.0,0.723,43.6,15dk,stop,42.292,10:15,-3.03,0.55,-9.08,10:00,10:30,43.84,39.64
2026-06-05,ISKPL,elenen,orta,5.8,0.576,15.21,15dk,hedef,15.6663,14:15,2.97,11.05,0.0,14:15,18:00,16.89,15.21
2026-06-05,ULUFA,elenen,orta,8.6,0.381,2.0,15dk,hedef,2.06,10:00,2.97,5.0,-2.75,10:00,17:30,2.1,1.945
2026-06-08,MMCAS,elenen,orta,7.3,0.283,58.95,1dk,hedef,60.7185,12:55,2.97,6.11,3.56,13:55,12:55,62.55,61.05
2026-06-08,MRSHL,elenen,orta,5.8,0.364,1599.0,1dk,gun_sonu,1558.0,18:05,-2.6,-1.63,-2.56,17:19,18:05,1573.0,1558.0
2026-06-08,ORCAY,elenen,orta,5.0,0.539,4.05,1dk,hedef,4.1715,10:00,2.97,21.73,0.0,11:36,10:00,4.93,4.05
2026-06-09,AKFYE,elenen,tepe,18.3,1.106,29.0,15dk,stop,28.13,10:15,-3.03,1.17,-7.86,10:00,12:15,29.34,26.72
2026-06-09,AVGYO,elenen,orta,9.9,0.592,15.2,1dk,stop,14.744,10:15,-3.03,0.99,-9.21,10:00,10:57,15.35,13.8
2026-06-09,EGGUB,elenen,orta,5.7,0.504,110.5,15dk,hedef,113.815,10:00,2.97,8.33,-3.17,10:30,10:00,119.7,107.0
2026-06-09,EKIZ,elenen,orta,9.0,0.254,78.2,1dk,hedef,80.546,17:55,2.97,7.93,0.0,17:55,12:55,84.4,78.2
2026-06-09,KUVVA,elenen,tepe,7.6,0.904,166.0,1dk,stop,161.02,10:23,-3.03,0.0,-4.76,16:36,10:01,166.0,158.1
