tarih,hisse,grup,giris,cikis,sebep,getiri_%,poz_tl,tl_kar
2026-06-01,IDGYO,orta,4.23,4.3569,hedef,2.97,50000.0,1485.0
2026-06-01,NUGYO,orta,10.41,10.0977,stop,-3.03,50000.0,-1515.0
2026-06-02,ERBOS,orta,202.5,196.425,stop,-3.03,19994.0,-606.0
2026-06-02,HRKET,tepe,100.0,97.0,stop,-3.03,19994.0,-606.0
2026-06-02,KLSER,orta,31.48,30.5356,stop,-3.03,19994.0,-606.0
2026-06-02,MEPET,orta,24.08,24.8024,hedef,2.97,19994.0,594.0
2026-06-02,PAMEL,orta,93.75,90.9375,stop,-3.03,19994.0,-606.0
2026-06-03,AKMGY,orta,294.5,285.665,stop,-3.03,10905.0,-330.0
2026-06-03,BARMA,tepe,60.2,60.3,gun_sonu,0.13,10905.0,14.0
2026-06-03,BINBN,orta,197.0,191.09,stop,-3.03,10905.0,-330.0
2026-06-03,BLCYT,orta,44.16,42.8352,stop,-3.03,10905.0,-330.0
2026-06-03,KNFRT,orta,15.04,15.4912,hedef,2.97,10905.0,324.0
2026-06-03,MEPET,orta,25.88,26.6564,hedef,2.97,10905.0,324.0
2026-06-03,MSGYO,orta,6.7,6.499,stop,-3.03,10905.0,-330.0
2026-06-03,NUGYO,orta,11.29,10.9513,stop,-3.03,10905.0,-330.0
2026-06-03,OZGYO,orta,2.18,2.1146,stop,-3.03,10905.0,-330.0
2026-06-04,ARTMS,orta,48.84,50.3052,hedef,2.97,9682.0,288.0
2026-06-04,CGCAM,tepe,46.0,44.62,stop,-3.03,9682.0,-293.0
2026-06-04,CUSAN,orta,28.78,27.9166,stop,-3.03,9682.0,-293.0
2026-06-04,DIRIT,orta,23.76,24.4728,hedef,2.97,9682.0,288.0
2026-06-04,EKIZ,orta,81.65,84.0995,hedef,2.97,9682.0,288.0
2026-06-04,HRKET,tepe,116.7,120.201,hedef,2.97,9682.0,288.0
2026-06-04,KNFRT,orta,16.69,17.1907,hedef,2.97,9682.0,288.0
2026-06-04,LUKSK,orta,118.7,115.139,stop,-3.03,9682.0,-293.0
2026-06-04,MAKIM,orta,19.59,19.0023,stop,-3.03,9682.0,-293.0
2026-06-04,UFUK,orta,1387.0,1345.39,stop,-3.03,9682.0,-293.0
2026-06-05,AVGYO,orta,14.0,13.58,stop,-3.03,16132.0,-489.0
2026-06-05,AVHOL,orta,51.8,53.354,hedef,2.97,16132.0,479.0
2026-06-05,BARMA,tepe,59.1,60.873,hedef,2.97,16132.0,479.0
2026-06-05,DITAS,orta,43.6,42.292,stop,-3.03,16132.0,-489.0
2026-06-05,ISKPL,orta,15.21,15.6663,hedef,2.97,16132.0,479.0
2026-06-05,ULUFA,orta,2.0,2.06,hedef,2.97,16132.0,479.0
2026-06-08,MMCAS,orta,58.95,60.7185,hedef,2.97,32577.0,968.0
2026-06-08,MRSHL,orta,1599.0,1558.0,gun_sonu,-2.6,32577.0,-847.0
2026-06-08,ORCAY,orta,4.05,4.1715,hedef,2.97,32577.0,968.0
2026-06-09,AKFYE,tepe,29.0,28.13,stop,-3.03,14117.0,-428.0
2026-06-09,AVGYO,orta,15.2,14.744,stop,-3.03,14117.0,-428.0
2026-06-09,EGGUB,orta,110.5,113.815,hedef,2.97,14117.0,419.0
2026-06-09,EKIZ,orta,78.2,80.546,hedef,2.97,14117.0,419.0
2026-06-09,KUVVA,tepe,166.0,161.02,stop,-3.03,14117.0,-428.0
2026-06-09,MEGMT,orta,78.5,80.855,hedef,2.97,14117.0,419.0
2026-06-09,RAYSG,orta,204.4,198.268,stop,-3.03,14117.0,-428.0
2026-06-10,A1CAP,orta,11.12,10.7864,stop,-3.03,16394.0,-497.0
2026-06-10,DAGI,orta,6.43,6.6229,hedef,2.97,16394.0,487.0
2026-06-10,DERIM,tepe,44.5,43.165,stop,-3.03,16394.0,-497.0
2026-06-10,GSDDE,orta,16.01,15.5297,stop,-3.03,16394.0,-497.0
2026-06-10,GSDHO,tepe,6.79,6.5863,stop,-3.03,16394.0,-497.0
2026-06-10,LYDYE,orta,15020.0,14569.4,stop,-3.03,16394.0,-497.0
