tarih,hisse,grup,rapor_sebep,rapor_getiri_%,max_%,tf_rapor,15dk_eski,15dk_yeni,15dk_giris,1dk_eski,1dk_yeni,1dk_giris
2026-06-01,HRKET,kirilim,gun_sonu,-0.03,0.0,15dk,gun_sonu,gun_sonu,96.5,,,
2026-06-02,DERHL,dip,hedef,2.97,3.76,15dk,hedef,hedef,15.42,,,
2026-06-02,KRVGD,kirilim,stop,-3.03,5.0,15dk,stop,hedef,3.4,,,
2026-06-03,CGCAM,kirilim,hedef,2.97,6.16,15dk,hedef,hedef,46.48,,,
2026-06-03,KARTN,kirilim,hedef,2.97,4.91,15dk,hedef,hedef,130.1,,,
2026-06-04,TUREX,dip,hedef,2.97,7.61,15dk,hedef,hedef,9.2,,,
2026-06-05,CMBTN,dip,gun_sonu,0.03,2.63,15dk,gun_sonu,gun_sonu,1606.0,,,
2026-06-05,EMKEL,dip,stop,-3.03,0.23,15dk,stop,stop,25.92,,,
2026-06-05,KRTEK,dip,gun_sonu,-0.6,0.56,1dk,gun_sonu,gun_sonu,24.82,gun_sonu,gun_sonu,24.82
2026-06-08,AKFYE,kirilim,hedef,2.97,6.46,15dk,hedef,hedef,26.0,,,
2026-06-08,DERHL,dip,stop,-3.03,0.28,15dk,stop,stop,14.2,,,
2026-06-08,POLTK,dip,stop,-3.03,0.05,15dk,stop,stop,5250.0,,,
2026-06-08,SEKUR,kirilim,stop,-3.03,9.93,15dk,stop,hedef,8.07,,,
2026-06-09,DIRIT,dip,hedef,2.97,17.1,1dk,stop,stop,26.84,stop,stop,26.84
2026-06-09,IHLAS,dip,stop,-3.03,0.68,15dk,stop,stop,1.45,,,
2026-06-09,SEKUR,kirilim,hedef,2.97,4.91,15dk,hedef,hedef,8.96,,,
2026-06-10,AYEN,kirilim,hedef,2.97,8.32,15dk,hedef,hedef,38.92,,,
2026-06-10,DIRIT,dip,stop,-3.03,2.95,1dk,stop,stop,23.0,stop,stop,23.0
2026-06-11,BARMA,kirilim,gun_sonu,1.53,2.31,15dk,gun_sonu,gun_sonu,67.3,,,
2026-06-11,KZBGY,dip,stop,-3.03,0.0,15dk,stop,stop,3.21,,,
2026-06-11,TRILC,dip,gun_sonu,-0.03,0.0,1dk,gun_sonu,gun_sonu,1.35,gun_sonu,gun_sonu,1.35
2026-06-15,INTEK,dip,gun_sonu,-1.35,0.0,1dk,gun_sonu,gun_sonu,247.0,gun_sonu,gun_sonu,247.0
2026-06-15,MTRKS,kirilim,stop,-3.03,0.07,1dk,stop,stop,30.74,stop,stop,28.9
2026-06-15,VBTYZ,kirilim,stop,-3.03,0.78,1dk,stop,stop,34.5,stop,stop,33.5
2026-06-15,VERUS,kirilim,hedef,2.97,9.24,1dk,hedef,hedef,624.5,hedef,hedef,624.5
2026-06-16,DGGYO,kirilim,stop,-3.03,9.84,1dk,stop,hedef,34.54,stop,hedef,34.54
2026-06-16,EUKYO,kirilim,hedef,2.97,8.27,1dk,hedef,hedef,9.8,hedef,hedef,9.8
2026-06-18,BANVT,dip,stop,-3.03,8.6,1dk,stop,stop,162.5,stop,stop,162.5
