tarih,hisse,rapor_giris,tv_kaynak,yf_kaynak,tv_open,tv_high,tv_low,tv_close,tv_prev_close,yf_open,yf_high,yf_low,yf_close,yf_prev_close,yf_1h_open,open_fark_%,giris_tv_fark_%,giris_yf_fark_%,sorun,durum
2026-06-02,DERHL,15.42,cache_saatlik,yfinance,15.42,16.0,13.88,14.0,15.42,15.42,16.0,13.88,14.0,,15.42,0.0,0.0,0.0,OK,OK
2026-06-02,KRVGD,3.4,cache_saatlik,yfinance,3.4,3.57,3.26,3.26,3.27,3.4,3.57,3.26,3.26,,3.4,0.0,0.0,0.0,OK,OK
2026-06-03,CGCAM,46.42,cache_saatlik,yfinance,46.42,49.28,43.46,43.46,45.28,46.42,49.28,43.46,43.46,45.28,46.42,0.0,0.0,0.0,OK,OK
2026-06-03,KARTN,130.3,cache_saatlik,yfinance,130.3,136.7,128.0,136.7,124.3,130.3,136.7,128.0,136.7,124.3,130.3,0.0,0.0,0.0,OK,OK
2026-06-04,TUREX,9.2,cache_saatlik,yfinance,9.2,9.9,8.54,8.56,9.07,9.2,9.9,8.54,8.56,9.07,9.2,0.0,0.0,0.0,OK,OK
2026-06-05,CMBTN,1595.0,cache_saatlik,yfinance,1595.0,1637.0,1589.0,1596.0,1610.0,1595.0,1637.0,1589.0,1596.0,1610.0,1595.0,0.0,0.0,0.0,OK,OK
2026-06-05,EMKEL,25.96,cache_saatlik,yfinance,25.96,26.02,22.7,22.9,25.22,25.96,26.02,22.7,22.9,25.22,25.96,0.0,0.0,0.0,OK,OK
2026-06-05,KRTEK,24.82,cache_saatlik,yfinance,24.82,24.96,24.62,24.68,25.02,24.82,24.96,24.62,24.68,25.02,24.82,0.0,0.0,0.0,OK,OK
2026-06-08,AKFYE,26.0,cache_saatlik,yfinance,26.0,27.68,26.0,27.68,25.18,26.0,27.68,26.0,27.68,25.18,26.0,0.0,0.0,0.0,OK,OK
2026-06-08,DERHL,14.2,cache_saatlik,yfinance,14.2,14.24,13.66,13.67,13.62,14.2,14.24,13.66,13.67,13.62,14.2,0.0,0.0,0.0,OK,OK
2026-06-08,POLTK,5270.0,cache_saatlik,yfinance,5270.0,5272.5,4980.0,5040.0,5072.5,5270.0,5272.5,4980.0,5040.0,5072.5,5270.0,0.0,0.0,0.0,OK,OK
2026-06-08,SEKUR,8.06,cache_saatlik,yfinance,8.06,8.86,7.81,8.84,8.06,8.06,8.86,7.81,8.84,8.06,8.06,0.0,0.0,0.0,OK,OK
2026-06-09,DIRIT,22.92,cache_saatlik,yfinance,22.92,26.84,22.92,23.68,25.44,22.92,26.84,22.92,23.68,25.44,22.92,0.0,0.0,0.0,OK,OK
2026-06-09,IHLAS,1.46,cache_saatlik,yfinance,1.46,1.47,1.34,1.35,1.45,1.46,1.47,1.34,1.35,1.45,1.46,0.0,0.0,0.0,OK,OK
2026-06-09,SEKUR,8.96,cache_saatlik,yfinance,8.96,9.4,8.54,8.99,8.84,8.96,9.4,8.54,8.99,8.84,8.96,0.0,0.0,0.0,OK,OK
2026-06-10,AYEN,38.92,cache_saatlik,yfinance,38.92,42.16,37.92,38.72,39.26,38.92,42.16,37.92,38.72,39.26,38.92,0.0,0.0,0.0,OK,OK
2026-06-10,DIRIT,22.34,cache_saatlik,yfinance,22.34,23.0,21.32,21.88,23.68,22.34,23.0,21.32,21.88,23.68,22.34,0.0,0.0,0.0,OK,OK
2026-06-11,BARMA,67.15,cache_saatlik,yfinance,67.15,68.7,66.6,68.2,67.15,67.15,68.7,66.6,68.2,67.15,67.15,0.0,0.0,0.0,OK,OK
2026-06-11,KZBGY,3.22,cache_saatlik,yfinance,3.22,3.22,3.02,3.12,3.15,3.22,3.22,3.02,3.12,3.15,3.22,0.0,0.0,0.0,OK,OK
2026-06-11,TRILC,1.35,cache_saatlik,yfinance,1.35,1.35,1.32,1.35,1.46,1.35,1.35,1.32,1.35,1.46,1.35,0.0,0.0,0.0,OK,OK
2026-06-15,MTRKS,30.74,cache_saatlik,yfinance,30.74,30.82,27.56,28.5,29.38,30.74,30.82,27.56,28.5,29.38,30.74,0.0,0.0,0.0,OK,OK
2026-06-15,VBTYZ,34.94,cache_saatlik,yfinance,34.94,35.46,31.58,32.9,32.24,34.94,35.46,31.58,32.9,32.24,34.94,0.0,0.0,0.0,OK,OK
2026-06-15,VERUS,622.0,cache_saatlik,yfinance,622.0,679.5,622.0,670.0,618.0,622.0,679.5,622.0,670.0,618.0,622.0,0.0,0.0,0.0,OK,OK
2026-06-16,DGGYO,34.54,cache_saatlik,yfinance,34.54,37.94,33.2,37.22,34.54,34.54,37.94,33.2,37.22,34.54,34.54,0.0,0.0,0.0,OK,OK
2026-06-16,EUKYO,9.8,cache_saatlik,yfinance,9.8,10.61,9.8,10.1,9.77,9.8,10.61,9.8,10.1,9.77,9.8,0.0,0.0,0.0,OK,OK
2026-06-18,BANVT,162.8,cache_saatlik,yfinance,162.8,176.8,155.0,170.0,164.4,162.8,176.8,155.0,170.0,164.4,162.8,0.0,0.0,0.0,OK,OK
2026-06-18,IHLAS,1.22,cache_saatlik,yfinance,1.22,1.26,1.2,1.23,1.21,1.22,1.26,1.2,1.23,1.21,1.22,0.0,0.0,0.0,OK,OK
2026-06-18,YAYLA,25.64,cache_saatlik,yfinance,25.64,27.34,25.64,27.34,24.86,25.64,27.34,25.64,27.34,24.86,25.64,0.0,0.0,0.0,OK,OK
2026-06-19,BIGCH,6.79,cache_saatlik,yfinance,6.79,7.7,6.79,7.7,7.0,6.79,7.7,6.79,7.7,7.0,6.79,0.0,0.0,0.0,OK,OK
2026-06-22,BORLS,6.65,cache_saatlik,yfinance,6.65,7.09,6.65,7.09,6.45,6.65,7.09,6.65,7.09,6.45,6.65,0.0,0.0,0.0,OK,OK
2026-06-22,ENSRI,6.8,cache_saatlik,yfinance,6.8,7.31,6.8,6.8,7.13,6.8,7.31,6.8,6.8,7.13,6.8,0.0,0.0,0.0,OK,OK
2026-06-22,IHLAS,1.23,cache_saatlik,yfinance,1.23,1.32,1.22,1.32,1.2,1.23,1.32,1.22,1.32,1.2,1.23,0.0,0.0,0.0,OK,OK
2026-06-23,IHLAS,1.37,cache_saatlik,yfinance,1.37,1.45,1.28,1.28,1.32,1.37,1.45,1.28,1.28,1.32,1.37,0.0,0.0,0.0,OK,OK
2026-06-23,IHLGM,2.07,cache_saatlik,yfinance,2.07,2.19,1.95,1.96,2.03,2.07,2.19,1.95,1.96,2.03,2.07,0.0,0.0,0.0,OK,OK
2026-06-23,IHYAY,1.86,cache_saatlik,yfinance,1.86,1.95,1.7,1.71,1.83,1.86,1.95,1.7,1.71,1.83,1.86,0.0,0.0,0.0,OK,OK
2026-06-24,BORLS,7.8,cache_saatlik,yfinance,7.8,8.56,7.3,7.6,7.79,7.8,8.56,7.3,7.6,7.79,7.8,0.0,0.0,0.0,OK,OK
2026-06-24,POLTK,5097.5,cache_saatlik,yfinance,5097.5,5097.5,4980.0,5005.0,5075.0,5097.5,5097.5,4980.0,5005.0,5075.0,5097.5,0.0,0.0,0.0,OK,OK
2026-06-26,ATSYH,108.0,cache_saatlik,yfinance,108.0,113.6,108.0,111.0,103.3,108.0,113.6,108.0,111.0,103.3,108.0,0.0,0.0,0.0,OK,OK
2026-06-29,BMSCH,14.98,cache_saatlik,yfinance,14.98,15.3,14.68,14.7,15.83,14.98,15.3,14.68,14.7,15.83,14.98,0.0,0.0,0.0,OK,OK
2026-06-29,FORMT,2.24,cache_saatlik,yfinance,2.24,2.27,2.21,2.22,2.2,2.24,2.27,2.21,2.22,2.2,2.24,0.0,0.0,0.0,OK,OK
2026-06-29,ISGYO,27.4,cache_saatlik,yfinance,27.4,28.06,24.62,24.62,27.3,27.4,28.06,24.62,24.62,27.3,27.4,0.0,0.0,0.0,OK,OK
2026-06-29,KOCMT,3.32,cache_saatlik,yfinance,3.32,3.4,3.28,3.35,3.28,3.32,3.4,3.28,3.35,3.28,3.32,0.0,0.0,0.0,OK,OK
2026-06-29,KUTPO,87.5,cache_saatlik,yfinance,87.5,88.95,84.95,87.2,87.65,87.5,88.95,84.95,87.2,87.65,87.5,0.0,0.0,0.0,OK,OK
2026-06-29,VESBE,6.99,cache_saatlik,yfinance,6.99,7.4,6.98,7.4,6.73,6.99,7.4,6.98,7.4,6.73,6.99,0.0,0.0,0.0,OK,OK
2026-06-29,VSNMD,101.8,cache_saatlik,yfinance,101.8,109.1,101.0,108.0,99.2,101.8,109.1,101.0,108.0,99.2,101.8,0.0,0.0,0.0,OK,OK
2026-06-30,FORMT,2.19,cache_saatlik,yfinance,2.19,2.2,2.17,2.19,2.22,2.19,2.2,2.17,2.19,2.22,2.19,0.0,0.0,0.0,OK,OK
2026-06-30,KOCMT,3.44,cache_saatlik,yfinance,3.44,3.68,3.44,3.68,3.35,3.44,3.68,3.44,3.68,3.35,3.44,0.0,0.0,0.0,OK,OK
2026-06-30,KRONT,24.0,cache_saatlik,yfinance,24.0,25.28,23.26,25.02,24.12,24.0,25.28,23.26,25.02,24.12,24.0,0.0,0.0,0.0,OK,OK
2026-06-30,PKENT,146.3,cache_saatlik,yfinance,146.3,148.9,145.5,146.0,146.2,146.3,148.9,145.5,146.0,146.2,146.3,0.0,0.0,0.0,OK,OK
2026-06-30,VESBE,7.69,cache_saatlik,yfinance,7.69,7.75,6.66,6.66,7.4,7.69,7.75,6.66,6.66,7.4,7.69,0.0,0.0,0.0,OK,OK
