hisse,grup,olay,hedef,stop,gun_sonu,compound_%,durum,ort_getiri_%,ort_max_%,ort_min_%,en_yuksek_max_%,en_derin_min_%,tarihler
BORLS,DIP,2,2,0,0,6.03,KAR,2.97,8.18,-3.2,9.74,-6.41,"06-22, 06-24"
IHLAS,DIP,4,3,1,0,5.87,KAR,1.47,4.28,-4.31,7.32,-8.22,"06-09, 06-18, 06-22, 06-23"
BIGCH,DIP,1,1,0,0,2.97,KAR,2.97,13.4,0.15,13.4,0.15,06-19
ENSRI,DIP,1,1,0,0,2.97,KAR,2.97,7.5,0.0,7.5,0.0,06-22
IHLGM,DIP,1,1,0,0,2.97,KAR,2.97,5.8,-5.8,5.8,-5.8,06-23
IHYAY,DIP,1,1,0,0,2.97,KAR,2.97,4.84,-8.6,4.84,-8.6,06-23
TUREX,DIP,1,1,0,0,2.97,KAR,2.97,7.61,-7.17,7.61,-7.17,06-04
VSNMD,DIP,1,1,0,0,2.97,KAR,2.97,7.17,-0.79,7.17,-0.79,06-29
YAYLA,DIP,1,1,0,0,2.97,KAR,2.97,6.63,0.0,6.63,0.0,06-18
CMBTN,DIP,1,0,0,1,0.03,KAR,0.03,2.63,-0.38,2.63,-0.38,06-05
TRILC,DIP,1,0,0,1,-0.03,ZARAR,-0.03,0.0,-2.22,0.0,-2.22,06-11
DERHL,DIP,2,1,1,0,-0.15,ZARAR,-0.03,2.02,-6.9,3.76,-9.99,"06-02, 06-08"
DIRIT,DIP,2,1,1,0,-0.15,ZARAR,-0.03,10.02,-2.11,17.1,-4.57,"06-09, 06-10"
VESBE,DIP,2,1,1,0,-0.15,ZARAR,-0.03,3.32,-6.76,5.87,-13.39,"06-29, 06-30"
PKENT,DIP,1,0,0,1,-0.24,ZARAR,-0.24,1.78,-0.55,1.78,-0.55,06-30
KUTPO,DIP,1,0,0,1,-0.38,ZARAR,-0.38,1.66,-2.91,1.66,-2.91,06-29
KRTEK,DIP,1,0,0,1,-0.6,ZARAR,-0.6,0.56,-0.81,0.56,-0.81,06-05
FORMT,DIP,2,0,0,2,-0.96,ZARAR,-0.48,0.9,-1.12,1.34,-1.34,"06-29, 06-30"
INTEK,DIP,1,0,0,1,-1.35,ZARAR,-1.35,-1.08,-1.88,-1.08,-1.88,06-15
BMSCH,DIP,1,0,0,1,-1.9,ZARAR,-1.9,2.14,-2.0,2.14,-2.0,06-29
BANVT,DIP,1,0,1,0,-3.03,ZARAR,-3.03,8.6,-4.79,8.6,-4.79,06-18
EMKEL,DIP,1,0,1,0,-3.03,ZARAR,-3.03,0.23,-12.56,0.23,-12.56,06-05
KZBGY,DIP,1,0,1,0,-3.03,ZARAR,-3.03,0.0,-6.21,0.0,-6.21,06-11
MARMR,DIP,1,0,1,0,-3.03,ZARAR,-3.03,0.0,-9.93,0.0,-9.93,06-29
POLTK,DIP,2,0,1,1,-4.82,ZARAR,-2.44,0.02,-3.9,0.05,-5.5,"06-08, 06-24"
SEKUR,KIRILIM,2,2,0,0,6.03,KAR,2.97,7.42,-3.9,9.93,-4.69,"06-08, 06-09"
KOCMT,KIRILIM,2,1,0,1,3.87,KAR,1.92,4.7,-0.6,6.98,-1.2,"06-29, 06-30"
AKFYE,KIRILIM,1,1,0,0,2.97,KAR,2.97,6.46,0.0,6.46,0.0,06-08
ATSYH,KIRILIM,1,1,0,0,2.97,KAR,2.97,5.19,2.78,5.19,2.78,06-26
AYEN,KIRILIM,1,1,0,0,2.97,KAR,2.97,8.32,-2.57,8.32,-2.57,06-10
CGCAM,KIRILIM,1,1,0,0,2.97,KAR,2.97,6.16,-6.38,6.16,-6.38,06-03
DGGYO,KIRILIM,1,1,0,0,2.97,KAR,2.97,9.84,-3.88,9.84,-3.88,06-16
EUKYO,KIRILIM,1,1,0,0,2.97,KAR,2.97,8.27,0.0,8.27,0.0,06-16
KARTN,KIRILIM,1,1,0,0,2.97,KAR,2.97,4.91,-1.77,4.91,-1.77,06-03
KRONT,KIRILIM,1,1,0,0,2.97,KAR,2.97,5.33,-3.08,5.33,-3.08,06-30
KRVGD,KIRILIM,1,1,0,0,2.97,KAR,2.97,5.0,-4.12,5.0,-4.12,06-02
VERUS,KIRILIM,1,1,0,0,2.97,KAR,2.97,9.24,0.4,9.24,0.4,06-15
BARMA,KIRILIM,1,0,0,1,1.53,KAR,1.53,2.31,-0.82,2.31,-0.82,06-11
HRKET,KIRILIM,1,0,0,1,-0.03,ZARAR,-0.03,0.0,0.0,0.0,0.0,06-01
ISGYO,KIRILIM,1,0,1,0,-3.03,ZARAR,-3.03,2.41,-10.15,2.41,-10.15,06-29
MTRKS,KIRILIM,1,0,1,0,-3.03,ZARAR,-3.03,-5.92,-10.34,-5.92,-10.34,06-15
VBTYZ,KIRILIM,1,0,1,0,-3.03,ZARAR,-3.03,-3.38,-9.62,-3.38,-9.62,06-15
