tarih,hisse,grup,kat,tf,giris,tp,sl,cikis,cikis_saat,sebep,durum,getiri_%,max_fiyat,min_fiyat,max_%,min_%,max_saat,min_saat
2026-06-01,HRKET,kirilim,6.3,15dk,96.5,99.395,93.605,96.5,18:00,gun_sonu,ZARAR,-0.03,96.5,96.5,0.0,0.0,18:00,18:00
2026-06-02,DERHL,dip,8.1,15dk,15.42,15.8826,14.9574,15.8826,10:00,hedef,KAR,2.97,16.0,13.88,3.76,-9.99,10:00,16:30
2026-06-02,KRVGD,kirilim,5.4,15dk,3.4,3.502,3.298,3.502,12:45,hedef,KAR,2.97,3.57,3.26,5.0,-4.12,13:00,18:00
2026-06-03,CGCAM,kirilim,6.6,15dk,46.42,47.8126,45.0274,47.8126,10:00,hedef,KAR,2.97,49.28,43.46,6.16,-6.38,10:00,18:00
2026-06-03,KARTN,kirilim,7.7,15dk,130.3,134.209,126.391,134.209,10:00,hedef,KAR,2.97,136.7,128.0,4.91,-1.77,18:00,10:00
2026-06-04,TUREX,dip,5.1,15dk,9.2,9.476,8.924,9.476,10:30,hedef,KAR,2.97,9.9,8.54,7.61,-7.17,10:45,17:30
2026-06-05,CMBTN,dip,19.5,15dk,1595.0,1642.85,1547.15,1596.0,18:00,gun_sonu,KAR,0.03,1637.0,1589.0,2.63,-0.38,11:30,10:00
2026-06-05,EMKEL,dip,9.8,15dk,25.96,26.7388,25.1812,25.1812,10:15,stop,ZARAR,-3.03,26.02,22.7,0.23,-12.56,10:00,17:45
2026-06-05,KRTEK,dip,6.5,1dk,24.82,25.5646,24.0754,24.68,18:08,gun_sonu,ZARAR,-0.6,24.96,24.62,0.56,-0.81,10:03,11:28
2026-06-08,AKFYE,kirilim,20.5,15dk,26.0,26.78,25.22,26.78,10:00,hedef,KAR,2.97,27.68,26.0,6.46,0.0,18:00,10:00
2026-06-08,DERHL,dip,7.5,15dk,14.2,14.626,13.774,13.774,11:00,stop,ZARAR,-3.03,14.24,13.66,0.28,-3.8,10:00,15:45
2026-06-08,POLTK,dip,9.1,15dk,5270.0,5428.1,5111.9,5111.9,10:15,stop,ZARAR,-3.03,5272.5,4980.0,0.05,-5.5,10:00,11:30
2026-06-08,SEKUR,kirilim,14.9,15dk,8.06,8.3018,7.8182,8.3018,11:00,hedef,KAR,2.97,8.86,7.81,9.93,-3.1,17:45,10:00
2026-06-09,DIRIT,dip,9.2,1dk,22.92,23.6076,22.2324,23.6076,12:55,hedef,KAR,2.97,26.84,23.0,17.1,0.35,12:55,17:55
2026-06-09,IHLAS,dip,9.1,15dk,1.46,1.5038,1.4162,1.4162,10:15,stop,ZARAR,-3.03,1.47,1.34,0.68,-8.22,10:00,15:45
