tarih,hisse,grup,kat,giris,onceki_kapanis,degisim_%,tavan,bant_%,tavan_fiyat,tavan_kilit,neden,sebep,getiri_%
2026-06-01,HRKET,kirilim,6.3,96.5,87.75,9.97,True,10,96.525,True,acilis +10.0% (~%10 bant) | tavanda kilit,gun_sonu,-0.03
2026-06-02,DERHL,dip,8.1,15.42,15.42,0.0,False,,,False,,hedef,2.97
2026-06-02,KRVGD,kirilim,5.4,3.4,3.27,3.98,False,,,False,,hedef,2.97
2026-06-03,CGCAM,kirilim,6.6,46.42,45.28,2.52,False,,,False,,hedef,2.97
2026-06-03,KARTN,kirilim,7.7,130.3,124.3,4.83,False,,,False,,hedef,2.97
2026-06-04,TUREX,dip,5.1,9.2,9.07,1.43,False,,,False,,hedef,2.97
2026-06-05,CMBTN,dip,19.5,1595.0,1610.0,-0.93,False,,,False,,gun_sonu,0.03
2026-06-05,EMKEL,dip,9.8,25.96,25.22,2.93,False,,,False,,stop,-3.03
2026-06-05,KRTEK,dip,6.5,24.82,25.02,-0.8,False,,,False,,gun_sonu,-0.6
2026-06-08,AKFYE,kirilim,20.5,26.0,25.18,3.26,False,,,False,,hedef,2.97
2026-06-08,DERHL,dip,7.5,14.2,13.62,4.26,False,,,False,,stop,-3.03
2026-06-08,POLTK,dip,9.1,5270.0,5072.5,3.89,False,,,False,,stop,-3.03
2026-06-08,SEKUR,kirilim,14.9,8.06,8.06,0.0,False,,,False,,hedef,2.97
2026-06-09,DIRIT,dip,9.2,22.92,25.44,-9.91,False,,,False,,hedef,2.97
2026-06-09,IHLAS,dip,9.1,1.46,1.45,0.69,False,,,False,,stop,-3.03
2026-06-09,SEKUR,kirilim,8.8,8.96,8.84,1.36,False,,,False,,hedef,2.97
2026-06-10,AYEN,kirilim,17.7,38.92,39.26,-0.87,False,,,False,,hedef,2.97
2026-06-10,DIRIT,dip,6.5,22.34,23.68,-5.66,False,,,False,,stop,-3.03
2026-06-11,BARMA,kirilim,8.9,67.15,67.15,0.0,False,,,False,,gun_sonu,1.53
2026-06-11,KZBGY,dip,7.3,3.22,3.15,2.22,False,,,False,,stop,-3.03
2026-06-11,TRILC,dip,18.2,1.35,1.46,-7.53,False,,,False,,gun_sonu,-0.03
2026-06-15,INTEK,dip,6.1,249.7,227.0,10.0,True,10,249.7,True,acilis +10.0% (~%10 bant) | tavanda kilit,gun_sonu,-1.35
2026-06-15,MTRKS,kirilim,6.0,30.74,29.38,4.63,False,,,False,,stop,-3.03
2026-06-15,VBTYZ,kirilim,9.4,34.94,32.24,8.37,False,,,False,,stop,-3.03
2026-06-15,VERUS,kirilim,7.3,622.0,618.0,0.65,False,,,False,,hedef,2.97
2026-06-16,DGGYO,kirilim,7.3,34.54,34.54,0.0,False,,,False,,hedef,2.97
2026-06-16,EUKYO,kirilim,8.4,9.8,9.77,0.31,False,,,False,,hedef,2.97
2026-06-18,BANVT,dip,11.1,162.8,164.4,-0.97,False,,,False,,stop,-3.03
2026-06-18,IHLAS,dip,6.4,1.22,1.21,0.83,False,,,False,,hedef,2.97
2026-06-18,YAYLA,dip,11.9,25.64,24.86,3.14,False,,,False,,hedef,2.97
2026-06-19,BIGCH,dip,1576.1,6.79,7.0,-3.0,False,,,False,,hedef,2.97
2026-06-22,BORLS,dip,9.8,6.65,6.45,3.1,False,,,False,,hedef,2.97
2026-06-22,ENSRI,dip,17.7,6.8,7.13,-4.63,False,,,False,,hedef,2.97
2026-06-22,IHLAS,dip,6.0,1.23,1.2,2.5,False,,,False,,hedef,2.97
2026-06-23,IHLAS,dip,9.2,1.37,1.32,3.79,False,,,False,,hedef,2.97
2026-06-23,IHLGM,dip,12.1,2.07,2.03,1.97,False,,,False,,hedef,2.97
2026-06-23,IHYAY,dip,6.8,1.86,1.83,1.64,False,,,False,,hedef,2.97
2026-06-24,BORLS,dip,5.9,7.8,7.79,0.13,False,,,False,,hedef,2.97
2026-06-24,POLTK,dip,15.7,5097.5,5075.0,0.44,False,,,False,,gun_sonu,-1.85
2026-06-26,ATSYH,kirilim,5.4,108.0,103.3,4.55,False,,,False,,hedef,2.97
2026-06-29,BMSCH,dip,86.2,14.98,15.83,-5.37,False,,,False,,gun_sonu,-1.9
2026-06-29,FORMT,dip,5.3,2.24,2.2,1.82,False,,,False,,gun_sonu,-0.93
2026-06-29,ISGYO,kirilim,8.1,27.4,27.3,0.37,False,,,False,,stop,-3.03
2026-06-29,KOCMT,kirilim,6.8,3.32,3.28,1.22,False,,,False,,gun_sonu,0.87
2026-06-29,KUTPO,dip,5.5,87.5,87.65,-0.17,False,,,False,,gun_sonu,-0.38
2026-06-29,MARMR,dip,14.0,2.72,2.48,9.68,True,10,2.728,True,acilis +9.7% (~%10 bant) | tavanda kilit,stop,-3.03
2026-06-29,VESBE,dip,48.8,6.99,6.73,3.86,False,,,False,,hedef,2.97
2026-06-29,VSNMD,dip,5.5,101.8,99.2,2.62,False,,,False,,hedef,2.97
2026-06-30,FORMT,dip,12.1,2.19,2.22,-1.35,False,,,False,,gun_sonu,-0.03
2026-06-30,KOCMT,kirilim,7.5,3.44,3.35,2.69,False,,,False,,hedef,2.97
2026-06-30,KRONT,kirilim,18.9,24.0,24.12,-0.5,False,,,False,,hedef,2.97
2026-06-30,PKENT,dip,5.6,146.3,146.2,0.07,False,,,False,,gun_sonu,-0.24
2026-06-30,VESBE,dip,15.4,7.69,7.4,3.92,False,,,False,,stop,-3.03
