tarih,hisse,grup,giris,mevcut_get%,tut_sebep,tut_get%,tut_gun,nerede,fark_%
2026-06-01,HRKET,kirilim,96.5,-0.03,hedef,2.97,1,2026-06-02 acilis,3.0
2026-06-05,CMBTN,dip,1595.0,0.03,stop,-3.03,3,2026-06-10 11:00,-3.06
2026-06-05,KRTEK,dip,24.82,-0.6,stop,-3.03,2,2026-06-09 12:01,-2.43
2026-06-11,BARMA,kirilim,67.15,1.53,hedef,2.97,1,2026-06-12 acilis,1.44
2026-06-11,TRILC,dip,1.35,-0.03,stop,-3.03,3,2026-06-16 acilis,-3.0
2026-06-15,INTEK,dip,249.7,-1.35,stop,-3.03,1,2026-06-16 acilis,-1.68
2026-06-24,POLTK,dip,5097.5,-1.85,hedef,2.97,2,2026-06-26 15:56,4.82
2026-06-29,BMSCH,dip,14.98,-1.9,stop,-3.03,1,2026-06-30 10:00,-1.13
2026-06-29,FORMT,dip,2.24,-0.93,stop,-3.03,1,2026-06-30 10:00,-2.1
2026-06-29,KOCMT,kirilim,3.32,0.87,hedef,2.97,1,2026-06-30 acilis,2.1
2026-06-29,KUTPO,dip,87.5,-0.38,veri_bitti,-0.32,1,2026-06-30 kapanis,0.06
2026-06-30,FORMT,dip,2.19,-0.03,veri_bitti,-0.03,0,2026-06-30 kapanis,0.0
2026-06-30,PKENT,dip,146.3,-0.24,veri_bitti,-0.24,0,2026-06-30 kapanis,0.0
