giris_tarih,hisse,grup,kat,pos52,giris,poz_tl,cikis_tarih,cikis,sebep,getiri_%,tl_kar,max_gordugu_%,dakika
2026-01-02,ARENA,dip,5.1,0.076,28.22,33333.0,2026-01-02,29.0666,hedef,2.97,989.0,4.46,
2026-01-02,BMSCH,kirilim,6.0,1.06,32.64,33333.0,2026-01-05,31.6608,stop,-3.03,-1011.0,2.45,
2026-01-02,PKENT,dip,7.1,0.031,183.0,33333.0,2026-01-02,188.49,hedef,2.97,989.0,5.41,
2026-01-05,EDATA,kirilim,5.1,0.909,6.81,34322.0,2026-01-05,6.6057,stop,-3.03,-1041.0,0.0,
2026-01-05,FENER,dip,7.0,0.029,3.36,34322.0,2026-01-06,3.2592,stop,-3.03,-1041.0,1.19,
2026-01-06,ESCAR,dip,5.5,0.103,24.64,32802.0,2026-01-06,25.3792,hedef,2.97,973.0,3.17,
2026-01-06,SARKY,kirilim,7.0,1.139,21.34,32802.0,2026-01-07,21.9802,hedef,2.97,973.0,3.66,
2026-01-07,CMBTN,dip,6.2,0.194,2014.0,16764.0,2026-01-08,1953.58,stop,-3.03,-508.0,1.94,
2026-01-07,FENER,dip,5.6,0.021,3.16,16764.0,2026-01-12,3.0652,stop,-3.03,-508.0,2.53,
2026-01-07,FORTE,kirilim,16.6,0.999,90.1,16764.0,2026-01-07,92.803,hedef,2.97,497.0,3.22,
2026-01-07,TRILC,dip,8.5,0.11,2.6853,16764.0,2026-01-07,2.6048,stop,-3.03,-508.0,0.0,
2026-01-08,KLSYN,kirilim,10.8,0.943,7.82,22431.0,2026-01-12,7.5854,stop,-3.03,-680.0,2.81,
2026-01-08,KRDMA,dip,6.6,0.052,25.26,22431.0,2026-01-13,26.0178,hedef,2.97,666.0,3.72,
2026-01-08,TKNSA,dip,5.1,0.156,22.26,22431.0,2026-01-09,22.9278,hedef,2.97,666.0,3.14,
2026-01-09,GOLTS,dip,5.8,0.167,330.25,8128.0,2026-01-14,340.1575,hedef,2.97,241.0,3.26,
2026-01-09,SASA,dip,6.4,-0.048,2.38,8128.0,2026-01-09,2.3086,stop,-3.03,-247.0,0.42,
2026-01-12,ARENA,dip,5.5,0.123,29.56,10326.0,2026-01-12,30.4468,hedef,2.97,306.0,3.59,
2026-01-12,KLGYO,kirilim,9.3,1.071,7.98,10326.0,2026-01-12,8.2194,hedef,2.97,306.0,3.13,
2026-01-12,MEDTR,dip,5.0,0.115,28.92,10326.0,2026-01-13,29.7876,hedef,2.97,306.0,6.22,
2026-01-13,ARENA,dip,7.5,0.178,31.12,19757.0,2026-01-14,30.1864,stop,-3.03,-599.0,2.19,
2026-01-13,EBEBK,kirilim,5.1,0.946,60.15,19757.0,2026-01-16,61.9545,hedef,2.97,586.0,3.24,
2026-01-13,ORGE,dip,9.1,0.103,69.5,19757.0,2026-01-14,67.415,stop,-3.03,-599.0,1.15,
2026-01-14,BORLS,dip,5.3,-0.005,2.84,8432.0,2026-01-15,2.7548,stop,-3.03,-256.0,1.41,
2026-01-14,CLEBI,dip,15.9,0.174,1753.0,8432.0,2026-01-15,1805.59,hedef,2.97,250.0,3.37,
2026-01-14,DCTTR,dip,9.0,0.18,9.4,8432.0,2026-01-14,9.682,hedef,2.97,250.0,3.09,
