giris_tarih,hisse,grup,kat,pos52,giris,poz_tl,cikis_tarih,cikis,sebep,getiri_%,tl_kar,max_gordugu_%,gun_sayisi
2026-01-02,ARENA,dip,7.0,0.097,28.82,33333.0,2026-01-05,27.9554,stop,-3.03,-1011.0,2.29,3
2026-01-02,BMSCH,kirilim,6.5,0.96,30.4,33333.0,2026-01-02,31.312,hedef,2.97,989.0,5.26,0
2026-01-02,KRVGD,kirilim,5.0,0.96,2.76,33333.0,2026-01-09,2.8428,hedef,2.97,989.0,3.26,7
2026-01-05,ALCAR,dip,7.4,0.1,868.5,3814.0,2026-01-08,842.445,stop,-3.03,-116.0,1.5,3
2026-01-05,BIENY,dip,11.6,0.021,25.0,3814.0,2026-01-07,24.25,stop,-3.03,-116.0,2.72,2
2026-01-05,ESCAR,dip,9.5,0.118,25.52,3814.0,2026-01-05,24.7544,stop,-3.03,-116.0,1.88,0
2026-01-05,GOKNR,dip,5.0,0.09,20.0,3814.0,2026-01-09,20.6,hedef,2.97,113.0,4.1,4
2026-01-05,GZNMI,dip,6.0,0.035,58.0,3814.0,2026-01-05,59.74,hedef,2.97,113.0,3.71,0
2026-01-05,JANTS,dip,22.6,0.169,20.58,3814.0,2026-01-05,21.1974,hedef,2.97,113.0,3.89,0
2026-01-05,MARKA,dip,6.1,0.19,41.0,3814.0,2026-01-05,39.77,stop,-3.03,-116.0,0.98,0
2026-01-05,QUAGR,dip,20.5,0.036,2.9,3814.0,2026-01-05,2.813,stop,-3.03,-116.0,1.03,0
2026-01-05,SONME,kirilim,10.0,0.992,185.0,3814.0,2026-01-05,190.55,hedef,2.97,113.0,5.35,0
2026-01-07,COSMO,kirilim,7.6,1.014,300.0,18399.0,2026-01-08,291.0,stop,-3.03,-558.0,3.08,1
2026-01-07,KCAER,dip,8.8,0.117,10.7,18399.0,2026-01-07,10.379,stop,-3.03,-558.0,2.06,0
