hafta,tarih,portfoy_tl,ay,hafta_bas,hafta_bit,onceki,donem_kar,donem_%
2025-12-29/2026-01-04,2026-01-02,100801.0,2026-01,12-29,01-04,100000.0,801.0,0.8
2026-01-05/2026-01-11,2026-01-09,98955.0,2026-01,01-05,01-11,100801.0,-1846.0,-1.83
2026-01-12/2026-01-18,2026-01-16,103089.0,2026-01,01-12,01-18,98955.0,4134.0,4.18
2026-01-19/2026-01-25,2026-01-23,101610.0,2026-01,01-19,01-25,103089.0,-1479.0,-1.43
2026-01-26/2026-02-01,2026-01-30,104064.0,2026-01,01-26,02-01,101610.0,2454.0,2.42
2026-02-02/2026-02-08,2026-02-06,112845.0,2026-02,02-02,02-08,104064.0,8781.0,8.44
2026-02-09/2026-02-15,2026-02-13,121285.0,2026-02,02-09,02-15,112845.0,8440.0,7.48
2026-02-16/2026-02-22,2026-02-20,127240.0,2026-02,02-16,02-22,121285.0,5955.0,4.91
2026-02-23/2026-03-01,2026-02-27,123270.0,2026-02,02-23,03-01,127240.0,-3970.0,-3.12
2026-03-02/2026-03-08,2026-03-06,129373.0,2026-03,03-02,03-08,123270.0,6103.0,4.95
2026-03-09/2026-03-15,2026-03-13,131522.0,2026-03,03-09,03-15,129373.0,2149.0,1.66
2026-03-16/2026-03-22,2026-03-19,135278.0,2026-03,03-16,03-22,131522.0,3756.0,2.86
2026-03-23/2026-03-29,2026-03-27,136897.0,2026-03,03-23,03-29,135278.0,1619.0,1.2
2026-03-30/2026-04-05,2026-04-03,141070.0,2026-04,03-30,04-05,136897.0,4173.0,3.05
2026-04-06/2026-04-12,2026-04-10,143249.0,2026-04,04-06,04-12,141070.0,2179.0,1.54
2026-04-13/2026-04-19,2026-04-17,150570.0,2026-04,04-13,04-19,143249.0,7321.0,5.11
2026-04-20/2026-04-26,2026-04-24,149160.0,2026-04,04-20,04-26,150570.0,-1410.0,-0.94
2026-04-27/2026-05-03,2026-04-30,158237.0,2026-04,04-27,05-03,149160.0,9077.0,6.09
2026-05-04/2026-05-10,2026-05-08,167157.0,2026-05,05-04,05-10,158237.0,8920.0,5.64
2026-05-11/2026-05-17,2026-05-15,170715.0,2026-05,05-11,05-17,167157.0,3558.0,2.13
2026-05-18/2026-05-24,2026-05-22,176955.0,2026-05,05-18,05-24,170715.0,6240.0,3.66
2026-05-25/2026-05-31,2026-05-26,182107.0,2026-05,05-25,05-31,176955.0,5152.0,2.91
2026-06-01/2026-06-07,2026-06-05,194761.0,2026-06,06-01,06-07,182107.0,12654.0,6.95
2026-06-08/2026-06-14,2026-06-08,192488.0,2026-06,06-08,06-14,194761.0,-2273.0,-1.17
