hafta,islem,tl_kar,hedef,stop,hafta_bas,hafta_bit,getiri_%
2025-12-29/2026-01-04,1,989.0,1,0,2025-12-29,2026-01-04,0.99
2026-01-05/2026-01-11,15,-2421.0,5,10,2026-01-05,2026-01-11,-2.42
2026-01-12/2026-01-18,22,4513.0,16,6,2026-01-12,2026-01-18,4.51
2026-01-19/2026-01-25,13,-1924.0,6,7,2026-01-19,2026-01-25,-1.92
2026-01-26/2026-02-01,21,2898.0,15,6,2026-01-26,2026-02-01,2.9
2026-02-02/2026-02-08,13,8487.0,10,3,2026-02-02,2026-02-08,8.49
2026-02-09/2026-02-15,21,8572.0,17,4,2026-02-09,2026-02-15,8.57
2026-02-16/2026-02-22,29,5686.0,18,11,2026-02-16,2026-02-22,5.69
2026-02-23/2026-03-01,15,-3537.0,6,9,2026-02-23,2026-03-01,-3.54
2026-03-02/2026-03-08,67,4377.0,59,8,2026-03-02,2026-03-08,4.38
2026-03-09/2026-03-15,24,3649.0,18,6,2026-03-09,2026-03-15,3.65
2026-03-16/2026-03-22,42,3738.0,32,10,2026-03-16,2026-03-22,3.74
2026-03-23/2026-03-29,83,1648.0,15,68,2026-03-23,2026-03-29,1.65
2026-03-30/2026-04-05,15,4245.0,10,5,2026-03-30,2026-04-05,4.24
2026-04-06/2026-04-12,11,-183.0,5,6,2026-04-06,2026-04-12,-0.18
2026-04-13/2026-04-19,16,9549.0,11,5,2026-04-13,2026-04-19,9.55
2026-04-20/2026-04-26,21,-1179.0,9,12,2026-04-20,2026-04-26,-1.18
2026-04-27/2026-05-03,11,8249.0,7,4,2026-04-27,2026-05-03,8.25
2026-05-04/2026-05-10,23,9486.0,16,7,2026-05-04,2026-05-10,9.49
2026-05-11/2026-05-17,29,4920.0,17,12,2026-05-11,2026-05-17,4.92
2026-05-18/2026-05-24,23,4856.0,14,9,2026-05-18,2026-05-24,4.86
2026-05-25/2026-05-31,26,5602.0,17,9,2026-05-25,2026-05-31,5.6
2026-06-01/2026-06-07,65,12557.0,58,7,2026-06-01,2026-06-07,12.56
2026-06-08/2026-06-14,9,-2633.0,1,4,2026-06-08,2026-06-14,-2.63
