tarih,saat,volume,kum_vol,kum_kat,close
2026-06-15,09:00,21662,21662,1.02,58.0
2026-06-15,10:00,285465,307127,14.52,58.45
2026-06-15,11:00,103114,410241,19.39,58.45
2026-06-15,12:00,119777,530018,25.05,58.2
2026-06-15,13:00,78167,608185,28.74,58.35
2026-06-15,14:00,181401,789586,37.32,58.0
2026-06-15,15:00,83730,873316,41.28,57.9
2026-06-15,16:00,44845,918161,43.4,57.9
2026-06-16,09:00,1217,1217,0.06,58.0
2026-06-16,10:00,204619,205836,9.81,57.8
2026-06-16,11:00,979205,1185041,56.48,59.85
2026-06-16,12:00,880842,2065883,98.47,61.45
2026-06-16,13:00,286519,2352402,112.12,60.4
2026-06-16,14:00,247471,2599873,123.92,60.0
2026-06-16,15:00,146512,2746385,130.9,60.0
2026-06-16,16:00,157326,2903711,138.4,59.95
2026-06-17,09:00,4878,4878,0.23,60.05
2026-06-17,10:00,536807,541685,25.92,61.0
2026-06-17,11:00,309580,851265,40.74,60.05
2026-06-17,12:00,65467,916732,43.87,59.75
2026-06-17,13:00,70513,987245,47.24,59.7
2026-06-17,14:00,109461,1096706,52.48,59.3
2026-06-17,15:00,95271,1191977,57.04,59.5
2026-06-17,16:00,398176,1590153,76.1,60.25
2026-06-18,09:00,761,761,0.04,59.7
2026-06-18,10:00,533701,534462,25.33,61.15
2026-06-18,11:00,145115,679577,32.21,60.9
2026-06-18,12:00,76889,756466,35.85,61.2
2026-06-18,13:00,210412,966878,45.82,61.4
2026-06-18,14:00,401046,1367924,64.83,61.6
