tarih,hafta,acilis,ovol,baseline_20g,kat,ciro_TL,grup,pos52,gun_high,kapanis,tarih_dt,hafta_etiket
2024-07-12,2024-W28,40.16,3936,4212,0.93,158069,orta,,40.94,40.02,2024-07-12,2024-07-08/2024-07-14
2024-07-16,2024-W29,40.4,5412,2231,2.43,218644,orta,,40.96,40.6,2024-07-16,2024-07-15/2024-07-21
2024-07-17,2024-W29,40.6,2101,2372,0.89,85300,orta,,41.18,41.08,2024-07-17,2024-07-15/2024-07-21
2024-07-18,2024-W29,41.1,1220,2436,0.5,50142,orta,,41.86,41.64,2024-07-18,2024-07-15/2024-07-21
2024-07-19,2024-W29,41.48,1576,2464,0.64,65372,orta,,41.74,41.5,2024-07-19,2024-07-15/2024-07-21
2024-07-22,2024-W30,41.5,2675,2465,1.08,111012,orta,,42.36,41.9,2024-07-22,2024-07-22/2024-07-28
2024-07-23,2024-W30,41.9,1847,2494,0.74,77389,orta,,42.78,42.1,2024-07-23,2024-07-22/2024-07-28
2024-07-24,2024-W30,42.3,1392,2349,0.59,58881,orta,,43.88,42.8,2024-07-24,2024-07-22/2024-07-28
2024-07-25,2024-W30,42.8,2097,2167,0.97,89751,orta,,42.8,41.74,2024-07-25,2024-07-22/2024-07-28
2024-07-26,2024-W30,41.84,2001,2230,0.9,83721,orta,,42.28,41.74,2024-07-26,2024-07-22/2024-07-28
2024-07-29,2024-W31,41.74,5533,2279,2.43,230947,orta,,42.62,41.0,2024-07-29,2024-07-29/2024-08-04
2024-07-30,2024-W31,41.0,673,2485,0.27,27593,orta,,42.56,42.14,2024-07-30,2024-07-29/2024-08-04
2024-07-31,2024-W31,42.0,2295,2440,0.94,96390,orta,,42.0,40.7,2024-07-31,2024-07-29/2024-08-04
2024-08-01,2024-W31,40.7,3103,2490,1.25,126292,orta,,44.76,43.1,2024-08-01,2024-07-29/2024-08-04
2024-08-02,2024-W31,42.66,3622,2625,1.38,154514,orta,,43.4,42.08,2024-08-02,2024-07-29/2024-08-04
2024-08-05,2024-W32,38.66,7755,2630,2.95,299808,orta,,40.26,38.16,2024-08-05,2024-08-05/2024-08-11
2024-08-06,2024-W32,39.48,3973,2876,1.38,156854,orta,,39.9,39.06,2024-08-06,2024-08-05/2024-08-11
2024-08-07,2024-W32,39.06,614,2966,0.21,23982,orta,,39.56,39.0,2024-08-07,2024-08-05/2024-08-11
2024-08-08,2024-W32,39.0,1464,2870,0.51,57096,orta,,39.94,39.3,2024-08-08,2024-08-05/2024-08-11
2024-08-09,2024-W32,39.32,1663,2820,0.59,65389,orta,,39.88,38.62,2024-08-09,2024-08-05/2024-08-11
