evren,min_kat,slippage,komisyon,hedef_%,stop_%,n,win_%,EV_%,PF
evren.csv,8.0,0.003,0.0005,3,2,7354,33.8,-0.711,0.48
evren.csv,8.0,0.003,0.0005,3,3,7354,38.7,-0.756,0.5
evren.csv,8.0,0.003,0.0005,3,4,7354,41.9,-0.759,0.52
evren.csv,8.0,0.003,0.0005,3,5,7354,44.9,-0.628,0.59
evren.csv,8.0,0.003,0.0005,5,2,7354,29.0,-0.594,0.6
evren.csv,8.0,0.003,0.0005,5,3,7354,32.8,-0.673,0.6
evren.csv,8.0,0.003,0.0005,5,4,7354,35.2,-0.707,0.6
evren.csv,8.0,0.003,0.0005,5,5,7354,37.3,-0.622,0.65
evren.csv,8.0,0.003,0.0005,7,2,7354,26.7,-0.617,0.59
evren.csv,8.0,0.003,0.0005,7,3,7354,30.1,-0.713,0.59
evren.csv,8.0,0.003,0.0005,7,4,7354,32.2,-0.766,0.59
evren.csv,8.0,0.003,0.0005,7,5,7354,34.0,-0.699,0.62
