giris_tarih,hisse,grup,kat,pos52,giris,poz_tl,cikis_tarih,cikis,sebep,getiri_%,tl_kar,max_gordugu_%
2026-04-24,PRZMA,tepe,9.0,1.175,25.84,100000.0,2026-04-24,25.0648,stop,-3.63,-3633.0,0.0
2026-05-04,EUKYO,orta,43.7,0.751,6.99,48184.0,2026-05-04,7.1997,hedef,2.37,1141.0,5.72
2026-05-04,KUVVA,orta,9.0,0.54,125.0,48184.0,2026-05-04,121.25,stop,-3.63,-1751.0,0.0
2026-05-05,MTRYO,orta,12.5,0.583,10.74,95757.0,2026-05-05,10.4178,stop,-3.63,-3479.0,0.0
2026-05-06,IHYAY,dip,9.0,0.106,1.83,92278.0,2026-05-08,1.8849,hedef,2.37,2184.0,3.28
2026-05-11,IDGYO,orta,8.9,0.498,3.63,94462.0,2026-05-11,3.5211,stop,-3.63,-3432.0,0.0
2026-05-12,DMSAS,orta,10.7,0.303,9.08,45515.0,2026-05-20,9.3524,hedef,2.37,1077.0,8.15
2026-05-12,ERBOS,kirilim,17.0,0.911,217.9,45515.0,2026-05-12,224.437,hedef,2.37,1077.0,3.72
2026-05-13,ETYAT,orta,10.1,0.711,8.0,46593.0,2026-05-20,7.76,stop,-3.63,-1693.0,2.5
2026-05-21,BAKAB,kirilim,9.4,1.008,52.2,22873.0,2026-05-21,50.634,stop,-3.63,-831.0,0.0
2026-05-21,BIGTK,dip,56.0,0.018,211.5,22873.0,2026-05-21,217.845,hedef,2.37,541.0,3.03
2026-05-21,GMTAS,tepe,18.4,0.863,48.42,22873.0,2026-05-21,46.9674,stop,-3.63,-831.0,0.0
2026-05-21,VERTU,orta,63.7,0.396,42.64,22873.0,2026-05-21,41.3608,stop,-3.63,-831.0,0.09
2026-05-22,ADGYO,orta,9.4,0.509,50.0,11193.0,2026-05-22,51.5,hedef,2.37,265.0,6.7
2026-05-22,AGYO,orta,9.1,0.507,8.08,11193.0,2026-05-22,8.3224,hedef,2.37,265.0,3.96
2026-05-22,CEMZY,orta,9.7,0.77,12.0,11193.0,2026-05-22,12.36,hedef,2.37,265.0,7.67
2026-05-22,INVES,orta,13.1,0.63,590.0,11193.0,2026-05-22,607.7,hedef,2.37,265.0,3.14
2026-05-22,KOPOL,dip,44.1,0.131,5.03,11193.0,2026-05-22,5.1809,hedef,2.37,265.0,9.54
2026-05-22,LUKSK,orta,10.6,0.233,90.1,11193.0,2026-05-22,92.803,hedef,2.37,265.0,8.6
2026-05-22,RYSAS,orta,10.2,0.577,19.06,11193.0,2026-05-22,19.6318,hedef,2.37,265.0,3.2
2026-05-22,VERUS,kirilim,10.4,0.967,573.0,11193.0,2026-05-22,590.19,hedef,2.37,265.0,4.71
2026-05-25,GUNDG,tepe,19.7,1.104,1303.0,91660.0,2026-05-25,1263.91,stop,-3.63,-3330.0,0.0
2026-06-01,IDGYO,orta,8.5,0.718,4.23,44165.0,2026-06-01,4.3569,hedef,2.37,1045.0,3.07
2026-06-01,NUGYO,orta,8.1,0.509,10.41,44165.0,2026-06-01,10.0977,stop,-3.63,-1605.0,1.92
2026-06-02,DERHL,dip,8.1,0.047,15.42,43886.0,2026-06-02,15.8826,hedef,2.37,1039.0,3.76
2026-06-02,PAMEL,orta,11.7,0.296,93.75,43886.0,2026-06-02,90.9375,stop,-3.63,-1594.0,0.75
2026-06-03,AKMGY,orta,12.4,0.693,294.5,14536.0,2026-06-03,285.665,stop,-3.63,-528.0,0.17
2026-06-03,BARMA,tepe,9.4,0.95,60.2,14536.0,2026-06-08,61.65,acik_kaldi,1.78,258.0,2.74
2026-06-03,BLCYT,orta,58.4,0.622,44.16,14536.0,2026-06-03,42.8352,stop,-3.63,-528.0,0.0
2026-06-03,KNFRT,orta,8.1,0.374,15.04,14536.0,2026-06-03,15.4912,hedef,2.37,344.0,3.13
2026-06-03,MEPET,orta,12.9,0.7,25.88,14536.0,2026-06-03,26.6564,hedef,2.37,344.0,3.94
2026-06-03,NUGYO,orta,8.7,0.634,11.29,14536.0,2026-06-03,10.9513,stop,-3.63,-528.0,1.24
2026-06-04,CUSAN,orta,29.0,0.468,28.78,14357.0,2026-06-04,27.9166,stop,-3.63,-522.0,1.32
2026-06-04,KNFRT,orta,9.4,0.486,16.69,14357.0,2026-06-04,17.1907,hedef,2.37,340.0,3.77
2026-06-04,LUKSK,orta,29.9,0.623,118.7,14357.0,2026-06-04,115.139,stop,-3.63,-522.0,0.08
2026-06-04,MAKIM,orta,20.2,0.566,19.59,14357.0,2026-06-04,19.0023,stop,-3.63,-522.0,0.77
2026-06-04,UFUK,orta,27.9,0.387,1387.0,14357.0,2026-06-04,1345.39,stop,-3.63,-522.0,0.0
2026-06-05,AVGYO,orta,83.5,0.49,14.0,17509.0,2026-06-05,13.58,stop,-3.63,-636.0,1.57
2026-06-05,BARMA,tepe,34.9,0.926,59.1,17509.0,2026-06-05,60.873,hedef,2.37,414.0,3.3
2026-06-05,CMBTN,dip,19.5,0.095,1595.0,17509.0,2026-06-08,1588.0,acik_kaldi,-1.07,-188.0,2.63
2026-06-05,ULUFA,orta,8.6,0.381,4.0,17509.0,2026-06-05,4.12,hedef,2.37,414.0,3.75
2026-06-08,POLTK,dip,9.1,0.067,5270.0,26360.0,2026-06-08,5111.9,stop,-3.63,-958.0,0.05
2026-06-08,SEKUR,kirilim,14.9,0.863,8.06,26360.0,2026-06-08,7.8182,stop,-3.63,-958.0,0.5
