giris_tarih,hisse,grup,kat,pos52,giris,poz_tl,cikis_tarih,cikis,sebep,getiri_%,tl_kar,max_gordugu_%
2026-04-17,PRZMA,kirilim,3.2,0.894,16.68,100000.0,2026-04-17,17.1804,hedef,2.97,2967.0,3.12
2026-04-21,PRZMA,kirilim,3.9,0.997,19.44,102967.0,2026-04-21,18.8568,stop,-3.03,-3123.0,0.05
2026-05-06,IHYAY,dip,9.0,0.106,1.83,99844.0,2026-05-08,1.8849,hedef,2.97,2962.0,3.28
2026-05-12,ERBOS,kirilim,17.0,0.911,217.9,102806.0,2026-05-12,224.437,hedef,2.97,3050.0,3.72
2026-05-14,ALCAR,dip,32.9,0.183,771.5,52928.0,2026-05-18,748.355,stop,-3.03,-1605.0,1.88
2026-05-14,UNLU,dip,4.0,0.186,13.77,52928.0,2026-05-20,13.3569,stop,-3.03,-1605.0,2.69
2026-05-20,AKFIS,kirilim,2.7,0.995,66.9,12831.0,2026-05-20,64.893,stop,-3.03,-389.0,1.72
2026-05-20,BIGCH,dip,4.2,0.137,6.61,12831.0,2026-05-21,6.4117,stop,-3.03,-389.0,1.82
2026-05-20,EKSUN,kirilim,9.8,0.903,7.4,12831.0,2026-05-20,7.622,hedef,2.97,381.0,3.92
2026-05-20,LKMNH,dip,17.0,0.169,15.2,12831.0,2026-05-20,15.656,hedef,2.97,381.0,3.09
2026-05-21,BAKAB,kirilim,9.4,1.008,52.2,8199.0,2026-05-21,50.634,stop,-3.03,-249.0,0.0
2026-05-21,BIGTK,dip,56.0,0.018,211.5,8199.0,2026-05-21,217.845,hedef,2.97,243.0,3.03
2026-05-21,DAPGM,dip,6.2,0.124,9.77,8199.0,2026-05-21,10.0631,hedef,2.97,243.0,3.38
2026-05-21,DCTTR,kirilim,2.4,0.955,14.71,8199.0,2026-05-21,15.1513,hedef,2.97,243.0,3.74
2026-05-21,DMRGD,kirilim,3.7,0.986,9.3,8199.0,2026-05-21,9.579,hedef,2.97,243.0,3.98
2026-05-21,GUNDG,kirilim,5.1,1.103,1097.0,8199.0,2026-05-21,1064.09,stop,-3.03,-249.0,0.0
2026-05-21,ORGE,kirilim,2.9,0.995,104.2,8199.0,2026-05-21,107.326,hedef,2.97,243.0,3.45
