giris_tarih,hisse,grup,kat,pos52,giris,poz_tl,cikis_tarih,cikis,sebep,getiri_%,tl_kar,max_gordugu_%,son_gun_limit,tutus_gun
2026-05-06,IHYAY,dip,9.0,0.106,1.83,100000.0,2026-05-07,1.88,sure_doldu,2.7,2699.0,2.73,2026-05-07,1
2026-05-12,ERBOS,kirilim,17.0,0.911,217.9,102699.0,2026-05-13,207.005,stop,-5.03,-5169.0,0.0,2026-05-13,1
2026-05-14,ALCAR,dip,32.9,0.183,771.5,97530.0,2026-05-15,765.5,sure_doldu,-0.81,-791.0,1.49,2026-05-15,1
2026-05-18,GARFA,kirilim,6.8,0.983,35.66,24185.0,2026-05-18,33.877,stop,-5.03,-1217.0,0.95,2026-05-20,0
2026-05-18,GSDHO,kirilim,8.1,0.996,6.0,24185.0,2026-05-18,6.3,hedef,4.97,1201.0,5.0,2026-05-20,0
2026-05-18,ISSEN,kirilim,119.0,1.071,10.04,24185.0,2026-05-20,10.542,hedef,4.97,1201.0,10.56,2026-05-20,2
2026-05-18,JANTS,dip,6.5,0.191,18.98,24185.0,2026-05-18,18.031,stop,-5.03,-1217.0,2.27,2026-05-20,0
2026-05-20,EKSUN,kirilim,9.8,0.903,7.4,35661.0,2026-05-20,7.77,hedef,4.97,1771.0,5.81,2026-05-21,0
2026-05-20,LKMNH,dip,17.0,0.169,15.2,35661.0,2026-05-20,15.96,hedef,4.97,1771.0,5.0,2026-05-21,0
2026-05-21,BAKAB,kirilim,9.4,1.008,52.2,16708.0,2026-05-21,49.59,stop,-5.03,-841.0,0.0,2026-05-22,0
2026-05-21,BIGTK,dip,56.0,0.018,211.5,16708.0,2026-05-21,222.075,hedef,4.97,830.0,5.96,2026-05-22,0
2026-05-21,DAPGM,dip,6.2,0.124,9.77,16708.0,2026-05-21,9.2815,stop,-5.03,-841.0,3.38,2026-05-22,0
2026-05-21,GUNDG,kirilim,5.1,1.103,1097.0,16708.0,2026-05-22,1151.85,hedef,4.97,830.0,8.02,2026-05-22,1
2026-05-21,VERUS,kirilim,5.7,0.979,571.5,16708.0,2026-05-22,586.0,sure_doldu,2.5,418.0,4.99,2026-05-22,1
2026-05-21,VRGYO,dip,5.4,0.056,2.21,16708.0,2026-05-21,2.0995,stop,-5.03,-841.0,0.45,2026-05-22,0
2026-05-22,ALVES,dip,8.0,0.106,2.6,10857.0,2026-05-22,2.73,hedef,4.97,539.0,5.0,2026-05-25,0
2026-05-22,KOPOL,dip,44.1,0.131,5.03,10857.0,2026-05-22,5.2815,hedef,4.97,539.0,9.54,2026-05-25,0
2026-05-22,NTHOL,dip,5.6,-0.047,35.12,10857.0,2026-05-22,36.876,hedef,4.97,539.0,5.01,2026-05-25,0
2026-05-22,VERTU,dip,6.6,0.181,35.02,10857.0,2026-05-22,36.771,hedef,4.97,539.0,5.6,2026-05-25,0
2026-05-22,VERUS,kirilim,10.4,0.967,573.0,10857.0,2026-05-25,580.0,sure_doldu,1.19,129.0,4.54,2026-05-25,3
2026-05-22,ZRGYO,dip,6.9,-0.064,16.78,10857.0,2026-05-22,17.619,hedef,4.97,539.0,6.67,2026-05-25,0
2026-05-25,CEMTS,dip,6.9,0.18,10.35,45823.0,2026-05-26,10.49,sure_doldu,1.32,605.0,4.06,2026-05-26,1
2026-05-25,DURDO,kirilim,23.5,0.907,5.0,45823.0,2026-05-25,5.25,hedef,4.97,2276.0,5.0,2026-05-26,0
2026-06-01,HRKET,kirilim,6.3,1.1,96.5,105512.0,2026-06-02,101.325,hedef,4.97,5241.0,6.22,2026-06-02,1
2026-06-03,CGCAM,kirilim,6.6,0.899,46.42,55376.0,2026-06-03,48.741,hedef,4.97,2751.0,6.07,2026-06-04,0
2026-06-03,KARTN,kirilim,7.7,0.981,130.3,55376.0,2026-06-04,136.815,hedef,4.97,2751.0,9.75,2026-06-04,1
2026-06-04,TUREX,dip,5.1,0.155,9.2,58127.0,2026-06-04,9.66,hedef,4.97,2887.0,5.33,2026-06-05,0
2026-06-05,CMBTN,dip,19.5,0.095,1595.0,59570.0,2026-06-08,1588.0,sure_doldu,-0.47,-281.0,0.56,2026-06-08,3
2026-06-05,EMKEL,dip,9.8,0.071,25.96,59570.0,2026-06-05,24.662,stop,-5.03,-2998.0,0.23,2026-06-08,0
2026-06-08,AKFYE,kirilim,20.5,1.057,26.0,14143.0,2026-06-08,27.3,hedef,4.97,702.0,6.46,2026-06-08,0
2026-06-08,DERHL,dip,7.5,0.033,14.2,14143.0,2026-06-08,13.79,sure_doldu,-2.92,-413.0,0.28,2026-06-08,0
2026-06-08,POLTK,dip,9.1,0.067,5270.0,14143.0,2026-06-08,5006.5,stop,-5.03,-712.0,0.05,2026-06-08,0
2026-06-08,SEKUR,kirilim,14.9,0.863,8.06,14143.0,2026-06-08,8.463,hedef,4.97,702.0,5.58,2026-06-08,0
