tarih,hisse,tip,grup,kat,pos52,acilis,poz_tl,en_yuksek_%,kapanis_%,stop,ret_+1%,tl_+1%,ret_+2%,tl_+2%,ret_+3%,tl_+3%,ret_+5%,tl_+5%,ret_+5%+ride,tl_+5%+ride
2026-05-22,ADGYO,FALSE,orta,9.4,0.509,50.0,10000,17.0,15.2,False,0.97,97.0,1.97,197.0,2.97,297.0,4.97,497.0,15.17,1517.0
2026-05-22,AGESA,FALSE,orta,13.5,0.715,221.0,10000,6.33,6.33,False,0.97,97.0,1.97,197.0,2.97,297.0,4.97,497.0,6.3,630.0
2026-05-22,AGYO,FALSE,orta,9.1,0.507,8.08,10000,12.0,8.91,False,0.97,97.0,1.97,197.0,2.97,297.0,4.97,497.0,8.88,888.0
2026-06-03,AKMGY,FALSE,orta,12.4,0.693,294.5,10000,0.17,-7.56,True,-3.03,-303.0,-3.03,-303.0,-3.03,-303.0,-3.03,-303.0,-3.03,-303.0
2026-05-14,ALCAR,TRUE,dip,32.9,0.183,771.5,20000,1.88,0.71,False,0.97,193.0,0.68,135.0,0.68,135.0,0.68,135.0,0.68,135.0
2026-05-18,ARMGD,FALSE,orta,39.6,0.679,117.4,10000,20.7,6.98,False,0.97,97.0,1.97,197.0,2.97,297.0,4.97,497.0,6.95,695.0
2026-05-15,ARTMS,FALSE,orta,20.1,0.538,43.24,10000,0.69,-0.14,False,-0.17,-17.0,-0.17,-17.0,-0.17,-17.0,-0.17,-17.0,-0.17,-17.0
2026-06-04,ARTMS,FALSE,orta,9.8,0.713,48.84,10000,4.52,-9.79,True,0.97,97.0,1.97,197.0,2.97,297.0,-3.03,-303.0,-3.03,-303.0
2026-06-05,AVGYO,FALSE,orta,83.5,0.49,14.0,10000,1.57,-4.93,True,0.97,97.0,-3.03,-303.0,-3.03,-303.0,-3.03,-303.0,-3.03,-303.0
2026-06-05,AVHOL,FALSE,orta,11.4,0.769,51.8,10000,5.21,-4.86,True,0.97,97.0,1.97,197.0,2.97,297.0,4.97,497.0,-3.03,-303.0
2026-05-21,BAKAB,TRUE,kirilim,9.4,1.008,52.2,20000,0.0,-13.1,True,-3.03,-607.0,-3.03,-607.0,-3.03,-607.0,-3.03,-607.0,-3.03,-607.0
2026-05-25,BAYRK,FALSE,orta,15.7,0.342,5.85,10000,2.56,-5.13,True,0.97,97.0,1.97,197.0,-3.03,-303.0,-3.03,-303.0,-3.03,-303.0
2026-05-18,BESLR,FALSE,orta,8.6,0.748,16.35,10000,0.92,-2.57,True,-3.03,-303.0,-3.03,-303.0,-3.03,-303.0,-3.03,-303.0,-3.03,-303.0
2026-05-21,BIGTK,TRUE,dip,56.0,0.018,211.5,20000,9.31,0.28,False,0.97,193.0,1.97,393.0,2.97,593.0,4.97,993.0,0.25,49.0
2026-05-11,BIZIM,TRUE,kirilim,31.9,1.086,35.0,20000,4.86,-11.6,True,0.97,193.0,1.97,393.0,2.97,593.0,-3.03,-607.0,-3.03,-607.0
2026-06-03,BLCYT,FALSE,orta,58.4,0.622,44.16,10000,0.0,-18.12,True,-3.03,-303.0,-3.03,-303.0,-3.03,-303.0,-3.03,-303.0,-3.03,-303.0
2026-05-22,CEMZY,FALSE,orta,9.7,0.77,12.0,10000,13.33,13.33,False,0.97,97.0,1.97,197.0,2.97,297.0,4.97,497.0,13.3,1330.0
2026-05-15,CEOEM,FALSE,orta,113.5,0.36,27.94,10000,3.08,-5.15,True,0.97,97.0,1.97,197.0,2.97,297.0,-3.03,-303.0,-3.03,-303.0
2026-06-05,CMBTN,TRUE,dip,19.5,0.095,1595.0,20000,2.63,0.06,False,0.97,193.0,1.97,393.0,0.03,5.0,0.03,5.0,0.03,5.0
2026-06-04,CUSAN,FALSE,orta,29.0,0.468,28.78,10000,1.32,-4.1,True,0.97,97.0,-3.03,-303.0,-3.03,-303.0,-3.03,-303.0,-3.03,-303.0
2026-06-02,DERHL,TRUE,dip,8.1,0.047,15.42,20000,3.76,-9.21,True,0.97,193.0,1.97,393.0,2.97,593.0,-3.03,-607.0,-3.03,-607.0
2026-05-12,DMSAS,FALSE,orta,10.7,0.303,9.08,10000,2.64,0.55,False,0.97,97.0,1.97,197.0,0.52,52.0,0.52,52.0,0.52,52.0
2026-05-25,DURDO,TRUE,kirilim,23.5,0.907,5.0,20000,5.4,4.2,False,0.97,193.0,1.97,393.0,2.97,593.0,4.97,993.0,4.17,833.0
2026-05-20,EKSUN,TRUE,kirilim,9.8,0.903,7.4,20000,6.76,4.46,False,0.97,193.0,1.97,393.0,2.97,593.0,4.97,993.0,4.43,885.0
2026-05-22,ELITE,FALSE,orta,13.0,0.468,35.3,10000,10.88,10.2,False,0.97,97.0,1.97,197.0,2.97,297.0,4.97,497.0,10.17,1017.0
2026-06-05,EMKEL,TRUE,dip,9.8,0.071,25.96,20000,0.0,-11.79,True,-3.03,-607.0,-3.03,-607.0,-3.03,-607.0,-3.03,-607.0,-3.03,-607.0
2026-05-12,ERBOS,TRUE,kirilim,17.0,0.911,217.9,20000,3.72,-2.39,False,0.97,193.0,1.97,393.0,2.97,593.0,-2.42,-485.0,-2.42,-485.0
2026-05-13,ETYAT,FALSE,orta,10.1,0.711,8.0,10000,2.5,1.37,False,0.97,97.0,1.97,197.0,1.34,134.0,1.34,134.0,1.34,134.0
2026-05-04,EUKYO,FALSE,orta,43.7,0.751,6.99,10000,7.3,3.58,False,0.97,97.0,1.97,197.0,2.97,297.0,4.97,497.0,3.55,355.0
2026-05-18,GEDIK,FALSE,orta,28.6,0.496,7.4,10000,1.35,3.65,True,0.97,97.0,-3.03,-303.0,-3.03,-303.0,-3.03,-303.0,-3.03,-303.0
2026-05-20,GEDIK,FALSE,orta,8.6,0.57,7.91,10000,1.77,-12.64,True,0.97,97.0,-3.03,-303.0,-3.03,-303.0,-3.03,-303.0,-3.03,-303.0
2026-05-18,GSDHO,TRUE,kirilim,8.1,0.996,6.0,20000,5.17,-10.67,True,0.97,193.0,1.97,393.0,2.97,593.0,4.97,993.0,-3.03,-607.0
2026-05-11,IDGYO,FALSE,orta,8.9,0.498,3.63,10000,0.0,4.68,True,-3.03,-303.0,-3.03,-303.0,-3.03,-303.0,-3.03,-303.0,-3.03,-303.0
2026-06-01,IDGYO,FALSE,orta,8.5,0.718,4.23,10000,5.2,5.2,False,0.97,97.0,1.97,197.0,2.97,297.0,4.97,497.0,5.17,517.0
2026-05-06,IHYAY,TRUE,dip,9.0,0.106,1.83,20000,2.19,1.64,False,0.97,193.0,1.97,393.0,1.61,321.0,1.61,321.0,1.61,321.0
2026-05-15,INVEO,FALSE,orta,24.3,0.352,9.04,10000,3.21,-2.32,True,0.97,97.0,1.97,197.0,2.97,297.0,-3.03,-303.0,-3.03,-303.0
2026-05-22,INVES,FALSE,orta,13.1,0.63,590.0,10000,3.73,3.39,False,0.97,97.0,1.97,197.0,2.97,297.0,3.36,336.0,3.36,336.0
2026-05-18,ISGYO,FALSE,orta,10.3,0.653,21.08,10000,2.09,0.09,False,0.97,97.0,1.97,197.0,0.06,6.0,0.06,6.0,0.06,6.0
2026-05-18,ISSEN,TRUE,kirilim,119.0,1.071,10.04,20000,4.78,4.78,False,0.97,193.0,1.97,393.0,2.97,593.0,4.75,949.0,4.75,949.0
2026-05-20,KFEIN,FALSE,orta,86.6,0.596,10.6,10000,5.19,-8.96,True,0.97,97.0,1.97,197.0,2.97,297.0,4.97,497.0,-3.03,-303.0
2026-06-03,KNFRT,FALSE,orta,8.1,0.374,15.04,10000,6.98,6.98,False,0.97,97.0,1.97,197.0,2.97,297.0,4.97,497.0,6.95,695.0
2026-06-04,KNFRT,FALSE,orta,9.4,0.486,16.69,10000,4.25,-2.46,True,0.97,97.0,1.97,197.0,2.97,297.0,-3.03,-303.0,-3.03,-303.0
2026-05-22,KOPOL,TRUE,dip,44.1,0.131,5.03,20000,15.71,15.11,False,0.97,193.0,1.97,393.0,2.97,593.0,4.97,993.0,15.08,3015.0
2026-05-20,LKMNH,TRUE,dip,17.0,0.169,15.2,20000,5.2,3.42,False,0.97,193.0,1.97,393.0,2.97,593.0,4.97,993.0,3.39,677.0
