giris_tarih,hisse,grup,kat,pos52,giris,poz_tl,cikis_tarih,cikis,sebep,getiri_%,tl_kar,max_gordugu_%
2026-05-06,IHYAY,dip,9.0,0.106,1.83,100000.0,2026-05-18,1.7751,stop,-3.03,-3033.0,4.37
2026-05-20,EKSUN,kirilim,9.8,0.903,7.4,48484.0,2026-05-20,7.77,hedef,4.97,2408.0,5.81
2026-05-20,LKMNH,dip,17.0,0.169,15.2,48484.0,2026-05-20,15.96,hedef,4.97,2408.0,5.0
2026-05-21,BAKAB,kirilim,9.4,1.008,52.2,50892.0,2026-05-21,50.634,stop,-3.03,-1544.0,0.0
2026-05-21,BIGTK,dip,56.0,0.018,211.5,50892.0,2026-05-21,222.075,hedef,4.97,2528.0,5.96
2026-05-22,KOPOL,dip,44.1,0.131,5.03,51384.0,2026-05-22,5.2815,hedef,4.97,2552.0,9.54
2026-05-22,VERUS,kirilim,10.4,0.967,573.0,51384.0,2026-06-02,601.65,hedef,4.97,2552.0,6.63
2026-05-25,DURDO,kirilim,23.5,0.907,5.0,53936.0,2026-05-25,5.25,hedef,4.97,2679.0,5.0
2026-06-02,DERHL,dip,8.1,0.047,15.42,56615.0,2026-06-02,14.9574,stop,-3.03,-1717.0,3.76
2026-06-05,CMBTN,dip,19.5,0.095,1595.0,54417.0,2026-06-08,1588.0,acik_kaldi,-0.47,-257.0,2.63
2026-06-05,EMKEL,dip,9.8,0.071,25.96,54417.0,2026-06-05,25.1812,stop,-3.03,-1650.0,0.15
2026-06-08,AKFYE,kirilim,20.5,1.057,26.0,17589.0,2026-06-08,27.3,hedef,4.97,874.0,6.46
2026-06-08,POLTK,dip,9.1,0.067,5270.0,17589.0,2026-06-08,5111.9,stop,-3.03,-533.0,0.05
2026-06-08,SEKUR,kirilim,14.9,0.863,8.06,17589.0,2026-06-08,7.8182,stop,-3.03,-533.0,0.5
