giris_tarih,cikis_tarih,hisse,grup,kat,pos52,giris,cikis,poz_tl,sebep,getiri_%,tl_kar,max_gordugu_%,tutus_gun
2026-05-06,2026-05-06,IHYAY,dip,9.0,0.106,1.83,1.86,100000.0,gun_kapanis,1.61,1606.0,2.19,0
2026-05-12,2026-05-12,ERBOS,kirilim,17.0,0.911,217.9,212.7,101606.0,gun_kapanis,-2.42,-2458.0,3.72,0
2026-05-14,2026-05-14,ALCAR,dip,32.9,0.183,771.5,777.0,99148.0,gun_kapanis,0.68,674.0,1.88,0
2026-05-18,2026-05-18,GARFA,kirilim,6.8,0.983,35.66,33.84,24956.0,gun_kapanis,-5.14,-1282.0,5.16,0
2026-05-18,2026-05-18,GSDHO,kirilim,8.1,0.996,6.0,5.36,24956.0,gun_kapanis,-10.7,-2670.0,5.17,0
2026-05-18,2026-05-18,ISSEN,kirilim,119.0,1.071,10.04,10.52,24956.0,gun_kapanis,4.75,1185.0,4.78,0
2026-05-18,2026-05-18,JANTS,dip,6.5,0.191,18.98,17.8,24956.0,gun_kapanis,-6.25,-1560.0,2.27,0
2026-05-20,2026-05-20,EKSUN,kirilim,9.8,0.903,7.4,7.73,47748.0,gun_kapanis,4.43,2114.0,6.76,0
2026-05-20,2026-05-20,LKMNH,dip,17.0,0.169,15.2,15.72,47748.0,gun_kapanis,3.39,1618.0,5.2,0
2026-05-21,2026-05-21,BAKAB,kirilim,9.4,1.008,52.2,45.36,16538.0,gun_kapanis,-13.14,-2172.0,0.0,0
2026-05-21,2026-05-21,BIGTK,dip,56.0,0.018,211.5,212.1,16538.0,gun_kapanis,0.25,41.0,9.31,0
2026-05-21,2026-05-21,DAPGM,dip,6.2,0.124,9.77,9.01,16538.0,gun_kapanis,-7.81,-1292.0,3.38,0
2026-05-21,2026-05-21,GUNDG,kirilim,5.1,1.103,1097.0,1078.0,16538.0,gun_kapanis,-1.76,-292.0,0.0,0
2026-05-21,2026-05-21,VERUS,kirilim,5.7,0.979,571.5,573.0,16538.0,gun_kapanis,0.23,38.0,2.71,0
2026-05-21,2026-05-21,VRGYO,dip,5.4,0.056,2.21,2.08,16538.0,gun_kapanis,-5.92,-978.0,0.45,0
2026-05-22,2026-05-22,ALVES,dip,8.0,0.106,2.6,2.69,15762.0,gun_kapanis,3.43,540.0,6.15,0
2026-05-22,2026-05-22,KOPOL,dip,44.1,0.131,5.03,5.79,15762.0,gun_kapanis,15.08,2376.0,15.71,0
2026-05-22,2026-05-22,NTHOL,dip,5.6,-0.047,35.12,37.6,15762.0,gun_kapanis,7.03,1108.0,7.06,0
2026-05-22,2026-05-22,VERTU,dip,6.6,0.181,35.02,38.64,15762.0,gun_kapanis,10.3,1624.0,14.91,0
2026-05-22,2026-05-22,VERUS,kirilim,10.4,0.967,573.0,586.0,15762.0,gun_kapanis,2.24,352.0,4.71,0
2026-05-22,2026-05-22,ZRGYO,dip,6.9,-0.064,16.78,17.86,15762.0,gun_kapanis,6.4,1009.0,7.57,0
2026-05-25,2026-05-25,CEMTS,dip,6.9,0.18,10.35,10.6,50791.0,gun_kapanis,2.38,1210.0,3.96,0
2026-05-25,2026-05-25,DURDO,kirilim,23.5,0.907,5.0,5.21,50791.0,gun_kapanis,4.17,2116.0,5.4,0
2026-06-01,2026-06-01,HRKET,kirilim,6.3,1.1,96.5,96.5,104908.0,gun_kapanis,-0.03,-35.0,0.0,0
2026-06-02,2026-06-02,DERHL,dip,8.1,0.047,15.42,14.0,52437.0,gun_kapanis,-9.24,-4846.0,3.76,0
2026-06-02,2026-06-02,KRVGD,kirilim,5.4,0.964,3.4,3.26,52437.0,gun_kapanis,-4.15,-2176.0,5.0,0
2026-06-03,2026-06-03,CGCAM,kirilim,6.6,0.899,46.42,43.46,48925.0,gun_kapanis,-6.41,-3136.0,6.16,0
2026-06-03,2026-06-03,KARTN,kirilim,7.7,0.981,130.3,136.7,48925.0,gun_kapanis,4.88,2387.0,4.91,0
2026-06-04,2026-06-04,TUREX,dip,5.1,0.155,9.2,8.56,97102.0,gun_kapanis,-6.99,-6787.0,7.61,0
2026-06-05,2026-06-05,CMBTN,dip,19.5,0.095,1595.0,1596.0,45158.0,gun_kapanis,0.03,13.0,2.63,0
2026-06-05,2026-06-05,EMKEL,dip,9.8,0.071,25.96,22.9,45158.0,gun_kapanis,-11.82,-5338.0,0.23,0
2026-06-08,2026-06-08,AKFYE,kirilim,20.5,1.057,26.0,27.68,21248.0,gun_kapanis,6.43,1366.0,6.46,0
2026-06-08,2026-06-08,DERHL,dip,7.5,0.033,14.2,13.79,21248.0,gun_kapanis,-2.92,-621.0,0.28,0
2026-06-08,2026-06-08,POLTK,dip,9.1,0.067,5270.0,5027.5,21248.0,gun_kapanis,-4.63,-985.0,0.05,0
2026-06-08,2026-06-08,SEKUR,kirilim,14.9,0.863,8.06,8.81,21248.0,gun_kapanis,9.27,1970.0,9.31,0
