giris_tarih,hisse,grup,kat,pos52,giris,poz_tl,cikis_tarih,cikis,sebep,getiri_%,tl_kar,max_gordugu_%
2026-05-06,IHYAY,dip,9.0,0.106,1.83,100000,2026-05-08,1.8849,hedef,2.97,2967.0,3.28
2026-05-12,ERBOS,kirilim,17.0,0.911,217.9,100000,2026-05-12,224.437,hedef,2.97,2967.0,3.72
2026-05-14,ALCAR,dip,32.9,0.183,771.5,100000,2026-05-18,748.355,stop,-3.03,-3033.0,1.88
2026-05-18,ISSEN,kirilim,119.0,1.071,10.04,100000,2026-05-18,10.3412,hedef,2.97,2967.0,3.09
2026-05-20,LKMNH,dip,17.0,0.169,15.2,100000,2026-05-20,15.656,hedef,2.97,2967.0,3.09
2026-05-21,BIGTK,dip,56.0,0.018,211.5,100000,2026-05-21,217.845,hedef,2.97,2967.0,3.03
2026-05-22,KOPOL,dip,44.1,0.131,5.03,100000,2026-05-22,5.1809,hedef,2.97,2967.0,9.54
2026-05-25,DURDO,kirilim,23.5,0.907,5.0,100000,2026-05-25,5.15,hedef,2.97,2967.0,3.6
2026-06-01,HRKET,kirilim,6.3,1.1,96.5,100000,2026-06-02,99.395,hedef,2.97,2967.0,3.63
2026-06-02,DERHL,dip,8.1,0.047,15.42,100000,2026-06-02,15.8826,hedef,2.97,2967.0,3.76
2026-06-03,KARTN,kirilim,7.7,0.981,130.3,100000,2026-06-03,134.209,hedef,2.97,2967.0,3.07
2026-06-04,TUREX,dip,5.1,0.155,9.2,100000,2026-06-04,9.476,hedef,2.97,2967.0,3.04
2026-06-05,CMBTN,dip,19.5,0.095,1595.0,100000,2026-06-08,1588.0,acik_kaldi,-0.47,-472.0,2.63
2026-06-08,AKFYE,kirilim,20.5,1.057,26.0,100000,2026-06-08,26.78,hedef,2.97,2967.0,6.46
