hisse,tf,tarih,bar_sayisi,ilk_bar,son_bar,giris,high,low,kapanis,sebep,cikis,cikis_saat,getiri_%,mfe_%,mae_%
AKCNS,15dk,2026-06-15,34,09:45,18:00,219.9,223.2,215.4,223.0,gun_sonu,223.0,18:00,1.38,1.5,-2.05
AKCNS,1dk,2026-06-15,408,09:55,18:08,219.9,223.2,215.4,223.0,gun_sonu,223.0,18:08,1.38,1.5,-2.05
AKCNS,15dk,2026-06-16,34,09:45,18:00,223.0,227.7,222.6,225.8,gun_sonu,225.8,18:00,1.22,2.11,-0.18
AKCNS,1dk,2026-06-16,357,09:55,18:05,223.0,227.7,222.6,225.8,gun_sonu,225.8,18:05,1.22,2.11,-0.18
AKCNS,15dk,2026-06-17,27,09:45,16:15,225.8,227.7,222.9,224.5,gun_sonu,224.5,16:15,-0.61,0.84,-1.28
AKCNS,1dk,2026-06-17,266,09:55,16:27,225.8,227.7,222.9,224.5,gun_sonu,224.5,16:27,-0.61,0.84,-1.28
OFSYM,15dk,2026-06-15,34,09:45,18:00,58.0,58.9,57.55,57.95,gun_sonu,57.95,18:00,-0.12,1.55,-0.78
OFSYM,1dk,2026-06-15,439,09:55,18:08,58.0,58.9,57.55,57.95,gun_sonu,57.95,18:08,-0.12,1.55,-0.78
OFSYM,15dk,2026-06-16,34,09:45,18:00,58.0,62.65,56.95,60.2,hedef,59.74,11:30,2.97,4.31,-1.81
OFSYM,1dk,2026-06-16,471,09:55,18:09,58.0,62.65,56.95,60.2,hedef,59.74,11:38,2.97,3.02,-1.81
OFSYM,15dk,2026-06-17,27,09:45,16:15,60.05,61.7,59.0,60.9,gun_sonu,60.9,16:15,1.38,2.75,-1.75
OFSYM,1dk,2026-06-17,354,09:55,16:27,60.05,61.7,59.0,60.9,gun_sonu,60.9,16:27,1.38,2.75,-1.75
