hisse,grup,kat,giris,cikis,sebep,saat,getiri_%,mfe_%,mae_%,kapanis,son_bar
EUKYO,KIRILIM,8.4,9.8,10.09,hedef,10:00,2.97,8.27,0.0,10.1,18:09
DGGYO,KIRILIM,7.3,34.54,33.5,stop,10:02,-3.03,1.04,-3.88,37.22,18:08
DENGE,orta,34.5,2.67,2.59,stop,10:00,-3.03,0.0,-3.75,2.54,18:09
BRKO,tepe,9.1,16.63,16.62,gun_sonu,18:09,-0.09,0.0,-0.06,16.62,18:09
PAMEL,orta,8.6,92.65,89.87,stop,10:02,-3.03,1.46,-4.37,86.0,18:09
SKTAS,orta,7.7,3.81,3.92,hedef,10:01,2.97,3.41,0.0,4.13,18:09
AVTUR,orta,7.2,17.5,17.15,gun_sonu,18:05,-2.03,0.29,-2.86,17.15,18:05
FRIGO,orta,7.2,2.79,2.71,stop,14:31,-3.03,2.87,-3.23,2.51,18:09
KTSKR,orta,5.8,101.0,104.03,hedef,10:00,2.97,3.96,0.0,98.5,18:09
PARSN,orta,5.6,93.0,95.79,hedef,10:39,2.97,3.06,-1.99,92.6,18:08
