hisse,grup,kat,giris,sebep,cikis,saat,getiri_%,son_bar,H,L
BIGCH,DIP,1576.1,6.79,hedef,6.99,10:00,2.97,11:27,7.7,6.79
FRIGO,orta,63.8,1.84,hedef,1.9,10:00,2.97,11:27,1.97,1.84
YAYLA,orta,20.9,28.82,stop,27.96,10:00,-3.03,11:27,28.88,25.7
DMSAS,orta,14.7,9.5,hedef,9.79,10:27,2.97,11:27,9.79,9.42
KLYPV,orta,7.9,66.1,stop,64.12,10:04,-3.03,11:27,66.95,62.6
OZATD,orta,7.7,1532.0,hedef,1577.96,10:00,2.97,11:28,1599.0,1499.0
LYDYE,orta,7.0,13862.5,hedef,14278.38,10:06,2.97,11:27,14600.0,13840.0
BRKO,tepe,5.7,16.0,acik,16.0,09:55,-0.03,09:55,16.0,16.0
BRMEN,tepe,5.6,16.34,acik,16.34,09:55,-0.03,09:55,16.34,16.34
INFO,orta,5.6,4.98,hedef,5.13,10:01,2.97,11:28,5.36,4.95
SNICA,orta,5.6,4.24,acik,4.14,11:28,-2.39,11:28,4.26,4.13
ISGSY,orta,5.4,125.0,hedef,128.75,10:12,2.97,11:28,131.8,122.1
ATEKS,orta,5.1,143.3,acik,143.3,09:55,-0.03,09:55,143.3,143.3
