hisse,grup,kat,giris,sebep,cikis,saat,getiri_%,mfe_%,mae_%,son_bar
ENSRI,DIP,17.7,6.8,hedef,7.0,10:00,2.97,5.3,0.0,11:13
BORLS,DIP,9.8,6.65,hedef,6.85,10:00,2.97,4.4,0.0,11:13
IHLAS,DIP,6.0,1.23,hedef,1.27,10:00,2.97,3.3,-0.8,11:13
DGGYO,tepe,26.7,46.0,stop,44.62,10:00,-3.03,1.6,-3.9,11:13
BOBET,orta,19.0,20.98,stop,20.35,10:20,-3.03,0.1,-3.1,11:13
PSDTC,orta,13.1,130.2,acik,130.7,11:10,0.35,0.4,-2.1,11:10
SEKUR,orta,8.0,8.37,hedef,8.62,10:31,2.97,5.1,0.0,11:13
MTRYO,orta,7.4,11.42,hedef,11.76,10:12,2.97,3.7,-2.8,11:12
BAKAB,tepe,6.3,56.35,hedef,58.04,10:19,2.97,3.4,0.0,11:13
DMRGD,tepe,5.9,11.08,hedef,11.41,10:00,2.97,3.2,0.0,11:13
ISFIN,tepe,5.4,20.98,acik,20.78,11:12,-0.99,1.0,-1.0,11:12
