hisse,grup,kat,giris,sebep,cikis,saat,getiri_%,son_bar,H,L,durum
IHLGM,DIP,12.1,2.07,hedef,2.13,10:00,2.97,12:15,2.19,1.99,
IHLAS,DIP,9.2,1.37,hedef,1.41,10:00,2.97,12:15,1.45,1.36,
IHYAY,DIP,6.8,1.86,stop,1.8,10:00,-3.03,12:15,1.95,1.71,
BALSU,orta,25.8,16.12,hedef,16.6,10:02,2.97,12:15,16.98,15.83,
MOGAN,tepe,17.5,15.23,stop,14.77,10:00,-3.03,12:15,15.36,14.74,
BRMEN,tepe,10.6,19.76,acik,19.76,09:55,-0.03,09:55,19.76,19.76,
IHGZT,orta,10.0,1.47,stop,1.43,10:11,-3.03,12:15,1.49,1.41,
PSDTC,orta,6.6,134.7,hedef,138.74,10:04,2.97,12:15,139.0,130.2,
AYDEM,orta,6.5,27.38,stop,26.56,10:00,-3.03,12:15,27.38,26.32,
KBORU,tepe,6.3,,,,,,,,,veri_yok
INGRM,orta,6.0,412.75,acik,415.5,12:14,0.63,12:14,420.0,411.25,
PAMEL,orta,5.0,,,,,,,,,veri_yok
