tarih,kat,aralik_pos,sonuc,getiri_net,gun,hisse
2024-06-14,8.21732648998009,0.919,stop,-0.037,0,A1CAP
2024-07-16,11.42882007626703,0.476,stop,-0.037,9,A1CAP
2024-10-14,14.194970247569605,0.635,stop,-0.037,0,A1CAP
2024-12-06,11.31771857679242,0.33,hedef,0.043000000000000003,2,A1CAP
2025-02-14,9.8738252872638,0.126,stop,-0.037,3,A1CAP
2025-03-04,20.615853362787767,0.248,stop,-0.037,0,A1CAP
2025-05-13,126.8519976852266,1.033,hedef,0.061610634648370584,1,A1CAP
2025-06-05,24.572855769728225,0.655,hedef,0.043000000000000003,1,A1CAP
2025-07-24,8.47671873625606,0.981,hedef,0.043000000000000003,0,A1CAP
2025-07-25,16.67986390052645,1.071,stop,-0.037,0,A1CAP
2025-08-15,13.403554413478785,0.847,stop,-0.08671014492753615,1,A1CAP
2025-08-18,10.528608725976603,0.737,hedef,0.043000000000000003,0,A1CAP
2025-09-26,10.06408615205944,0.877,stop,-0.037,1,A1CAP
2025-10-28,186.8681330126907,0.806,hedef,0.043000000000000003,0,A1CAP
2026-02-23,13.953371908030732,0.941,hedef,0.05985393258426964,1,A1CAP
2026-02-24,31.68267639801779,1.024,stop,-0.037,0,A1CAP
2026-03-19,36.648032792309856,0.786,stop,-0.037,1,A1CAP
2026-05-04,13.696969288157087,0.517,stop,-0.037,0,A1CAP
2026-05-26,17.117794897287148,0.39,hedef,0.043000000000000003,3,A1CAP
2024-06-24,11.930206555640018,0.162,stop,-0.037,0,A1YEN
2024-07-31,26.926222701985253,0.399,stop,-0.037,0,A1YEN
2024-08-20,15.099493180040117,0.405,stop,-0.037,0,A1YEN
2024-08-22,9.389525156489114,0.628,hedef,0.043000000000000003,0,A1YEN
2024-11-11,16.416966044732494,0.276,hedef,0.043000000000000003,0,A1YEN
2024-11-12,16.58447071712223,0.451,stop,-0.037,0,A1YEN
2025-03-11,15.225956409083986,0.312,stop,-0.037,1,A1YEN
2025-05-02,49.253090281887886,0.734,stop,-0.037,0,A1YEN
2025-05-28,31.18920584467192,0.252,stop,-0.037,0,A1YEN
2025-08-25,9.746910048065896,0.608,hedef,0.043000000000000003,0,A1YEN
2025-10-28,18.847464368577935,0.364,hedef,0.043000000000000003,1,A1YEN
2026-01-12,103.62187172186471,0.561,hedef,0.07533815210559391,1,A1YEN
2026-01-13,18.08553923782946,0.736,stop,-0.037,1,A1YEN
2026-03-02,13.023978213229585,0.203,hedef,0.043000000000000003,0,A1YEN
2026-03-19,58.17042987407701,0.4,stop,-0.037,0,A1YEN
2026-04-30,18.381371191984005,0.942,hedef,0.043000000000000003,1,A1YEN
2026-05-04,15.260013496883817,1.067,hedef,0.043000000000000003,0,A1YEN
2026-05-26,31.27814411451022,0.146,stop,-0.037,5,AAGYO
2024-07-04,14.721364505219821,0.69,stop,-0.037,0,ACSEL
2024-08-20,25.75061525840853,0.042,stop,-0.037,0,ACSEL
2024-09-06,35.71836734693878,0.435,stop,-0.037,0,ACSEL
2024-09-09,17.48251419987795,0.672,stop,-0.037,0,ACSEL
2024-10-31,13.086897179253867,0.18,stop,-0.037,9,ACSEL
2024-12-10,21.19306594153637,0.514,hedef,0.043000000000000003,0,ACSEL
2025-03-11,20.401647785787848,0.445,stop,-0.037,0,ACSEL
2025-04-16,59.161094224924014,0.45,stop,-0.037,0,ACSEL
2025-06-05,19.77124183006536,0.155,stop,-0.037,4,ACSEL
2025-06-24,11.19750456482045,0.075,hedef,0.043000000000000003,5,ACSEL
2025-07-17,8.807738289316378,0.26,hedef,0.10411111111111115,1,ACSEL
2025-07-18,19.949533931009917,0.469,stop,-0.037,0,ACSEL
2025-08-11,13.312084633120847,0.299,hedef,0.043000000000000003,2,ACSEL
2025-10-28,29.592743428359867,0.351,hedef,0.043000000000000003,3,ACSEL
2026-03-19,8.601874118915333,0.122,hedef,0.043000000000000003,1,ACSEL
2026-05-05,33.0833744449926,0.694,hedef,0.043000000000000003,0,ACSEL
2026-05-26,28.242320282009317,0.907,stop,-0.037,0,ACSEL
2024-07-02,21.11164427383197,0.521,hedef,0.053209424083769614,1,ADEL
2024-09-06,19.15589326772454,0.892,stop,-0.037,0,ADEL
2024-10-31,9.20185675786781,0.23,stop,-0.037,0,ADEL
2024-11-04,9.706139676759555,0.361,stop,-0.037,3,ADEL
2025-03-04,20.829540449273235,-0.035,hedef,0.043000000000000003,1,ADEL
2025-06-05,131.1982008060745,0.182,stop,-0.037,0,ADEL
2025-08-05,30.959936979518346,0.285,hedef,0.043000000000000003,0,ADEL
2025-08-06,10.594830005771067,0.391,stop,-0.037,0,ADEL
2025-10-28,34.832585892368506,0.117,hedef,0.043000000000000003,1,ADEL
2025-11-24,17.53297508549096,0.247,hedef,0.043000000000000003,0,ADEL
2026-01-15,13.98145037610458,0.286,hedef,0.043000000000000003,0,ADEL
2026-01-16,10.905765665670039,0.375,stop,-0.037,0,ADEL
2026-03-02,8.505310649497133,0.135,hedef,0.043000000000000003,0,ADEL
2026-03-03,39.915727616157056,0.102,hedef,0.043000000000000003,0,ADEL
2026-03-19,28.11666897602882,0.2,hedef,0.043000000000000003,2,ADEL
2026-05-26,33.67438011970102,0.228,stop,-0.037,0,ADEL
2024-06-13,10.86907783088636,0.831,hedef,0.043000000000000003,1,ADGYO
2024-12-16,8.392775953523618,0.657,hedef,0.043000000000000003,4,ADGYO
2025-02-04,237.44510215772388,0.328,hedef,0.043000000000000003,1,ADGYO
2025-05-15,10.02890442890443,0.276,stop,-0.037,4,ADGYO
2025-06-05,24.62398320650748,0.234,hedef,0.043000000000000003,1,ADGYO
2025-10-16,10.465294902372964,0.607,hedef,0.043000000000000003,0,ADGYO
2025-10-28,9.52354955580922,0.661,stop,-0.037,1,ADGYO
2025-11-26,8.78304641869044,0.711,stop,-0.037,1,ADGYO
2026-01-07,8.93661343120722,0.705,stop,-0.037,0,ADGYO
2026-01-12,11.076646649959809,0.875,stop,-0.037,0,ADGYO
2026-02-11,77.57528780179715,0.837,stop,-0.037,0,ADGYO
2026-02-17,8.232058079948914,0.835,stop,-0.037,0,ADGYO
2026-02-25,73.9226220619648,0.631,stop,-0.037,0,ADGYO
2026-03-19,21.39474693251534,0.673,hedef,0.043000000000000003,1,ADGYO
2026-05-22,9.449939414433455,0.524,hedef,0.043000000000000003,0,ADGYO
2026-05-26,12.383247240252405,0.689,stop,-0.037,0,ADGYO
2024-08-13,8.625625404420472,0.894,stop,-0.037,0,AFYON
2024-12-09,10.878522875890367,0.619,hedef,0.043000000000000003,1,AFYON
2025-02-21,10.57515377156688,0.435,hedef,0.043000000000000003,8,AFYON
2025-04-24,9.301853116080903,0.415,stop,-0.037,0,AFYON
2025-06-05,9.561533984349738,0.214,stop,-0.04737267080745355,4,AFYON
2025-08-04,37.77967147339875,0.597,stop,-0.037,1,AFYON
2025-10-17,9.917910017858171,0.234,stop,-0.037,0,AFYON
2025-10-22,10.368138981724023,0.166,hedef,0.043000000000000003,6,AFYON
2026-01-28,12.146075818296868,0.488,hedef,0.043000000000000003,13,AFYON
2026-02-16,10.36342455114441,0.585,stop,-0.037,3,AFYON
2026-02-25,8.52223226343633,0.57,stop,-0.037,2,AFYON
2026-03-19,26.985419667117043,0.803,hedef,0.043000000000000003,1,AFYON
2026-05-26,19.77213736647699,0.164,acik,,6,AFYON
2024-07-09,11.43505835553721,0.307,stop,-0.037,1,AGESA
2024-11-04,14.534171187697593,0.256,stop,-0.037,0,AGESA
2025-01-06,9.898948114880037,0.652,stop,-0.037,2,AGESA
2025-04-30,17.44094941813573,0.683,stop,-0.037,0,AGESA
2025-06-05,28.837335749886723,0.604,hedef,0.043000000000000003,1,AGESA
2025-08-07,57.98406000937647,0.97,stop,-0.037,5,AGESA
2025-10-28,19.26163218149354,0.978,hedef,0.043000000000000003,5,AGESA
2025-12-24,8.139764527155336,0.982,stop,-0.037,4,AGESA
2026-03-19,84.70682237246466,0.786,stop,-0.037,3,AGESA
2026-05-04,8.135802469135802,0.907,stop,-0.037,10,AGESA
2026-05-22,12.37556687755445,0.784,hedef,0.043000000000000003,0,AGESA
2024-09-09,59.58557092487117,0.036,hedef,0.043000000000000003,0,AGYO
2024-11-08,40.9542232563173,0.618,hedef,0.043000000000000003,0,AGYO
2024-12-06,10.945248922620065,1.007,hedef,0.043000000000000003,0,AGYO
2025-05-12,13.886079241684246,0.155,hedef,0.043000000000000003,9,AGYO
2025-05-27,13.534313597237121,0.276,stop,-0.037,0,AGYO
2025-06-24,8.63866915131246,0.249,stop,-0.037,0,AGYO
2025-08-11,27.082062883184157,0.56,stop,-0.037,1,AGYO
2025-10-28,49.839660892001476,0.454,stop,-0.037,16,AGYO
2026-01-15,14.766026250713335,0.389,hedef,0.043000000000000003,2,AGYO
2026-03-19,43.271031594975256,0.733,stop,-0.037,0,AGYO
2026-05-22,24.85264006949184,0.544,hedef,0.043000000000000003,0,AGYO
2024-10-11,27.826853817185714,-0.109,hedef,0.043000000000000003,0,AHSGY
2025-01-14,8.981734635266887,0.474,stop,-0.037,0,AHSGY
2025-03-28,10.484489517641148,0.355,stop,-0.037,0,AHSGY
2025-06-05,24.711934156378575,0.345,hedef,0.043000000000000003,1,AHSGY
2025-08-11,8.395266700878402,0.977,stop,-0.037,0,AHSGY
2025-09-10,11.239440843731929,1.006,stop,-0.037,0,AHSGY
2025-10-28,104.13467268240782,0.916,stop,-0.037,0,AHSGY
2025-12-18,10.874829158552958,1.052,stop,-0.037,0,AHSGY
2026-01-08,8.52815297539856,1.06,hedef,0.043000000000000003,0,AHSGY
2026-01-09,10.250900209247817,1.093,stop,-0.037,0,AHSGY
2026-03-02,10.682657609849288,0.544,hedef,0.043000000000000003,0,AHSGY
2026-03-19,11.145147529328119,0.728,stop,-0.037,1,AHSGY
2026-04-30,31.796503164815753,0.7,stop,-0.037,0,AHSGY
2026-05-05,17.11990841887888,0.756,stop,-0.037,0,AHSGY
2024-06-25,13.511123144262443,1.042,stop,-0.037,0,AKCNS
2024-10-07,14.43422153184371,0.836,stop,-0.037,2,AKCNS
2024-11-22,8.312540505508748,0.743,hedef,0.043000000000000003,1,AKCNS
2024-12-09,12.122132856717307,1.104,stop,-0.037,2,AKCNS
2024-12-10,8.454499985289358,1.0,stop,-0.037,0,AKCNS
2025-04-24,10.36644360235427,0.512,stop,-0.037,0,AKCNS
2025-06-05,19.56083167501544,0.254,stop,-0.037,3,AKCNS
2025-07-18,12.302505738332059,0.172,hedef,0.043000000000000003,11,AKCNS
2025-08-04,9.001391198126973,0.216,stop,-0.037,3,AKCNS
2025-10-28,31.181372825046452,0.104,stop,-0.037,9,AKCNS
2025-10-31,123.79410178535949,0.142,stop,-0.037,6,AKCNS
2025-12-15,39.355574875027166,0.367,stop,-0.037,0,AKCNS
2026-01-28,75.96598051539912,0.841,stop,-0.037,1,AKCNS
2026-01-29,13.906205502732993,0.804,stop,-0.037,0,AKCNS
2026-03-19,8.740242261103633,0.798,stop,-0.037,1,AKCNS
2026-04-20,36.52882230780088,1.02,stop,-0.037,0,AKCNS
2026-05-26,28.93260140286673,0.925,hedef,0.043000000000000003,0,AKCNS
2024-08-13,40.61868077250781,0.297,stop,-0.037,0,AKENR
2024-09-13,67.2870764384296,0.327,stop,-0.037,0,AKENR
