tarih,kat,aralik_pos,sonuc,getiri_net,gun,hisse
2024-06-14,12.656466359609926,0.145,stop,-0.037,0,ARASE
2024-07-19,9.741189059051695,0.314,stop,-0.037,0,ARASE
2024-09-20,113.2702583594998,0.423,stop,-0.037,3,ARASE
2024-11-12,32.0082676408383,0.387,stop,-0.05249509366636928,1,ARASE
2025-03-04,27.409914992853384,0.04,stop,-0.037,0,ARASE
2025-04-08,32.17018736400223,0.117,hedef,0.093,4,ARASE
2025-05-12,19.47262584327971,0.279,stop,-0.037,1,ARASE
2025-07-25,12.684932545096254,0.506,stop,-0.037,2,ARASE
2025-07-28,14.694236073291991,0.505,stop,-0.037,1,ARASE
2025-08-14,11.63165433277632,0.696,stop,-0.037,1,ARASE
2025-10-28,20.542346236981725,0.594,hedef,0.093,7,ARASE
2025-11-07,14.888375372082095,0.718,stop,-0.037,2,ARASE
2026-03-19,13.332123148417077,0.914,stop,-0.037,1,ARASE
2026-04-29,11.007045966543641,1.005,stop,-0.037,0,ARASE
2026-05-12,16.211414771776294,1.033,stop,-0.037,1,ARASE
2025-06-05,16.250374531835206,0.514,stop,-0.037,3,ARMGD
2025-06-24,21.797122094748715,0.427,stop,-0.037,9,ARMGD
2025-10-28,42.569160667704125,0.587,stop,-0.037,8,ARMGD
2025-12-11,16.821019432027004,1.002,hedef,0.11823900573613766,1,ARMGD
2025-12-12,9.813236763236763,1.049,stop,-0.037,0,ARMGD
2026-02-23,9.202593849739095,0.811,stop,-0.037,2,ARMGD
2026-03-19,29.037355503672913,0.799,stop,-0.037,4,ARMGD
2026-04-13,10.426131250224989,0.937,stop,-0.037,6,ARMGD
2026-05-18,189.2247068139824,0.686,hedef,0.093,0,ARMGD
2024-07-05,9.096739350570445,0.778,stop,-0.037,0,ARTMS
2024-11-08,17.3230122259339,0.281,hedef,0.093,2,ARTMS
2025-01-20,13.571973744466494,0.073,stop,-0.037,2,ARTMS
2025-02-17,20.080601241694804,0.008,hedef,0.093,5,ARTMS
2025-03-04,75.37596321153367,0.221,stop,-0.037,0,ARTMS
2025-05-02,19.357878277115528,0.073,hedef,0.093,1,ARTMS
2025-06-04,14.956659380417577,0.18,stop,-0.037,0,ARTMS
2025-06-05,57.17965653896962,0.136,stop,-0.037,3,ARTMS
2025-07-02,8.184989174885736,0.103,stop,-0.037,4,ARTMS
2025-09-02,8.955241679033284,0.36,stop,-0.037,0,ARTMS
2025-10-07,53.21242762183403,0.503,stop,-0.037,2,ARTMS
2025-10-28,13.375499885083888,0.793,stop,-0.037,0,ARTMS
2025-12-01,14.328401847845155,0.395,hedef,0.093,3,ARTMS
2026-01-19,28.77099623515783,0.402,stop,-0.037,2,ARTMS
2026-02-06,14.712411207576952,0.439,stop,-0.037,0,ARTMS
2026-03-02,9.368506244941708,0.341,stop,-0.037,4,ARTMS
2026-03-19,34.80183254514188,0.383,hedef,0.093,1,ARTMS
2026-05-15,22.935324761693636,0.52,stop,-0.037,3,ARTMS
2026-05-26,12.23623655187429,0.523,stop,-0.037,1,ARTMS
2024-07-25,24.39654456350175,0.375,stop,-0.037,0,ARZUM
2024-07-26,9.432652104737329,0.665,stop,-0.037,0,ARZUM
2024-08-26,12.683020021396652,0.203,stop,-0.037,0,ARZUM
2024-09-05,9.922328639906864,0.089,hedef,0.10156268867394525,1,ARZUM
2024-10-09,15.229428799680697,0.039,stop,-0.037,3,ARZUM
2024-10-10,9.338575558225662,0.062,stop,-0.037,1,ARZUM
2024-10-16,17.92626755712626,0.268,stop,-0.037,0,ARZUM
2024-11-05,47.32690278824242,0.13,stop,-0.037,0,ARZUM
2025-01-03,9.477683345527923,0.061,stop,-0.037,8,ARZUM
2025-01-06,9.477700077699874,0.11,stop,-0.037,4,ARZUM
2025-01-29,17.84584275008918,0.042,stop,-0.037,2,ARZUM
2025-02-21,15.954505313803756,0.072,stop,-0.037,0,ARZUM
2025-03-13,11.547960348024557,0.135,hedef,0.093,3,ARZUM
2025-08-22,43.01215821993644,0.526,stop,-0.037,0,ARZUM
2025-09-12,9.573791046278261,0.466,stop,-0.037,0,ARZUM
2025-10-10,8.38323457924818,0.559,stop,-0.037,0,ARZUM
2025-10-13,17.38232477987446,0.669,stop,-0.037,0,ARZUM
2025-10-28,91.676647051165,0.486,stop,-0.037,9,ARZUM
2026-01-29,8.400116521294477,0.234,hedef,0.093,1,ARZUM
2026-03-19,12.461870610070239,0.333,stop,-0.037,1,ARZUM
2026-04-06,12.828113178011426,0.596,stop,-0.037,0,ARZUM
2026-05-26,17.36290258763947,0.274,stop,-0.037,3,ARZUM
2024-10-28,10.061306319499852,0.055,stop,-0.037,4,ASGYO
2025-06-05,32.084727366312705,0.157,stop,-0.037,15,ASGYO
2025-07-10,10.120129423103402,0.231,hedef,0.093,5,ASGYO
2025-09-17,8.355817714774998,0.795,stop,-0.037,9,ASGYO
2025-10-28,17.279825522611656,0.369,stop,-0.037,9,ASGYO
2025-12-31,9.17074168797954,0.207,hedef,0.093,15,ASGYO
2026-03-19,11.150159921508196,0.274,stop,-0.037,1,ASGYO
2026-04-30,46.676355762606214,0.591,stop,-0.037,8,ASGYO
2026-05-04,10.927036360472178,0.694,stop,-0.037,1,ASGYO
2026-05-26,33.00597844392051,0.459,acik,,6,ASGYO
2024-07-08,11.83639898310154,0.987,stop,-0.037,0,ATAKP
2024-10-31,32.7930886762816,0.127,hedef,0.093,5,ATAKP
2025-03-19,12.077159477554604,0.054,stop,-0.037,0,ATAKP
2025-04-08,8.034296028880867,0.177,hedef,0.093,10,ATAKP
2025-05-07,10.540908459508264,0.6,stop,-0.037,0,ATAKP
2025-10-28,21.96906887755102,0.879,stop,-0.037,7,ATAKP
2025-12-01,11.331599157686115,0.864,stop,-0.037,0,ATAKP
2026-01-15,26.90510498147386,0.996,stop,-0.037,0,ATAKP
2026-03-19,18.490086426029485,0.594,stop,-0.037,5,ATAKP
2026-04-22,12.122571001494768,0.615,stop,-0.037,0,ATAKP
2026-05-11,8.384111469273162,0.66,hedef,0.093,1,ATAKP
2024-07-16,13.64949875046678,1.093,stop,-0.037,0,ATATP
2024-11-01,30.242416859544402,0.212,stop,-0.047760869565217405,1,ATATP
2024-11-08,11.518095085811748,0.219,stop,-0.037,0,ATATP
2024-12-31,17.814551607445008,0.445,stop,-0.037,0,ATATP
2025-03-05,8.716874410809679,0.328,stop,-0.037,0,ATATP
2025-06-05,51.98375771931309,0.168,stop,-0.04090804597701158,3,ATATP
2025-07-21,11.810640504107841,0.189,hedef,0.10771610660486675,10,ATATP
2025-08-19,126.10532910995857,0.602,stop,-0.037,0,ATATP
2025-10-02,11.98079365433034,0.893,stop,-0.037,0,ATATP
2025-10-28,38.35380367514044,0.55,hedef,0.093,3,ATATP
2025-11-10,8.94819255547602,0.7,hedef,0.09644827586206894,2,ATATP
2026-02-18,9.230378847471389,1.032,stop,-0.037,0,ATATP
2026-03-02,18.23395948994854,0.509,hedef,0.093,0,ATATP
2026-05-04,9.73869702421329,0.674,stop,-0.037,0,ATATP
2026-05-12,11.682577934315816,0.976,hedef,0.093,4,ATATP
2026-05-26,37.499555274147106,1.034,stop,-0.037,0,ATATP
2026-03-19,30.694607161466546,0.007,stop,-0.037,1,ATATR
2026-05-26,21.071428304160552,0.719,hedef,0.12139059674502717,2,ATATR
2023-12-06,15.19147971901201,1.049,stop,-0.037,0,ATEKS
2024-01-15,9.178488947542064,0.745,stop,-0.037,1,ATEKS
2024-03-04,10.352397458116696,1.048,hedef,0.093,1,ATEKS
2024-03-29,38.50536746490504,0.497,stop,-0.037,0,ATEKS
2024-10-24,19.144759901857693,0.618,stop,-0.037,0,ATEKS
2024-12-23,8.898339408667477,0.756,stop,-0.037,0,ATEKS
2025-03-25,10.497329158224352,0.103,stop,-0.10677827050997779,1,ATEKS
2025-03-26,14.634734985612178,0.04,stop,-0.10675369458128092,1,ATEKS
2025-03-27,10.357723577235772,-0.017,hedef,0.093,0,ATEKS
2025-10-24,8.86721059477356,-0.01,hedef,0.093,3,ATEKS
2025-12-17,26.106099656357387,0.081,hedef,0.174208053691275,2,ATEKS
2025-12-18,12.367418516054906,0.137,hedef,0.19166814650388464,2,ATEKS
2022-06-08,9.513691089870166,0.825,hedef,0.11121086261980817,3,ATSYH
2022-06-24,13.898486003703301,0.906,hedef,0.11943678160919535,1,ATSYH
2024-07-24,14.742465965946552,0.197,hedef,0.09300000000000008,1,ATSYH
2024-10-09,9.17442531103238,0.127,hedef,0.093,0,ATSYH
2025-02-03,8.957139397852933,0.133,stop,-0.037,0,ATSYH
2025-04-04,9.935995456332735,0.161,stop,-0.05104873477038429,3,ATSYH
2024-06-21,33.04775004912557,1.271,stop,-0.037,0,AVGYO
2024-07-18,39.511165245635404,1.021,stop,-0.037,0,AVGYO
2024-09-16,11.065054292806725,0.907,stop,-0.037,0,AVGYO
2024-09-30,8.452282559325694,0.754,stop,-0.037,0,AVGYO
2024-10-25,12.342711909751639,0.564,stop,-0.037,2,AVGYO
2024-11-07,11.015459972447573,0.598,hedef,0.093,0,AVGYO
2024-11-12,8.517728308741624,0.972,hedef,0.093,8,AVGYO
2025-03-24,10.880105087174588,0.308,stop,-0.037,0,AVGYO
2025-06-05,20.979879871791418,0.29,hedef,0.093,3,AVGYO
2025-08-07,44.28940707630998,1.031,stop,-0.037,0,AVGYO
2025-10-03,20.42961548590993,0.959,hedef,0.093,1,AVGYO
2025-10-06,12.364354530094328,1.084,hedef,0.10629479768786132,1,AVGYO
2025-10-07,13.710662788729358,1.105,stop,-0.037,0,AVGYO
2025-10-28,108.46864614715658,0.958,stop,-0.037,0,AVGYO
2025-11-27,12.294798010839806,0.236,hedef,0.093,9,AVGYO
2025-12-12,9.815501710101643,0.308,hedef,0.093,3,AVGYO
2025-12-18,35.73019539693977,0.444,stop,-0.037,0,AVGYO
2026-02-06,22.784155561736668,0.481,stop,-0.037,0,AVGYO
2026-04-27,19.80006731740155,0.68,stop,-0.037,0,AVGYO
2026-05-26,8.060159865376525,0.396,hedef,0.093,4,AVGYO
2024-09-09,33.89984278789467,0.712,stop,-0.037,0,AVOD
2025-04-15,61.884914927392636,0.487,hedef,0.11340133779264205,1,AVOD
2025-04-16,19.113136809837307,0.718,stop,-0.037,0,AVOD
2025-06-05,11.435300594125223,0.314,stop,-0.04008823529411775,4,AVOD
2025-07-22,61.13947156357598,0.718,stop,-0.037,0,AVOD
2025-09-04,26.991531269757672,0.9,stop,-0.037,0,AVOD
2025-10-28,18.44343930761536,0.481,stop,-0.037,1,AVOD
2025-12-22,9.897159742607748,0.368,hedef,0.093,1,AVOD
2025-12-23,12.210005256702296,0.446,stop,-0.037,0,AVOD
2026-03-05,9.999346980299427,0.574,hedef,0.093,1,AVOD
2026-03-19,37.64945748996403,0.619,stop,-0.037,2,AVOD
2026-05-07,18.968836588715938,0.744,stop,-0.037,0,AVOD
2026-05-08,9.605752384045616,0.659,stop,-0.037,0,AVOD
2026-05-26,15.680373779166315,0.564,stop,-0.037,4,AVOD
2024-08-26,13.123888559573208,0.004,hedef,0.093,3,AYCES
2024-09-02,10.103406326034063,0.201,stop,-0.037,0,AYCES
2024-10-18,23.335787923416788,0.167,hedef,0.093,1,AYCES
2024-11-05,16.902071563088512,0.287,stop,-0.037,1,AYCES
2024-12-17,52.75805119735756,0.44,stop,-0.037,0,AYCES
2025-02-03,22.74701411509229,0.225,stop,-0.037,0,AYCES
2025-02-19,21.75799086757991,0.19,stop,-0.037,0,AYCES
2025-03-13,9.676063303659744,0.295,stop,-0.037,0,AYCES
2025-06-05,121.26106194690264,0.045,stop,-0.05554368932038833,4,AYCES
2025-06-27,28.139614855570837,0.188,hedef,0.093,1,AYCES
2025-09-22,14.399260628465804,0.223,stop,-0.037,3,AYCES
2025-10-28,111.60855784469096,0.091,hedef,0.093,3,AYCES
2025-12-04,11.083743842364532,0.093,stop,-0.037,0,AYCES
2025-12-05,32.08126036484246,0.16,stop,-0.037,0,AYCES
2026-01-13,8.258283772302464,0.17,hedef,0.093,1,AYCES
2026-01-15,8.876025084418716,0.219,stop,-0.037,0,AYCES
2026-03-09,8.550069541029206,0.453,hedef,0.093,2,AYCES
2026-03-11,21.071695294996264,0.531,stop,-0.037,0,AYCES
2026-03-19,18.518253793710137,0.612,stop,-0.037,0,AYCES
2026-05-08,14.729544495993252,0.3,hedef,0.093,0,AYCES
2026-05-26,50.31344547984994,0.16,hedef,0.11059082217973237,4,AYCES
2024-06-28,8.805624881416291,0.94,stop,-0.037,0,AYDEM
2024-07-18,11.453074176913923,0.636,stop,-0.037,6,AYDEM
2024-08-23,67.43170259333323,0.118,stop,-0.037,2,AYDEM
2025-03-12,35.71088135165805,0.001,stop,-0.037,5,AYDEM
2025-06-05,15.327260994213292,0.042,stop,-0.037,4,AYDEM
2025-09-05,11.105761853613625,0.13,stop,-0.037,1,AYDEM
2025-10-28,27.897340357188746,0.146,stop,-0.037,9,AYDEM
2026-03-10,9.24237466826626,0.544,stop,-0.037,0,AYDEM
2026-03-19,8.08593169317675,0.472,hedef,0.093,6,AYDEM
2026-03-31,12.750799843674445,0.661,stop,-0.037,10,AYDEM
2026-05-26,17.693987786240648,0.415,acik,,6,AYDEM
2024-10-21,14.09583770549143,0.143,hedef,0.093,3,AYEN
2025-03-12,8.332678220475255,0.2,stop,-0.037,5,AYEN
2025-05-13,10.464142091152814,0.289,stop,-0.037,3,AYEN
2025-06-05,37.58231870202176,0.172,stop,-0.0654890333062551,4,AYEN
2025-07-07,13.092165060898019,0.184,hedef,0.093,19,AYEN
