tarih,kat,grup,pos52,acilis,acilis_ciro_TL,secili,hisse
2026-06-09,22.2,orta,0.24,204.4,3847421,False,RAYSG
2026-06-09,18.3,tepe(eski),1.11,29.0,54460608,False,AKFYE
2026-06-09,12.0,DIP,-0.15,1.46,7915919,True,IHLAS
2026-06-09,9.9,orta,0.59,15.2,2034884,False,AVGYO
2026-06-09,9.2,DIP,0.17,22.92,2148566,True,DIRIT
2026-06-09,9.0,orta,0.25,78.2,1646892,False,EKIZ
2026-06-09,8.8,KIRILIM,1.02,8.96,1346589,True,SEKUR
2026-06-09,7.6,tepe(eski),0.9,166.0,4452950,False,KUVVA
2026-06-09,5.7,orta,0.5,110.5,5427760,False,EGGUB
2026-06-09,5.7,orta,0.51,33.66,5485166,False,RUBNS
2026-06-09,5.5,orta,0.76,78.5,20789626,False,MEGMT
