tarih,hisse,grup,giris,cikis,sebep,getiri_%,poz_tl,tl_kar
2026-07-01,AKCNS,kirilim,231.0,224.07,stop,-3.03,25000.0,-757.0
2026-07-01,AKYHO,dip,2.46,2.47,gun_sonu,0.37,25000.0,92.0
2026-07-01,ALCAR,dip,774.0,797.22,hedef,2.97,25000.0,742.0
2026-07-01,BIGTK,dip,274.5,282.735,hedef,2.97,25000.0,742.0
2026-07-02,KRTEK,dip,23.44,22.96,gun_sonu,-2.08,100820.0,-2097.0
2026-07-03,AKYHO,dip,2.63,2.5511,stop,-3.03,49361.0,-1496.0
2026-07-03,ERCB,dip,51.95,50.3915,stop,-3.03,49361.0,-1496.0
2026-07-06,BLUME,dip,38.2,39.346,hedef,2.97,15955.0,474.0
2026-07-06,EMKEL,dip,19.86,20.4558,hedef,2.97,15955.0,474.0
2026-07-06,JANTS,dip,17.78,17.2466,stop,-3.03,15955.0,-483.0
2026-07-06,MERKO,dip,1.73,1.7819,hedef,2.97,15955.0,474.0
2026-07-06,SUNTK,dip,29.7,28.809,stop,-3.03,15955.0,-483.0
2026-07-06,TKNSA,dip,19.46,19.41,gun_sonu,-0.29,15955.0,-46.0
2026-07-09,EYGYO,dip,2.38,2.37,gun_sonu,-0.45,48070.0,-216.0
2026-07-09,JANTS,dip,18.0,18.54,hedef,2.97,48070.0,1428.0
2026-07-13,CEMTS,dip,9.58,9.2926,stop,-3.03,16225.0,-492.0
2026-07-13,DAPGM,dip,9.0,9.01,gun_sonu,0.08,16225.0,13.0
2026-07-13,GZNMI,dip,61.15,59.3155,stop,-3.03,16225.0,-492.0
2026-07-13,ISYAT,dip,7.95,7.88,gun_sonu,-0.91,16225.0,-148.0
2026-07-13,MAKTK,dip,11.8,11.446,stop,-3.03,16225.0,-492.0
2026-07-13,SUNTK,dip,31.66,30.7102,stop,-3.03,16225.0,-492.0
2026-07-14,EKIZ,dip,65.6,67.568,hedef,2.97,47625.0,1414.0
2026-07-14,TRILC,dip,1.51,1.51,gun_sonu,-0.03,47625.0,-14.0
2026-07-16,BEYAZ,dip,23.68,24.3904,hedef,2.97,19330.0,574.0
2026-07-16,PKENT,dip,137.2,141.316,hedef,2.97,19330.0,574.0
2026-07-16,TEKTU,dip,10.7,10.379,stop,-3.03,19330.0,-586.0
2026-07-16,VKING,dip,25.96,26.7388,hedef,2.97,19330.0,574.0
2026-07-16,VRGYO,dip,1.93,1.9879,hedef,2.97,19330.0,574.0
2026-07-20,ALKIM,dip,17.37,17.49,gun_sonu,0.66,32787.0,216.0
2026-07-20,EYGYO,dip,2.74,2.6578,stop,-3.03,32787.0,-993.0
2026-07-20,YESIL,dip,1.31,1.3493,hedef,2.97,32787.0,974.0
2026-07-21,LRSHO,dip,3.24,3.3372,hedef,2.97,32853.0,976.0
2026-07-21,SUWEN,dip,7.36,7.5808,hedef,2.97,32853.0,976.0
2026-07-21,YESIL,dip,1.31,1.2707,stop,-3.03,32853.0,-995.0
2026-07-22,BIENY,dip,23.16,23.8548,hedef,2.97,19903.0,591.0
2026-07-22,GZNMI,dip,62.95,64.8385,hedef,2.97,19903.0,591.0
2026-07-22,PKENT,dip,141.4,137.158,stop,-3.03,19903.0,-603.0
2026-07-22,PRKAB,dip,35.4,36.462,hedef,2.97,19903.0,591.0
2026-07-22,QUAGR,dip,3.76,3.8728,hedef,2.97,19903.0,591.0
2026-07-23,BEYAZ,dip,27.02,26.2094,stop,-3.03,25319.0,-767.0
2026-07-23,CASA,dip,77.0,74.69,stop,-3.03,25319.0,-767.0
2026-07-23,INGRM,dip,399.5,392.0,gun_sonu,-1.91,25319.0,-484.0
2026-07-23,USAK,dip,1.55,1.5035,stop,-3.03,25319.0,-767.0
2026-07-27,ALKA,dip,9.09,8.97,gun_sonu,-1.35,49245.0,-665.0
2026-07-27,ALKIM,dip,16.71,16.72,gun_sonu,0.03,49245.0,15.0
