hisse,grup,olay,hedef,stop,gun_sonu,compound_%,durum,ort_getiri_%,ort_max_%,ort_min_%,en_yuksek_max_%,en_derin_min_%,tarihler
ALCAR,DIP,1,1,0,0,2.97,KAR,2.97,5.56,-2.39,5.56,-2.39,07-01
BIENY,DIP,1,1,0,0,2.97,KAR,2.97,8.12,-3.45,8.12,-3.45,07-22
BIGTK,DIP,1,1,0,0,2.97,KAR,2.97,7.29,-3.46,7.29,-3.46,07-01
BLUME,DIP,1,1,0,0,2.97,KAR,2.97,4.61,-3.14,4.61,-3.14,07-06
EKIZ,DIP,1,1,0,0,2.97,KAR,2.97,3.96,1.98,3.96,1.98,07-14
EMKEL,DIP,1,1,0,0,2.97,KAR,2.97,6.75,-3.63,6.75,-3.63,07-06
LRSHO,DIP,1,1,0,0,2.97,KAR,2.97,3.09,-8.02,3.09,-8.02,07-21
MERKO,DIP,1,1,0,0,2.97,KAR,2.97,5.78,-3.47,5.78,-3.47,07-06
PRKAB,DIP,1,1,0,0,2.97,KAR,2.97,8.08,-0.34,8.08,-0.34,07-22
QUAGR,DIP,1,1,0,0,2.97,KAR,2.97,8.51,-3.72,8.51,-3.72,07-22
SUWEN,DIP,1,1,0,0,2.97,KAR,2.97,4.48,-2.17,4.48,-2.17,07-21
VKING,DIP,1,1,0,0,2.97,KAR,2.97,5.86,-5.01,5.86,-5.01,07-16
VRGYO,DIP,1,1,0,0,2.97,KAR,2.97,4.15,0.52,4.15,0.52,07-16
ALKIM,DIP,2,0,0,2,0.69,KAR,0.34,1.76,0.03,2.01,0.0,"07-20, 07-27"
DAPGM,DIP,1,0,0,1,0.08,KAR,0.08,1.44,-1.33,1.44,-1.33,07-13
TRILC,DIP,1,0,0,1,-0.03,ZARAR,-0.03,0.0,0.0,0.0,0.0,07-14
BEYAZ,DIP,2,1,1,0,-0.15,ZARAR,-0.03,2.86,-6.06,3.12,-9.25,"07-16, 07-23"
GZNMI,DIP,2,1,1,0,-0.15,ZARAR,-0.03,6.0,-4.04,9.05,-5.15,"07-13, 07-22"
JANTS,DIP,2,1,1,0,-0.15,ZARAR,-0.03,3.7,-7.74,6.39,-8.33,"07-06, 07-09"
PKENT,DIP,2,1,1,0,-0.15,ZARAR,-0.03,1.74,-1.81,3.35,-3.68,"07-16, 07-22"
YESIL,DIP,2,1,1,0,-0.15,ZARAR,-0.03,3.82,-1.52,6.11,-3.05,"07-20, 07-21"
TKNSA,DIP,1,0,0,1,-0.29,ZARAR,-0.29,1.75,-0.36,1.75,-0.36,07-06
ISYAT,DIP,1,0,0,1,-0.91,ZARAR,-0.91,0.0,-1.13,0.0,-1.13,07-13
ALKA,DIP,1,0,0,1,-1.35,ZARAR,-1.35,1.1,-1.54,1.1,-1.54,07-27
INGRM,DIP,1,0,0,1,-1.91,ZARAR,-1.91,0.31,-2.07,0.31,-2.07,07-23
KRTEK,DIP,1,0,0,1,-2.08,ZARAR,-2.08,0.0,-2.39,0.0,-2.39,07-02
AKYHO,DIP,2,0,1,1,-2.67,ZARAR,-1.33,1.0,-2.12,1.63,-3.42,"07-01, 07-03"
CASA,DIP,1,0,1,0,-3.03,ZARAR,-3.03,-2.6,-5.84,-2.6,-5.84,07-23
CEMTS,DIP,1,0,1,0,-3.03,ZARAR,-3.03,0.0,-3.55,0.0,-3.55,07-13
ERCB,DIP,1,0,1,0,-3.03,ZARAR,-3.03,1.83,-4.52,1.83,-4.52,07-03
MAKTK,DIP,1,0,1,0,-3.03,ZARAR,-3.03,0.85,-4.92,0.85,-4.92,07-13
TEKTU,DIP,1,0,1,0,-3.03,ZARAR,-3.03,2.06,-11.96,2.06,-11.96,07-16
USAK,DIP,1,0,1,0,-3.03,ZARAR,-3.03,0.0,-7.1,0.0,-7.1,07-23
EYGYO,DIP,2,0,1,1,-3.47,ZARAR,-1.74,1.18,-3.36,1.26,-5.47,"07-09, 07-20"
SUNTK,DIP,2,0,2,0,-5.97,ZARAR,-3.03,-0.74,-7.98,2.97,-9.1,"07-06, 07-13"
AKCNS,KIRILIM,1,0,1,0,-3.03,ZARAR,-3.03,-0.13,-4.72,-0.13,-4.72,07-01
