tarih,hisse,tf,giris_rapor,giris_sim,sebep_rapor,sebep_sim,getiri_rapor,getiri_sim,durum,hatalar,kat,getiri_%
2026-07-01,AKCNS,15dk,231.0,231.0,stop,stop,-3.03,-3.03,PASS,,12.1,-3.03
2026-07-01,AKYHO,1dk,2.46,2.46,gun_sonu,gun_sonu,0.37,0.37,PASS,,5.9,0.37
2026-07-01,ALCAR,15dk,774.0,774.0,hedef,hedef,2.97,2.97,PASS,,6.6,2.97
2026-07-01,BIGTK,15dk,274.5,274.5,hedef,hedef,2.97,2.97,PASS,,8.8,2.97
2026-07-02,KRTEK,1dk,23.44,23.44,gun_sonu,gun_sonu,-2.08,-2.08,PASS,,13.1,-2.08
2026-07-03,AKYHO,1dk,2.63,2.63,stop,stop,-3.03,-3.03,PASS,,9.4,-3.03
2026-07-03,ERCB,15dk,51.95,51.95,stop,stop,-3.03,-3.03,PASS,,17.4,-3.03
2026-07-06,BLUME,15dk,38.2,38.2,hedef,hedef,2.97,2.97,PASS,,5.4,2.97
2026-07-06,EMKEL,15dk,19.86,19.86,hedef,hedef,2.97,2.97,PASS,,6.6,2.97
2026-07-06,JANTS,15dk,17.78,17.78,stop,stop,-3.03,-3.03,PASS,,79.5,-3.03
2026-07-06,MERKO,15dk,1.73,1.73,hedef,hedef,2.97,2.97,PASS,,5.6,2.97
2026-07-06,SUNTK,1dk,29.7,29.7,stop,stop,-3.03,-3.03,PASS,,10.9,-3.03
2026-07-06,TKNSA,15dk,19.46,19.46,gun_sonu,gun_sonu,-0.29,-0.29,PASS,,15.0,-0.29
2026-07-09,ASUZU,1dk,53.9,53.9,gun_sonu,gun_sonu,-1.05,-1.05,PASS,,9.2,-1.05
2026-07-09,EYGYO,1dk,2.38,2.38,gun_sonu,gun_sonu,-0.45,-0.45,PASS,,5.3,-0.45
2026-07-09,JANTS,1dk,18.0,18.0,hedef,hedef,2.97,2.97,PASS,,18.8,2.97
2026-07-13,CEMTS,1dk,9.58,9.58,stop,stop,-3.03,-3.03,PASS,,5.9,-3.03
2026-07-13,DAPGM,1dk,9.0,9.0,gun_sonu,gun_sonu,0.08,0.08,PASS,,7.9,0.08
2026-07-13,GZNMI,1dk,61.15,61.15,stop,stop,-3.03,-3.03,PASS,,11.9,-3.03
2026-07-13,ISYAT,1dk,7.95,7.95,gun_sonu,gun_sonu,-0.91,-0.91,PASS,,6.3,-0.91
2026-07-13,MAKTK,1dk,11.8,11.8,stop,stop,-3.03,-3.03,PASS,,7.7,-3.03
2026-07-13,SUNTK,1dk,31.66,31.66,stop,stop,-3.03,-3.03,PASS,,8.0,-3.03
2026-07-14,EKIZ,1dk,65.6,65.6,hedef,hedef,2.97,2.97,PASS,,10.6,2.97
2026-07-14,TRILC,1dk,1.51,1.51,gun_sonu,gun_sonu,-0.03,-0.03,PASS,,7.9,-0.03
2026-07-16,BEYAZ,1dk,23.68,23.68,hedef,hedef,2.97,2.97,PASS,,14.9,2.97
2026-07-16,PKENT,1dk,137.2,137.2,hedef,hedef,2.97,2.97,PASS,,5.3,2.97
2026-07-16,TEKTU,1dk,10.7,10.7,stop,stop,-3.03,-3.03,PASS,,29.5,-3.03
2026-07-16,VKING,1dk,25.96,25.96,hedef,hedef,2.97,2.97,PASS,,53.1,2.97
2026-07-16,VRGYO,1dk,1.93,1.93,hedef,hedef,2.97,2.97,PASS,,5.9,2.97
2026-07-20,ALKIM,1dk,17.37,17.37,gun_sonu,gun_sonu,0.66,0.66,PASS,,6.2,0.66
2026-07-20,EYGYO,1dk,2.74,2.74,stop,stop,-3.03,-3.03,PASS,,45.9,-3.03
2026-07-20,YESIL,1dk,1.31,1.31,hedef,hedef,2.97,2.97,PASS,,9.1,2.97
2026-07-21,LRSHO,1dk,3.24,3.24,hedef,hedef,2.97,2.97,PASS,,49.1,2.97
2026-07-21,SUWEN,1dk,7.36,7.36,hedef,hedef,2.97,2.97,PASS,,5.7,2.97
2026-07-21,YESIL,1dk,1.31,1.31,stop,stop,-3.03,-3.03,PASS,,8.4,-3.03
2026-07-22,BIENY,1dk,23.16,23.16,hedef,hedef,2.97,2.97,PASS,,29.3,2.97
2026-07-22,GZNMI,1dk,62.95,62.95,hedef,hedef,2.97,2.97,PASS,,8.6,2.97
2026-07-22,PKENT,1dk,141.4,141.4,stop,stop,-3.03,-3.03,PASS,,6.3,-3.03
2026-07-22,PRKAB,1dk,35.4,35.4,hedef,hedef,2.97,2.97,PASS,,10.7,2.97
2026-07-22,QUAGR,1dk,3.76,3.76,hedef,hedef,2.97,2.97,PASS,,8.2,2.97
2026-07-23,BEYAZ,1dk,27.02,27.02,stop,stop,-3.03,-3.03,PASS,,26.9,-3.03
2026-07-23,CASA,1dk,77.0,77.0,stop,stop,-3.03,-3.03,PASS,,9.4,-3.03
2026-07-23,INGRM,1dk,399.5,399.5,gun_sonu,gun_sonu,-1.91,-1.91,PASS,,30.8,-1.91
2026-07-23,USAK,1dk,1.55,1.55,stop,stop,-3.03,-3.03,PASS,,7.4,-3.03
2026-07-27,ALKA,1dk,9.09,9.09,gun_sonu,gun_sonu,-1.35,-1.35,PASS,,15.6,-1.35
2026-07-27,ALKIM,1dk,16.71,16.71,gun_sonu,gun_sonu,0.03,0.03,PASS,,14.4,0.03
2026-07-27,CONSE,1dk,2.68,2.68,stop,stop,-3.03,-3.03,PASS,,9.7,-3.03
