tarih,hisse,rapor_giris,tv_kaynak,yf_kaynak,tv_open,tv_high,tv_low,tv_close,tv_prev_close,yf_open,yf_high,yf_low,yf_close,yf_prev_close,yf_1h_open,open_fark_%,giris_tv_fark_%,giris_yf_fark_%,sorun,durum
2026-07-01,AKCNS,231.0,cache_saatlik,yfinance,231.0,231.0,220.1,222.5,227.7,231.0,231.0,220.1,222.5,,231.0,0.0,0.0,0.0,OK,OK
2026-07-01,AKYHO,2.46,cache_saatlik,yfinance,2.46,2.5,2.44,2.47,2.46,2.46,2.5,2.44,2.47,,2.46,0.0,0.0,0.0,OK,OK
2026-07-01,ALCAR,774.0,cache_saatlik,yfinance,774.0,817.0,755.5,809.5,783.0,774.0,817.0,755.5,809.5,,774.0,0.0,0.0,0.0,OK,OK
2026-07-01,BIGTK,274.5,cache_saatlik,yfinance,274.5,294.5,265.0,283.0,271.5,274.5,294.5,265.0,283.0,,274.5,0.0,0.0,0.0,OK,OK
2026-07-02,KRTEK,23.44,cache_saatlik,yfinance,23.44,23.44,22.88,22.96,23.14,23.44,23.44,22.88,22.96,23.14,23.44,0.0,0.0,0.0,OK,OK
2026-07-03,AKYHO,2.63,cache_saatlik,yfinance,2.63,2.64,2.54,2.58,2.64,2.63,2.64,2.54,2.58,2.64,2.63,0.0,0.0,0.0,OK,OK
2026-07-03,ERCB,51.95,cache_saatlik,yfinance,51.95,52.9,49.6,49.6,53.15,51.95,52.9,49.6,49.6,53.15,51.95,0.0,0.0,0.0,OK,OK
2026-07-06,BLUME,38.2,cache_saatlik,yfinance,38.2,39.96,37.0,39.48,38.4,38.2,39.96,37.0,39.48,38.4,38.2,0.0,0.0,0.0,OK,OK
2026-07-06,EMKEL,19.86,cache_saatlik,yfinance,19.86,21.2,19.14,19.15,19.87,19.86,21.2,19.14,19.15,19.87,19.86,0.0,0.0,0.0,OK,OK
2026-07-06,JANTS,17.78,cache_saatlik,yfinance,17.78,17.96,16.51,16.54,16.81,17.78,17.96,16.51,16.54,16.81,17.78,0.0,0.0,0.0,OK,OK
2026-07-06,MERKO,1.73,cache_saatlik,yfinance,1.73,1.83,1.67,1.68,1.67,1.73,1.83,1.67,1.68,1.67,1.73,0.0,0.0,0.0,OK,OK
