tarih,hisse,kova,grup,kat,pos52,giris,tf,sebep,cikis,cikis_saat,getiri_%,max_%,min_%,max_saat,min_saat,max_fiyat,min_fiyat
2026-07-01,AKCNS,dipkir,kirilim,12.1,1.009,231.0,15dk,stop,224.07,10:15,-3.03,-0.13,-4.72,10:00,13:30,230.7,220.1
2026-07-16,AKENR,elenen,orta,10.2,0.364,11.45,1dk,stop,11.1065,10:15,-3.03,1.14,-4.19,10:46,16:39,11.58,10.97
2026-07-21,AKFYE,elenen,tepe,5.3,0.954,28.74,1dk,stop,27.8778,14:05,-3.03,0.9,-5.5,10:03,17:17,29.0,27.16
2026-07-21,AKGRT,elenen,orta,7.2,0.43,7.12,1dk,gun_sonu,7.12,18:08,-0.03,1.83,0.0,10:39,18:08,7.25,7.12
2026-07-08,AKMGY,elenen,orta,12.9,0.517,267.0,1dk,stop,258.99,10:23,-3.03,0.37,-7.53,10:09,18:08,268.0,246.9
2026-07-01,AKSUE,elenen,tepe,8.3,0.963,39.1,15dk,hedef,40.273,10:30,2.97,9.82,-0.36,18:00,10:00,42.94,38.96
2026-07-02,AKSUE,elenen,tepe,7.5,1.024,43.6,15dk,stop,42.292,10:15,-3.03,2.52,-5.0,17:45,15:15,44.7,41.42
2026-07-01,AKYHO,dipkir,dip,5.9,0.053,2.46,1dk,gun_sonu,2.47,18:05,0.37,1.63,-0.81,16:19,10:12,2.5,2.44
2026-07-03,AKYHO,dipkir,dip,9.4,0.153,2.63,1dk,stop,2.5511,10:17,-3.03,0.38,-3.42,13:27,16:12,2.64,2.54
2026-07-01,ALCAR,dipkir,dip,6.6,0.192,774.0,15dk,hedef,797.22,10:15,2.97,5.56,-2.39,16:30,10:00,817.0,755.5
2026-07-27,ALKA,dipkir,dip,15.6,0.176,9.09,1dk,gun_sonu,8.97,11:02,-1.35,1.1,-1.54,10:00,11:00,9.19,8.95
2026-07-20,ALKIM,dipkir,dip,6.2,0.188,17.37,1dk,gun_sonu,17.49,18:05,0.66,2.01,0.06,10:00,10:00,17.72,17.38
2026-07-22,ALKIM,elenen,orta,9.6,0.231,17.8,1dk,gun_sonu,17.81,18:09,0.02,2.02,-2.25,17:11,10:10,18.16,17.4
2026-07-27,ALKIM,dipkir,dip,14.4,0.12,16.71,1dk,gun_sonu,16.72,11:02,0.03,1.5,0.0,10:00,10:00,16.96,16.71
2026-07-08,ALKLC,elenen,tepe,6.0,0.819,386.5,15dk,stop,374.905,16:45,-3.03,2.78,-4.27,10:00,10:00,397.25,370.0
2026-07-14,ARSAN,elenen,orta,21.2,0.527,3.7,15dk,stop,3.589,13:30,-3.03,1.89,-4.86,10:15,17:30,3.77,3.52
2026-07-06,ARTMS,elenen,orta,19.4,0.533,43.68,1dk,gun_sonu,43.38,18:08,-0.72,2.2,-0.69,11:20,18:08,44.64,43.38
2026-07-03,ARZUM,elenen,orta,19.0,0.238,2.18,15dk,stop,2.1146,10:15,-3.03,0.46,-10.09,10:00,11:00,2.19,1.96
2026-07-09,AVGYO,elenen,orta,7.1,0.584,15.28,1dk,hedef,15.7384,10:00,2.97,6.02,-0.13,12:11,10:24,16.2,15.26
2026-07-21,AVGYO,elenen,orta,15.1,0.685,16.44,1dk,hedef,16.9332,10:01,2.97,9.25,-0.12,18:05,10:00,17.96,16.42
2026-07-22,AVGYO,elenen,tepe,13.6,0.864,18.4,1dk,hedef,18.952,10:03,2.97,4.4,-12.12,10:04,12:38,19.21,16.17
2026-07-02,AVOD,elenen,orta,15.3,0.5,4.45,15dk,stop,4.3165,10:30,-3.03,5.17,-5.62,16:15,14:00,4.68,4.2
2026-07-16,AYDEM,elenen,orta,7.6,0.585,26.48,1dk,hedef,27.2744,10:03,2.97,4.46,0.15,10:56,10:00,27.66,26.52
2026-07-20,AYGAZ,elenen,tepe,5.4,0.832,269.0,1dk,hedef,277.07,10:35,2.97,3.72,-0.09,17:56,10:00,279.0,268.75
2026-07-10,BAHKM,elenen,orta,15.9,0.773,127.0,1dk,hedef,130.81,15:48,2.97,5.2,-2.99,15:50,10:01,133.6,123.2
2026-07-08,BALAT,elenen,orta,7.6,0.34,76.0,1dk,gun_sonu,74.1,18:09,-2.53,0.0,-2.5,13:55,18:09,76.0,74.1
2026-07-08,BASCM,elenen,orta,5.0,0.441,14.7,1dk,stop,14.259,17:55,-3.03,-0.68,-3.81,12:55,18:08,14.6,14.14
2026-07-27,BESLR,elenen,orta,12.8,0.323,13.9,1dk,gun_sonu,13.64,11:05,-1.9,0.07,-2.16,10:00,10:57,13.91,13.6
2026-07-16,BEYAZ,dipkir,dip,14.9,0.132,23.68,1dk,hedef,24.3904,12:28,2.97,3.12,-2.87,13:58,10:01,24.42,23.0
2026-07-23,BEYAZ,dipkir,dip,26.9,0.194,27.02,1dk,stop,26.2094,10:22,-3.03,2.59,-9.25,10:00,18:08,27.72,24.52
2026-07-27,BEYAZ,elenen,orta,19.9,0.227,27.74,1dk,stop,26.9078,10:18,-3.03,1.66,-8.94,10:00,10:44,28.2,25.26
2026-07-22,BIENY,dipkir,dip,29.3,0.077,23.16,1dk,hedef,23.8548,10:11,2.97,8.12,-3.45,13:33,10:06,25.04,22.36
