tarih,hisse,grup,giris,mevcut_get%,tut_sebep,tut_get%,tut_gun,nerede,fark_%
2026-07-01,AKYHO,dip,2.46,0.37,hedef,2.97,1,2026-07-02 12:02,2.6
2026-07-02,KRTEK,dip,23.44,-2.08,stop,-3.03,2,2026-07-06 11:54,-0.95
2026-07-06,TKNSA,dip,19.46,-0.29,stop,-3.03,2,2026-07-08 15:02,-2.74
2026-07-09,ASUZU,dip,53.9,-1.05,hedef,2.97,6,2026-07-20 14:50,4.02
2026-07-09,EYGYO,dip,2.38,-0.45,hedef,2.97,1,2026-07-10 13:37,3.42
2026-07-13,DAPGM,dip,9.0,0.08,hedef,2.97,1,2026-07-14 11:53,2.89
2026-07-13,ISYAT,dip,7.95,-0.91,veri_bitti,-2.42,9,2026-07-27 kapanis,-1.51
2026-07-14,TRILC,dip,1.51,-0.03,hedef,2.97,1,2026-07-16 acilis,3.0
2026-07-20,ALKIM,dip,17.37,0.66,hedef,2.97,2,2026-07-22 12:30,2.31
2026-07-23,INGRM,dip,399.5,-1.91,veri_bitti,-2.16,2,2026-07-27 kapanis,-0.25
2026-07-27,ALKA,dip,9.09,-1.35,veri_bitti,-1.35,0,2026-07-27 kapanis,0.0
2026-07-27,ALKIM,dip,16.71,0.03,veri_bitti,0.03,0,2026-07-27 kapanis,0.0
