tarih,hisse,kova,grup,kat,pos52,giris,tf,sebep,cikis,cikis_saat,getiri_%,max_%,min_%,max_saat,min_saat,max_fiyat,min_fiyat,tut_gun
2026-07-01,AKCNS,dipkir,kirilim,12.1,1.009,231.0,15dk,stop,224.07,10:15,-3.03,-0.13,-4.72,10:00,13:30,230.7,220.1,
2026-07-01,AKYHO,dipkir,dip,5.9,0.053,2.46,1dk,hedef,2.5338,2026-07-02 12:02,2.97,1.63,-0.81,16:19,10:12,2.5,2.44,1.0
2026-07-01,ALCAR,dipkir,dip,6.6,0.192,774.0,15dk,hedef,797.22,10:15,2.97,5.56,-2.39,16:30,10:00,817.0,755.5,
2026-07-01,BIGTK,dipkir,dip,8.8,0.178,274.5,15dk,hedef,282.735,10:30,2.97,7.29,-3.46,12:30,10:00,294.5,265.0,
2026-07-02,KRTEK,dipkir,dip,13.1,0.052,23.44,1dk,stop,22.7368,2026-07-06 11:54,-3.03,0.0,-2.39,10:02,17:10,23.44,22.88,2.0
2026-07-03,AKYHO,dipkir,dip,9.4,0.153,2.63,1dk,stop,2.5511,10:17,-3.03,0.38,-3.42,13:27,16:12,2.64,2.54,
2026-07-03,ERCB,dipkir,dip,17.4,0.085,51.95,15dk,stop,50.3915,11:00,-3.03,1.83,-4.52,10:00,18:00,52.9,49.6,
2026-07-06,BLUME,dipkir,dip,5.4,0.176,38.2,15dk,hedef,39.346,10:00,2.97,4.61,-3.14,10:00,10:00,39.96,37.0,
2026-07-06,EMKEL,dipkir,dip,6.6,0.018,19.86,15dk,hedef,20.4558,10:00,2.97,6.75,-3.63,10:00,17:45,21.2,19.14,
2026-07-06,JANTS,dipkir,dip,79.5,0.168,17.78,15dk,stop,17.2466,10:15,-3.03,1.01,-7.14,10:00,17:45,17.96,16.51,
2026-07-06,MERKO,dipkir,dip,5.6,0.2,1.73,15dk,hedef,1.7819,10:00,2.97,5.78,-3.47,10:00,17:30,1.83,1.67,
2026-07-06,SUNTK,dipkir,dip,10.9,0.089,29.7,1dk,stop,28.809,15:11,-3.03,-4.44,-6.87,17:57,16:57,28.38,27.66,
2026-07-06,TKNSA,dipkir,dip,15.0,0.041,19.46,15dk,stop,18.8762,2026-07-08 15:02,-3.03,1.75,-0.36,10:00,17:30,19.8,19.39,2.0
2026-07-09,ASUZU,dipkir,dip,9.2,0.095,53.9,1dk,hedef,55.517,2026-07-20 14:50,2.97,1.11,-1.95,10:03,17:22,54.5,52.85,6.0
2026-07-09,EYGYO,dipkir,dip,5.3,0.033,2.38,1dk,hedef,2.4514,2026-07-10 13:37,2.97,1.26,-1.26,16:42,17:27,2.41,2.35,1.0
2026-07-09,JANTS,dipkir,dip,18.8,0.181,18.0,1dk,hedef,18.54,10:02,2.97,6.39,-8.33,10:14,15:05,19.15,16.5,
2026-07-13,CEMTS,dipkir,dip,5.9,0.034,9.58,1dk,stop,9.2926,17:12,-3.03,0.0,-3.55,10:00,17:59,9.58,9.24,
2026-07-13,DAPGM,dipkir,dip,7.9,0.043,9.0,1dk,hedef,9.27,2026-07-14 11:53,2.97,1.44,-1.33,12:50,10:00,9.13,8.88,1.0
2026-07-13,GZNMI,dipkir,dip,11.9,0.068,61.15,1dk,stop,59.3155,15:58,-3.03,2.94,-5.15,14:44,17:56,62.95,58.0,
2026-07-13,ISYAT,dipkir,dip,6.3,0.065,7.95,1dk,veri_bitti,7.76,2026-07-27 kapanis,-2.42,0.0,-1.13,11:23,16:53,7.95,7.86,9.0
2026-07-13,MAKTK,dipkir,dip,7.7,0.009,11.8,1dk,stop,11.446,15:36,-3.03,0.85,-4.92,17:37,15:44,11.9,11.22,
2026-07-13,SUNTK,dipkir,dip,8.0,0.146,31.66,1dk,stop,30.7102,10:15,-3.03,2.97,-9.1,15:06,13:41,32.6,28.78,
2026-07-14,EKIZ,dipkir,dip,10.6,0.123,65.6,1dk,hedef,67.568,13:55,2.97,3.96,1.98,13:55,18:09,68.2,66.9,
2026-07-14,TRILC,dipkir,dip,7.9,0.116,1.51,1dk,hedef,1.5553,2026-07-16 acilis,2.97,0.0,0.0,18:05,18:05,1.51,1.51,1.0
2026-07-16,BEYAZ,dipkir,dip,14.9,0.132,23.68,1dk,hedef,24.3904,12:28,2.97,3.12,-2.87,13:58,10:01,24.42,23.0,
2026-07-16,PKENT,dipkir,dip,5.3,0.006,137.2,1dk,hedef,141.316,14:38,2.97,3.35,0.07,14:41,10:00,141.8,137.3,
2026-07-16,TEKTU,dipkir,dip,29.5,0.114,10.7,1dk,stop,10.379,10:15,-3.03,2.06,-11.96,14:16,16:32,10.92,9.42,
2026-07-16,VKING,dipkir,dip,53.1,0.14,25.96,1dk,hedef,26.7388,10:06,2.97,5.86,-5.01,10:38,17:52,27.48,24.66,
2026-07-16,VRGYO,dipkir,dip,5.9,0.004,1.93,1dk,hedef,1.9879,11:15,2.97,4.15,0.52,14:43,10:01,2.01,1.94,
2026-07-20,ALKIM,dipkir,dip,6.2,0.188,17.37,1dk,hedef,17.8911,2026-07-22 12:30,2.97,2.01,0.06,10:00,10:00,17.72,17.38,2.0
2026-07-20,EYGYO,dipkir,dip,45.9,0.142,2.74,1dk,stop,2.6578,10:15,-3.03,1.09,-5.47,17:52,10:37,2.77,2.59,
2026-07-20,YESIL,dipkir,dip,9.1,0.022,1.31,1dk,hedef,1.3493,10:00,2.97,6.11,0.0,17:37,10:00,1.39,1.31,
2026-07-21,LRSHO,dipkir,dip,49.1,0.091,3.24,1dk,hedef,3.3372,10:01,2.97,3.09,-8.02,10:01,18:08,3.34,2.98,
2026-07-21,SUWEN,dipkir,dip,5.7,0.164,7.36,1dk,hedef,7.5808,17:59,2.97,4.48,-2.17,18:08,17:53,7.69,7.2,
2026-07-21,YESIL,dipkir,dip,8.4,0.022,1.31,1dk,stop,1.2707,16:50,-3.03,1.53,-3.05,10:31,16:57,1.33,1.27,
2026-07-22,BIENY,dipkir,dip,29.3,0.077,23.16,1dk,hedef,23.8548,10:11,2.97,8.12,-3.45,13:33,10:06,25.04,22.36,
2026-07-22,GZNMI,dipkir,dip,8.6,0.074,62.95,1dk,hedef,64.8385,10:24,2.97,9.05,-2.94,15:45,10:02,68.65,61.1,
2026-07-22,PKENT,dipkir,dip,6.3,0.028,141.4,1dk,stop,137.158,16:21,-3.03,0.14,-3.68,10:29,17:57,141.6,136.2,
2026-07-22,PRKAB,dipkir,dip,10.7,0.133,35.4,1dk,hedef,36.462,10:36,2.97,8.08,-0.34,11:00,10:00,38.26,35.28,
2026-07-22,QUAGR,dipkir,dip,8.2,0.141,3.76,1dk,hedef,3.8728,10:10,2.97,8.51,-3.72,13:44,10:01,4.08,3.62,
2026-07-23,BEYAZ,dipkir,dip,26.9,0.194,27.02,1dk,stop,26.2094,10:22,-3.03,2.59,-9.25,10:00,18:08,27.72,24.52,
2026-07-23,CASA,dipkir,dip,9.4,0.124,77.0,1dk,stop,74.69,17:55,-3.03,-2.6,-5.84,13:55,18:09,75.0,72.5,
2026-07-23,INGRM,dipkir,dip,30.8,0.168,399.5,1dk,veri_bitti,391.0,2026-07-27 kapanis,-2.16,0.31,-2.07,10:11,16:51,400.75,391.25,2.0
2026-07-23,USAK,dipkir,dip,7.4,0.058,1.55,1dk,stop,1.5035,11:22,-3.03,0.0,-7.1,10:00,18:09,1.55,1.44,
2026-07-27,ALKA,dipkir,dip,15.6,0.176,9.09,1dk,veri_bitti,8.97,2026-07-27 kapanis,-1.35,1.1,-1.54,10:00,11:00,9.19,8.95,0.0
2026-07-27,ALKIM,dipkir,dip,14.4,0.12,16.71,1dk,veri_bitti,16.72,2026-07-27 kapanis,0.03,1.5,0.0,10:00,10:00,16.96,16.71,0.0
2026-07-27,CONSE,dipkir,dip,9.7,0.146,2.68,1dk,stop,2.5996,10:21,-3.03,0.37,-4.85,10:00,13:22,2.69,2.55,
