tarih,hisse,kova,grup,kat,pos52,giris,tf,sebep,cikis,cikis_saat,getiri_%,max_%,min_%,max_saat,min_saat,max_fiyat,min_fiyat,tut_gun
2026-07-01,AKCNS,dipkir,kirilim,12.1,1.009,231.0,1dk,stop,224.07,10:23,-3.03,-0.13,-4.72,10:00,13:39,230.7,220.1,
2026-07-01,AKSUE,dipkir,kirilim,8.3,0.963,39.1,1dk,hedef,40.273,10:31,2.97,9.82,-0.36,18:09,10:00,42.94,38.96,
2026-07-01,AKYHO,dipkir,dip,5.9,0.053,2.46,1dk,hedef,2.5338,2026-07-02 12:02,2.97,1.63,-0.81,16:19,10:12,2.5,2.44,1.0
2026-07-01,ALCAR,dipkir,dip,6.6,0.192,774.0,1dk,hedef,797.22,10:24,2.97,5.56,-2.39,16:41,10:08,817.0,755.5,
2026-07-01,BIGTK,dipkir,dip,8.8,0.178,274.5,1dk,hedef,282.735,10:40,2.97,7.29,-3.46,12:39,10:05,294.5,265.0,
2026-07-02,KRTEK,dipkir,dip,13.1,0.052,23.44,1dk,stop,22.7368,2026-07-06 11:54,-3.03,0.0,-2.39,10:02,17:10,23.44,22.88,2.0
2026-07-03,AKYHO,dipkir,dip,9.4,0.153,2.63,1dk,stop,2.5511,10:17,-3.03,0.38,-3.42,13:27,16:12,2.64,2.54,
2026-07-03,ERCB,dipkir,dip,17.4,0.085,51.95,1dk,stop,50.3915,11:07,-3.03,1.83,-4.52,10:00,18:09,52.9,49.6,
2026-07-06,BLUME,dipkir,dip,5.4,0.176,38.2,1dk,hedef,39.346,10:07,2.97,4.61,-3.14,10:13,10:01,39.96,37.0,
2026-07-06,EMKEL,dipkir,dip,6.6,0.018,19.86,1dk,hedef,20.4558,10:02,2.97,6.75,-3.63,10:05,17:59,21.2,19.14,
2026-07-06,JANTS,dipkir,dip,79.5,0.168,17.78,1dk,stop,17.2466,10:15,-3.03,1.01,-7.14,10:00,17:47,17.96,16.51,
2026-07-06,MERKO,dipkir,dip,5.6,0.2,1.73,1dk,hedef,1.7819,10:00,2.97,5.78,-3.47,10:04,17:42,1.83,1.67,
2026-07-06,OZYSR,dipkir,kirilim,5.0,0.909,13.2,1dk,hedef,13.596,11:36,2.97,6.06,-1.52,12:45,10:19,14.0,13.0,
2026-07-06,SUNTK,dipkir,dip,10.9,0.089,29.7,1dk,stop,28.809,10:33,-3.03,-0.13,-6.87,10:00,16:57,29.66,27.66,
2026-07-06,TKNSA,dipkir,dip,15.0,0.041,19.46,1dk,stop,18.8762,2026-07-08 15:02,-3.03,1.75,-0.36,10:05,17:33,19.8,19.39,2.0
2026-07-07,DSTKF,dipkir,kirilim,9.8,0.919,3577.5,1dk,hedef,3684.825,16:01,2.97,9.85,-1.68,16:20,13:02,3930.0,3517.5,
2026-07-08,TERA,dipkir,dip,44.0,0.197,138.0,1dk,hedef,142.14,10:00,2.97,15.0,0.36,13:47,10:00,158.7,138.5,
2026-07-09,ASUZU,dipkir,dip,9.2,0.095,53.9,1dk,veri_bitti,53.95,2026-07-10 kapanis,0.06,1.11,-1.95,10:03,17:22,54.5,52.85,1.0
2026-07-09,EYGYO,dipkir,dip,5.3,0.033,2.38,1dk,hedef,2.4514,2026-07-10 13:37,2.97,1.26,-1.26,16:42,17:27,2.41,2.35,1.0
2026-07-09,JANTS,dipkir,dip,18.8,0.181,18.0,1dk,hedef,18.54,10:02,2.97,6.39,-8.33,10:14,15:05,19.15,16.5,
