hisse,gun,giris,stop_sev,1dk_min_low,1dk_max,1dk_kapanis,kapanis_%,ilk_bar,stop_bar_sayisi,saatlik_low,flags
PRZMA,2026-04-24,25.84,25.0648,25.02,25.84,25.84,0.0,09:55,1,25.02,tek_bar_ani_wick
KUVVA,2026-05-04,125.0,121.25,120.3,129.6,129.0,3.2,09:55,17,120.3,hedef_gun_icinde_ulasildi_ama_stop
MTRYO,2026-05-05,10.74,10.4178,10.06,10.95,10.95,2.0,09:55,18,10.06,hedef_gun_icinde_ulasildi_ama_stop
IDGYO,2026-05-11,3.63,3.5211,3.45,3.96,3.8,4.7,09:55,4,3.45,hedef_gun_icinde_ulasildi_ama_stop
BESLR,2026-05-18,16.35,15.8595,15.71,16.5,15.93,-2.6,09:55,1,15.71,ok
YATAS,2026-05-18,47.66,46.2302,44.28,47.66,44.5,-6.6,09:55,342,44.28,ok
ICBCT,2026-05-20,21.0,20.37,18.84,21.14,19.21,-8.5,09:55,465,18.84,ok
PCILT,2026-05-20,35.42,34.3574,33.0,35.42,33.0,-6.8,09:55,41,33.0,ok
UFUK,2026-05-20,1446.0,1402.62,1324.0,1446.0,1363.0,-5.7,09:55,300,1324.0,ok
BAKAB,2026-05-21,52.2,50.634,45.36,52.2,45.36,-13.1,09:55,396,45.36,ok
GMTAS,2026-05-21,48.42,46.9674,44.88,48.42,44.88,-7.3,09:55,4,44.88,ok
VERTU,2026-05-21,42.64,41.3608,37.26,42.68,37.26,-12.6,09:55,404,37.26,ok
GUNDG,2026-05-25,1303.0,1263.91,1067.0,1303.0,1067.0,-18.1,09:55,345,1067.0,ok
PAMEL,2026-06-02,93.75,90.9375,89.5,94.45,91.8,-2.1,09:55,241,89.5,ok
AKMGY,2026-06-03,294.5,285.665,272.25,295.0,272.25,-7.6,09:55,336,272.25,ok
BLCYT,2026-06-03,44.16,42.8352,36.16,44.16,36.16,-18.1,09:55,419,36.16,ok
LUKSK,2026-06-04,118.7,115.139,109.3,118.8,109.9,-7.4,09:55,371,109.3,ok
MAKIM,2026-06-04,19.59,19.0023,17.76,19.74,18.1,-7.6,09:55,413,17.76,ok
UFUK,2026-06-04,1387.0,1345.39,1236.0,1387.0,1340.0,-3.4,10:00,242,1236.0,ok
POLTK,2026-06-08,5270.0,5111.9,4980.0,5272.5,5027.5,-4.6,09:55,232,4980.0,ok
SEKUR,2026-06-08,8.06,7.8182,7.81,8.81,8.81,9.3,09:55,1,7.81,hedef_gun_icinde_ulasildi_ama_stop|gun_sonu_+9.3%|tek_bar_ani_wick
