hedef_%,hisse,giris_tarih,cikis_tarih,grup,kat,giris,kayitli_sebep,kayitli_cikis,kayitli_getiri_%,kayitli_tl_kar,beklenen_sebep,beklenen_cikis,beklenen_cikis_tarih,gun_kapanis_%,max_gordugu_%,ilk_bar_saat,1dk_gun_low,1dk_gun_high,flags,durum
1,PRZMA,2026-04-24,2026-04-24,tepe,9.0,25.84,stop,25.0648,-3.63,-3633.0,stop,25.0648,2026-04-24,0.0,0.0,09:55,25.02,25.84,tek_bar_wick,SUPHELI_WICK
1,EUKYO,2026-05-04,2026-05-04,orta,43.7,6.99,hedef,7.0599,0.37,177.0,hedef,7.0599,2026-05-04,3.6,5.72,09:55,6.99,7.5,-,OK
1,KUVVA,2026-05-04,2026-05-04,orta,9.0,125.0,stop,121.25,-3.63,-1751.0,stop,121.25,2026-05-04,3.2,0.0,09:55,120.3,129.6,-,OK
1,MTRYO,2026-05-05,2026-05-05,orta,12.5,10.74,stop,10.4178,-3.63,-3444.0,stop,10.4178,2026-05-05,2.0,0.0,09:55,10.06,10.95,-,OK
1,IHYAY,2026-05-06,2026-05-06,dip,9.0,1.83,hedef,1.8483,0.37,335.0,hedef,1.8483,2026-05-06,1.6,1.09,09:55,1.83,1.87,-,OK
1,UFUK,2026-05-07,2026-05-07,orta,121.9,1482.0,hedef,1496.82,0.37,336.0,hedef,1496.82,2026-05-07,-2.6,1.15,10:00,1442.0,1500.0,-,OK
1,IDGYO,2026-05-11,2026-05-11,orta,8.9,3.63,stop,3.5211,-3.63,-3343.0,stop,3.5211,2026-05-11,4.7,0.0,09:55,3.45,3.96,-,OK
1,DMSAS,2026-05-12,2026-05-12,orta,10.7,9.08,hedef,9.1708,0.37,163.0,hedef,9.1708,2026-05-12,0.6,1.1,09:55,9.08,9.32,-,OK
1,ERBOS,2026-05-12,2026-05-12,kirilim,17.0,217.9,hedef,220.079,0.37,163.0,hedef,220.079,2026-05-12,-2.4,1.01,09:55,212.7,226.0,-,OK
1,ETYAT,2026-05-13,2026-05-13,orta,10.1,8.0,hedef,8.08,0.37,327.0,hedef,8.08,2026-05-13,1.4,1.25,09:55,7.92,8.2,-,OK
1,ALCAR,2026-05-14,2026-05-14,dip,32.9,771.5,hedef,779.215,0.37,328.0,hedef,779.215,2026-05-14,0.7,1.69,10:00,770.5,786.0,-,OK
1,CRDFA,2026-05-15,2026-05-15,tepe,40.9,36.2,hedef,36.562,0.37,110.0,hedef,36.562,2026-05-15,3.6,2.1,09:55,36.0,38.06,-,OK
1,MAALT,2026-05-15,2026-05-15,orta,18.1,1163.0,hedef,1174.63,0.37,110.0,hedef,1174.63,2026-05-15,-7.3,1.29,09:55,1039.0,1178.0,-,OK
1,YGGYO,2026-05-15,2026-05-15,tepe,13.3,235.0,hedef,237.35,0.37,110.0,hedef,237.35,2026-05-15,1.2,1.83,09:55,232.1,243.4,-,OK
1,ARMGD,2026-05-18,2026-05-18,orta,39.6,117.4,hedef,118.574,0.37,41.0,hedef,118.574,2026-05-18,7.0,3.41,09:55,116.6,141.7,-,OK
1,BESLR,2026-05-18,2026-05-18,orta,8.6,16.35,stop,15.8595,-3.63,-409.0,stop,15.8595,2026-05-18,-2.6,0.92,09:55,15.71,16.5,-,OK
1,EGEPO,2026-05-18,2026-05-18,tepe,13.0,19.1,hedef,19.291,0.37,41.0,hedef,19.291,2026-05-18,0.4,1.05,09:55,18.64,19.3,-,OK
1,GSDHO,2026-05-18,2026-05-18,kirilim,8.1,6.0,hedef,6.06,0.37,41.0,hedef,6.06,2026-05-18,-10.7,4.83,09:55,5.36,6.31,-,OK
1,ISGYO,2026-05-18,2026-05-18,orta,10.3,21.08,hedef,21.2908,0.37,41.0,hedef,21.2908,2026-05-18,0.1,1.04,09:55,20.5,21.52,-,OK
1,ISSEN,2026-05-18,2026-05-18,kirilim,119.0,10.04,hedef,10.1404,0.37,41.0,hedef,10.1404,2026-05-18,4.8,3.09,09:55,9.97,10.52,-,OK
1,TGSAS,2026-05-18,2026-05-18,orta,50.4,188.0,hedef,189.88,0.37,41.0,hedef,189.88,2026-05-18,0.4,2.77,09:55,182.8,197.8,-,OK
1,YATAS,2026-05-18,2026-05-18,tepe,8.7,47.66,stop,46.2302,-3.63,-409.0,stop,46.2302,2026-05-18,-6.6,0.0,09:55,44.28,47.66,-,OK
1,EKSUN,2026-05-20,2026-05-20,kirilim,9.8,7.4,hedef,7.474,0.37,30.0,hedef,7.474,2026-05-20,4.5,1.35,09:55,7.3,7.9,-,OK
1,GUNDG,2026-05-20,2026-05-21,tepe,11.2,998.0,hedef,1007.98,0.37,30.0,hedef,1007.98,2026-05-21,0.0,9.92,09:55,998.0,998.0,-,OK
1,ICBCT,2026-05-20,2026-05-20,tepe,24.6,21.0,stop,20.37,-3.63,-295.0,stop,20.37,2026-05-20,-8.5,0.67,09:55,18.84,21.14,-,OK
1,ISSEN,2026-05-20,2026-05-20,tepe,34.3,11.1,hedef,11.211,0.37,30.0,hedef,11.211,2026-05-20,-10.0,1.44,09:55,9.53,11.44,-,OK
1,KFEIN,2026-05-20,2026-05-20,orta,86.6,10.6,hedef,10.706,0.37,30.0,hedef,10.706,2026-05-20,-9.0,1.98,09:55,9.55,11.15,-,OK
1,LKMNH,2026-05-20,2026-05-20,dip,17.0,15.2,hedef,15.352,0.37,30.0,hedef,15.352,2026-05-20,3.4,3.09,09:55,15.2,15.99,-,OK
1,PCILT,2026-05-20,2026-05-20,tepe,23.5,35.42,stop,34.3574,-3.63,-295.0,stop,34.3574,2026-05-20,-6.8,0.0,09:55,33.0,35.42,-,OK
1,SANFM,2026-05-20,2026-05-20,orta,17.3,8.35,hedef,8.4335,0.37,30.0,hedef,8.4335,2026-05-20,-2.4,1.92,09:55,8.01,8.59,-,OK
1,SMART,2026-05-20,2026-05-20,orta,8.8,36.76,hedef,37.1276,0.37,30.0,hedef,37.1276,2026-05-20,-2.1,1.85,09:55,35.52,40.1,-,OK
1,UFUK,2026-05-20,2026-05-20,orta,11.3,1446.0,stop,1402.62,-3.63,-295.0,stop,1402.62,2026-05-20,-5.7,0.0,09:55,1324.0,1446.0,-,OK
1,VBTYZ,2026-05-20,2026-05-20,tepe,9.6,27.78,hedef,28.0578,0.37,30.0,hedef,28.0578,2026-05-20,-8.9,1.3,09:55,25.12,29.1,-,OK
1,BAKAB,2026-05-21,2026-05-21,kirilim,9.4,52.2,stop,50.634,-3.63,-732.0,stop,50.634,2026-05-21,-13.1,0.0,09:55,45.36,52.2,-,OK
1,BIGTK,2026-05-21,2026-05-21,dip,56.0,211.5,hedef,213.615,0.37,74.0,hedef,213.615,2026-05-21,0.3,2.08,09:55,209.0,231.2,-,OK
1,GMTAS,2026-05-21,2026-05-21,tepe,18.4,48.42,stop,46.9674,-3.63,-732.0,stop,46.9674,2026-05-21,-7.3,0.0,09:55,44.88,48.42,-,OK
1,VERTU,2026-05-21,2026-05-21,orta,63.7,42.64,stop,41.3608,-3.63,-732.0,stop,41.3608,2026-05-21,-12.6,0.09,09:55,37.26,42.68,-,OK
1,ADGYO,2026-05-22,2026-05-22,orta,9.4,50.0,hedef,50.5,0.37,40.0,hedef,50.5,2026-05-22,15.2,6.7,09:55,50.0,58.5,-,OK
1,AGYO,2026-05-22,2026-05-22,orta,9.1,8.08,hedef,8.1608,0.37,40.0,hedef,8.1608,2026-05-22,8.9,3.96,09:55,8.08,9.05,-,OK
1,CEMZY,2026-05-22,2026-05-22,orta,9.7,12.0,hedef,12.12,0.37,40.0,hedef,12.12,2026-05-22,13.3,7.67,09:55,12.0,13.6,-,OK
1,INVES,2026-05-22,2026-05-22,orta,13.1,590.0,hedef,595.9,0.37,40.0,hedef,595.9,2026-05-22,3.4,1.19,09:55,589.0,612.0,-,OK
1,KOPOL,2026-05-22,2026-05-22,dip,44.1,5.03,hedef,5.0803,0.37,40.0,hedef,5.0803,2026-05-22,15.1,9.54,09:55,5.03,5.82,-,OK
