tarih,hisse,grup,giris,cikis,sebep,getiri_%,poz_tl,tl_kar
2026-01-02,ARENA,dip,28.82,28.24,gun_sonu,-2.05,33333.0,-683.0
2026-01-02,BMSCH,kirilim,30.4,31.312,hedef,2.97,33333.0,990.0
2026-01-02,KRVGD,kirilim,2.76,2.8,gun_sonu,1.42,33333.0,473.0
2026-01-05,ALCAR,dip,868.5,857.5,gun_sonu,-1.3,11198.0,-146.0
2026-01-05,BIENY,dip,25.0,25.3,gun_sonu,1.17,11198.0,131.0
2026-01-05,ESCAR,dip,25.52,24.7544,stop,-3.03,11198.0,-339.0
2026-01-05,GOKNR,dip,20.0,20.36,gun_sonu,1.77,11198.0,198.0
2026-01-05,GZNMI,dip,58.0,59.74,hedef,2.97,11198.0,333.0
2026-01-05,JANTS,dip,20.58,21.1974,hedef,2.97,11198.0,333.0
2026-01-05,MARKA,dip,41.0,39.77,stop,-3.03,11198.0,-339.0
2026-01-05,QUAGR,dip,2.9,2.813,stop,-3.03,11198.0,-339.0
2026-01-05,SONME,kirilim,185.0,190.55,hedef,2.97,11198.0,333.0
2026-01-06,KSTUR,dip,3300.0,3399.0,hedef,2.97,100943.0,2998.0
2026-01-07,KCAER,dip,10.7,10.379,stop,-3.03,51971.0,-1575.0
2026-01-07,KRGYO,dip,3.09,2.9973,stop,-3.03,51971.0,-1575.0
2026-01-08,ANGEN,dip,10.74,10.91,gun_sonu,1.55,50396.0,781.0
2026-01-08,KLSYN,kirilim,8.23,8.4769,hedef,2.97,50396.0,1497.0
2026-01-12,BORLS,dip,3.47,3.3659,stop,-3.03,20614.0,-625.0
2026-01-12,BRLSM,dip,13.51,13.9153,hedef,2.97,20614.0,612.0
2026-01-12,FENER,dip,3.19,3.0943,stop,-3.03,20614.0,-625.0
2026-01-12,KLGYO,kirilim,7.7,7.931,hedef,2.97,20614.0,612.0
2026-01-12,ORGE,dip,67.0,67.1,gun_sonu,0.12,20614.0,25.0
2026-01-13,ARENA,dip,30.5,31.415,hedef,2.97,34357.0,1020.0
2026-01-13,BORLS,dip,3.01,3.1003,hedef,2.97,34357.0,1020.0
2026-01-13,ORGE,dip,68.5,68.4,gun_sonu,-0.18,34357.0,-62.0
2026-01-14,BORLS,dip,2.96,2.8712,stop,-3.03,21010.0,-637.0
2026-01-14,DCTTR,dip,9.2,9.476,hedef,2.97,21010.0,624.0
2026-01-14,DNISI,dip,20.0,19.72,gun_sonu,-1.43,21010.0,-300.0
2026-01-14,NATEN,dip,9.49,9.48,gun_sonu,-0.14,21010.0,-29.0
2026-01-14,POLTK,dip,6160.0,6140.0,gun_sonu,-0.36,21010.0,-76.0
2026-01-15,AKYHO,dip,2.64,2.67,gun_sonu,1.1,20926.0,230.0
2026-01-15,ATAKP,kirilim,57.9,59.637,hedef,2.97,20926.0,622.0
2026-01-15,BORLS,dip,2.62,2.6986,hedef,2.97,20926.0,622.0
2026-01-15,ELITE,dip,29.0,29.6,gun_sonu,2.04,20926.0,427.0
2026-01-15,ONCSM,kirilim,299.5,308.485,hedef,2.97,20926.0,622.0
2026-01-16,BESLR,dip,13.34,13.7402,hedef,2.97,26788.0,796.0
2026-01-16,SEGMN,kirilim,28.0,28.84,hedef,2.97,26788.0,796.0
2026-01-16,TEZOL,dip,12.17,12.16,gun_sonu,-0.12,26788.0,-32.0
2026-01-16,YYLGD,kirilim,11.65,11.9995,hedef,2.97,26788.0,796.0
2026-01-19,DGNMO,dip,5.05,5.01,gun_sonu,-0.83,27377.0,-227.0
