hisse,grup,olay,hedef,stop,gun_sonu,compound_%,durum,ort_getiri_%,ort_max_%,ort_min_%,en_yuksek_max_%,en_derin_min_%,tarihler
GZNMI,DIP,8,6,1,1,17.26,KAR,2.03,4.83,-2.8,7.76,-6.61,"01-05, 02-11, 02-13, 02-16, 03-05, 03-19, 04-29, 05-26"
BIENY,DIP,7,4,0,3,15.99,KAR,2.15,4.58,-0.85,8.31,-2.87,"01-05, 02-16, 03-02, 03-05, 03-19, 04-29, 05-26"
MERCN,DIP,5,3,0,2,13.37,KAR,2.54,4.79,-0.89,9.09,-1.77,"02-09, 02-10, 03-02, 03-19, 04-17"
INVES,DIP,4,4,0,0,12.42,KAR,2.97,11.18,-1.4,22.0,-2.64,"03-02, 03-03, 03-04, 03-05"
SMRVA,DIP,6,4,0,2,11.76,KAR,1.88,3.55,-4.65,6.24,-9.68,"03-02, 03-19, 04-02, 04-13, 04-16, 05-26"
GIPTA,DIP,4,3,0,1,11.27,KAR,2.71,5.57,-1.02,7.58,-2.28,"03-02, 03-10, 03-16, 03-19"
DERHL,DIP,9,5,2,2,9.84,KAR,1.08,3.89,-5.64,9.73,-10.63,"01-23, 01-26, 02-03, 02-04, 02-26, 03-19, 05-26, 06-02, 06-08"
YBTAS,DIP,4,3,0,1,9.81,KAR,2.37,4.13,1.49,6.59,0.0,"01-20, 03-11, 03-12, 03-16"
VSNMD,DIP,8,5,2,1,9.31,KAR,1.15,3.46,-3.71,7.17,-12.31,"01-21, 02-12, 02-19, 03-19, 04-15, 04-16, 05-26, 06-29"
DESPC,DIP,3,3,0,0,9.18,KAR,2.97,4.48,-0.56,5.73,-2.46,"03-03, 03-19, 05-04"
ELITE,DIP,4,2,0,2,8.16,KAR,1.99,2.77,-1.29,4.07,-2.76,"01-15, 03-12, 03-19, 04-20"
TATEN,DIP,3,2,0,1,7.49,KAR,2.44,5.88,-1.28,8.75,-1.97,"03-02, 03-09, 03-10"
IHYAY,DIP,6,2,0,4,7.48,KAR,1.22,2.64,-2.06,4.84,-8.6,"01-23, 02-16, 03-19, 05-06, 05-26, 06-23"
HATEK,DIP,6,3,1,2,7.27,KAR,1.2,3.96,-1.97,8.19,-4.74,"02-17, 02-24, 03-09, 03-19, 04-20, 05-26"
CEOEM,DIP,4,2,0,2,7.09,KAR,1.74,5.26,-0.69,14.12,-2.51,"02-16, 03-02, 03-19, 04-07"
ESEN,DIP,5,3,1,1,6.91,KAR,1.37,2.52,-5.25,4.12,-12.86,"01-22, 03-19, 04-22, 05-12, 05-26"
PAMEL,DIP,3,2,0,1,6.91,KAR,2.26,4.39,-1.02,5.81,-2.12,"02-20, 03-02, 03-19"
ORGE,DIP,5,2,0,3,6.09,KAR,1.2,2.53,-1.27,5.38,-3.39,"01-12, 01-13, 02-18, 03-02, 03-19"
TURGG,DIP,3,2,0,1,6.07,KAR,1.99,4.1,-0.68,6.92,-1.47,"01-21, 03-19, 04-03"
DCTTR,DIP,2,2,0,0,6.03,KAR,2.97,5.9,-1.76,6.63,-2.93,"01-14, 03-19"
DOFER,DIP,2,2,0,0,6.03,KAR,2.97,7.18,-0.42,10.43,-0.98,"03-02, 05-26"
GOODY,DIP,2,2,0,0,6.03,KAR,2.97,470.4,461.36,476.63,459.37,"03-19, 03-26"
VERTU,DIP,2,2,0,0,6.03,KAR,2.97,16.53,0.52,18.15,-1.76,"03-02, 05-22"
ADESE,DIP,2,1,0,1,6.0,KAR,2.96,4.14,-1.43,5.31,-1.98,"04-16, 05-26"
NATEN,DIP,4,2,0,2,6.0,KAR,1.48,4.18,-0.96,6.53,-2.0,"01-14, 03-02, 03-19, 05-26"
TRILC,DIP,4,2,0,2,5.96,KAR,1.47,3.26,-0.9,7.14,-2.22,"01-26, 03-02, 03-19, 06-11"
