tarih,hisse,tf,giris_rapor,giris_sim,sebep_rapor,sebep_sim,getiri_rapor,getiri_sim,durum,hatalar,kat,getiri_%
2026-01-02,ARENA,15dk,28.82,28.82,gun_sonu,gun_sonu,-2.05,-2.05,PASS,,7.0,-2.05
2026-01-02,BMSCH,15dk,30.4,30.4,hedef,hedef,2.97,2.97,PASS,,6.5,2.97
2026-01-02,KRVGD,15dk,2.76,2.76,gun_sonu,gun_sonu,1.42,1.42,PASS,,5.0,1.42
2026-01-05,ALCAR,15dk,868.5,868.5,gun_sonu,gun_sonu,-1.3,-1.3,PASS,,7.4,-1.3
2026-01-05,BIENY,15dk,25.0,25.0,gun_sonu,gun_sonu,1.17,1.17,PASS,,11.6,1.17
2026-01-05,ESCAR,15dk,25.52,25.52,stop,stop,-3.03,-3.03,PASS,,9.5,-3.03
2026-01-05,GOKNR,15dk,20.0,20.0,gun_sonu,gun_sonu,1.77,1.77,PASS,,5.0,1.77
2026-01-05,GZNMI,15dk,58.0,58.0,hedef,hedef,2.97,2.97,PASS,,6.0,2.97
2026-01-05,JANTS,15dk,20.58,20.58,hedef,hedef,2.97,2.97,PASS,,22.6,2.97
2026-01-05,MARKA,15dk,41.0,41.0,stop,stop,-3.03,-3.03,PASS,,6.1,-3.03
2026-01-05,QUAGR,15dk,2.9,2.9,stop,stop,-3.03,-3.03,PASS,,20.5,-3.03
2026-01-05,SONME,15dk,185.0,185.0,hedef,hedef,2.97,2.97,PASS,,10.0,2.97
2026-01-06,KSTUR,1dk,3300.0,3300.0,hedef,hedef,2.97,2.97,PASS,,5.1,2.97
2026-01-07,KCAER,15dk,10.7,10.7,stop,stop,-3.03,-3.03,PASS,,8.8,-3.03
2026-01-07,KRGYO,15dk,3.09,3.09,stop,stop,-3.03,-3.03,PASS,,15.0,-3.03
2026-01-08,ANGEN,15dk,10.74,10.74,gun_sonu,gun_sonu,1.55,1.55,PASS,,5.0,1.55
2026-01-08,KLSYN,15dk,8.23,8.23,hedef,hedef,2.97,2.97,PASS,,19.5,2.97
2026-01-12,BORLS,15dk,3.47,3.47,stop,stop,-3.03,-3.03,PASS,,9.0,-3.03
2026-01-12,BRLSM,15dk,13.51,13.51,hedef,hedef,2.97,2.97,PASS,,5.1,2.97
2026-01-12,FENER,15dk,3.19,3.19,stop,stop,-3.03,-3.03,PASS,,5.1,-3.03
2026-01-12,KLGYO,15dk,7.7,7.7,hedef,hedef,2.97,2.97,PASS,,17.4,2.97
2026-01-12,ORGE,15dk,67.0,67.0,gun_sonu,gun_sonu,0.12,0.12,PASS,,10.2,0.12
2026-01-13,ARENA,15dk,30.5,30.5,hedef,hedef,2.97,2.97,PASS,,9.9,2.97
2026-01-13,BORLS,15dk,3.01,3.01,hedef,hedef,2.97,2.97,PASS,,8.0,2.97
2026-01-13,ORGE,15dk,68.5,68.5,gun_sonu,gun_sonu,-0.18,-0.18,PASS,,10.5,-0.18
2026-01-14,BORLS,15dk,2.96,2.96,stop,stop,-3.03,-3.03,PASS,,8.6,-3.03
2026-01-14,DCTTR,15dk,9.2,9.2,hedef,hedef,2.97,2.97,PASS,,9.2,2.97
2026-01-14,DNISI,15dk,20.0,20.0,gun_sonu,gun_sonu,-1.43,-1.43,PASS,,6.5,-1.43
2026-01-14,NATEN,15dk,9.49,9.49,gun_sonu,gun_sonu,-0.14,-0.14,PASS,,6.3,-0.14
2026-01-14,POLTK,15dk,6160.0,6160.0,gun_sonu,gun_sonu,-0.36,-0.36,PASS,,18.1,-0.36
2026-01-15,AKYHO,15dk,2.64,2.64,gun_sonu,gun_sonu,1.1,1.1,PASS,,5.3,1.1
2026-01-15,ATAKP,15dk,57.9,57.9,hedef,hedef,2.97,2.97,PASS,,13.9,2.97
2026-01-15,BORLS,15dk,2.62,2.62,hedef,hedef,2.97,2.97,PASS,,5.4,2.97
2026-01-15,ELITE,15dk,29.0,29.0,gun_sonu,gun_sonu,2.04,2.04,PASS,,6.6,2.04
2026-01-15,ONCSM,15dk,299.5,299.5,hedef,hedef,2.97,2.97,PASS,,18.6,2.97
2026-01-16,BESLR,15dk,13.34,13.34,hedef,hedef,2.97,2.97,PASS,,5.1,2.97
2026-01-16,SEGMN,15dk,28.0,28.0,hedef,hedef,2.97,2.97,PASS,,19.2,2.97
2026-01-16,TEZOL,15dk,12.17,12.17,gun_sonu,gun_sonu,-0.12,-0.12,PASS,,5.8,-0.12
2026-01-16,YYLGD,15dk,11.65,11.65,hedef,hedef,2.97,2.97,PASS,,5.4,2.97
2026-01-19,DGNMO,15dk,5.05,5.05,gun_sonu,gun_sonu,-0.83,-0.83,PASS,,9.1,-0.83
2026-01-19,GRNYO,15dk,18.32,18.32,stop,stop,-3.03,-3.03,PASS,,7.9,-3.03
2026-01-19,ONCSM,15dk,329.0,329.0,hedef,hedef,2.97,2.97,PASS,,5.8,2.97
2026-01-19,TEZOL,15dk,12.16,12.16,gun_sonu,gun_sonu,-0.36,-0.36,PASS,,7.9,-0.36
2026-01-20,IHAAS,15dk,44.0,44.0,hedef,hedef,2.97,2.97,PASS,,5.5,2.97
2026-01-20,LINK,15dk,6.5304225,6.5304,stop,stop,-3.03,-3.03,PASS,,22.3,-3.03
2026-01-20,RUBNS,15dk,33.9,33.9,hedef,hedef,2.97,2.97,PASS,,16.9,2.97
2026-01-20,YBTAS,1dk,20.0,20.0,hedef,hedef,2.97,2.97,PASS,,5.2,2.97
2026-01-20,YKSLN,15dk,3.15,3.15,gun_sonu,gun_sonu,-1.3,-1.3,PASS,,6.2,-1.3
2026-01-21,GATEG,1dk,310.0,310.0,stop,stop,-3.03,-3.03,PASS,,8.0,-3.03
2026-01-21,TURGG,15dk,27.16,27.16,hedef,hedef,2.97,2.97,PASS,,12.6,2.97
2026-01-21,VSNMD,15dk,104.0,104.0,stop,stop,-3.03,-3.03,PASS,,17.9,-3.03
2026-01-22,ESEN,15dk,5.7,5.7,stop,stop,-3.03,-3.03,PASS,,9.3,-3.03
2026-01-23,CEMAS,15dk,4.29,4.29,stop,stop,-3.03,-3.03,PASS,,14.5,-3.03
2026-01-23,DERHL,15dk,14.42,14.42,stop,stop,-3.03,-3.03,PASS,,17.5,-3.03
2026-01-23,GOZDE,15dk,24.7,24.7,gun_sonu,gun_sonu,1.83,1.83,PASS,,10.3,1.83
2026-01-23,IHYAY,15dk,2.01,2.01,hedef,hedef,2.97,2.97,PASS,,7.0,2.97
2026-01-26,BIZIM,15dk,31.0,31.0,hedef,hedef,2.97,2.97,PASS,,6.1,2.97
2026-01-26,CATES,15dk,41.02,41.02,hedef,hedef,2.97,2.97,PASS,,10.5,2.97
2026-01-26,DERHL,15dk,14.4,14.4,hedef,hedef,2.97,2.97,PASS,,5.7,2.97
2026-01-26,KERVN,1dk,1.91,1.91,hedef,hedef,2.97,2.97,PASS,,5.4,2.97
2026-01-26,KLKIM,15dk,41.26,41.26,gun_sonu,gun_sonu,-1.54,-1.54,PASS,,5.7,-1.54
2026-01-26,KRDMA,15dk,27.0,27.0,hedef,hedef,2.97,2.97,PASS,,6.9,2.97
2026-01-26,TRILC,15dk,2.83978258,2.8398,hedef,hedef,2.97,2.97,PASS,,7.2,2.97
2026-01-26,TUREX,15dk,7.8,7.8,gun_sonu,gun_sonu,-1.44,-1.44,PASS,,10.0,-1.44
2026-01-27,BAKAB,15dk,45.48,45.48,hedef,hedef,2.97,2.97,PASS,,13.1,2.97
2026-01-27,SANFM,15dk,7.97,7.97,stop,stop,-3.03,-3.03,PASS,,24.7,-3.03
2026-01-28,ALVES,15dk,4.15,4.15,gun_sonu,gun_sonu,2.62,2.62,PASS,,15.1,2.62
2026-01-28,ATLAS,15dk,6.78,6.78,hedef,hedef,2.97,2.97,PASS,,7.2,2.97
2026-01-28,ESCAR,15dk,25.0,25.0,hedef,hedef,2.97,2.97,PASS,,10.3,2.97
2026-01-28,TUREX,15dk,8.28,8.28,stop,stop,-3.03,-3.03,PASS,,5.3,-3.03
2026-01-29,BIGEN,15dk,9.62,9.62,gun_sonu,gun_sonu,-2.42,-2.42,PASS,,7.3,-2.42
2026-01-29,ERBOS,15dk,215.0,215.0,gun_sonu,gun_sonu,-1.01,-1.01,PASS,,10.8,-1.01
2026-01-29,ISFIN,15dk,21.0,21.0,gun_sonu,gun_sonu,1.21,1.21,PASS,,51.2,1.21
2026-01-30,GATEG,1dk,372.0,372.0,stop,stop,-3.03,-3.03,PASS,,64.2,-3.03
2026-01-30,GENIL,15dk,8.6599134,8.6599,hedef,hedef,2.97,2.97,PASS,,51.1,2.97
2026-02-02,AKFYE,15dk,18.75,18.75,hedef,hedef,2.97,2.97,PASS,,9.8,2.97
2026-02-02,BYDNR,15dk,34.02,34.02,hedef,hedef,2.97,2.97,PASS,,5.3,2.97
2026-02-02,GENIL,15dk,8.3865828,8.3866,gun_sonu,gun_sonu,-1.54,-1.54,PASS,,14.7,-1.54
2026-02-02,HUNER,15dk,3.2,3.2,hedef,hedef,2.97,2.97,PASS,,7.5,2.97
2026-02-02,TEZOL,15dk,12.79,12.79,gun_sonu,gun_sonu,0.36,0.36,PASS,,6.5,0.36
2026-02-03,DERHL,15dk,15.72,15.72,hedef,hedef,2.97,2.97,PASS,,11.1,2.97
2026-02-03,TRCAS,15dk,48.32,48.32,hedef,hedef,2.97,2.97,PASS,,8.6,2.97
