tarih,hisse,rapor_giris,tv_kaynak,yf_kaynak,tv_open,tv_high,tv_low,tv_close,tv_prev_close,yf_open,yf_high,yf_low,yf_close,yf_prev_close,yf_1h_open,open_fark_%,giris_tv_fark_%,giris_yf_fark_%,sorun,durum
2026-01-02,ARENA,28.82,cache_saatlik,yfinance,28.82,29.48,27.98,28.24,28.3,28.82,29.48,27.98,28.24,,28.82,0.0,0.0,0.0,OK,OK
2026-01-02,BMSCH,30.4,cache_saatlik,yfinance,30.4,33.44,30.4,33.44,30.4,30.4,33.44,30.4,33.44,,30.4,0.0,0.0,0.0,OK,OK
2026-01-02,KRVGD,2.76,cache_saatlik,yfinance,2.76,2.83,2.71,2.8,2.76,2.76,2.83,2.71,2.8,,2.76,0.0,0.0,0.0,OK,OK
2026-01-05,ALCAR,868.5,cache_saatlik,yfinance,868.5,872.0,853.0,857.5,868.5,868.5,872.0,853.0,857.5,868.5,868.5,0.0,0.0,0.0,OK,OK
2026-01-05,BIENY,25.0,cache_saatlik,yfinance,25.0,25.68,24.92,25.3,26.1,25.0,25.68,24.92,25.3,26.1,25.0,0.0,0.0,0.0,OK,OK
2026-01-05,ESCAR,25.52,cache_saatlik,yfinance,25.52,26.0,24.5,24.7,25.5,25.52,26.0,24.5,24.7,25.5,25.52,0.0,0.0,0.0,OK,OK
2026-01-05,GOKNR,20.0,cache_saatlik,yfinance,20.0,20.56,19.8,20.36,19.95,20.0,20.56,19.8,20.36,19.95,20.0,0.0,0.0,0.0,OK,OK
2026-01-05,GZNMI,58.0,cache_saatlik,yfinance,58.0,62.5,56.8,56.95,62.7,58.0,62.5,56.8,56.95,62.7,58.0,0.0,0.0,0.0,OK,OK
2026-01-05,JANTS,20.58,cache_saatlik,yfinance,20.58,21.5,20.1,20.1,20.46,20.58,21.5,20.1,20.1,20.46,20.58,0.0,0.0,0.0,OK,OK
2026-01-05,MARKA,41.0,cache_saatlik,yfinance,41.0,41.4,39.66,40.4,40.1,41.0,41.4,39.66,40.4,40.1,41.0,0.0,0.0,0.0,OK,OK
2026-01-05,QUAGR,2.9,cache_saatlik,yfinance,2.9,2.93,2.76,2.79,3.05,2.9,2.93,2.76,2.79,3.05,2.9,0.0,0.0,0.0,OK,OK
2026-01-05,SONME,185.0,cache_saatlik,yfinance,185.0,194.9,177.0,177.0,182.6,185.0,194.9,177.0,177.0,182.6,185.0,0.0,0.0,0.0,OK,OK
2026-01-06,KSTUR,3300.0,cache_saatlik,yfinance,3300.0,3410.0,3300.0,3410.0,3100.0,3300.0,3410.0,3300.0,3410.0,3100.0,3300.0,0.0,0.0,0.0,OK,OK
2026-01-07,KCAER,10.7,cache_saatlik,yfinance,10.7,10.92,10.17,10.42,10.6,10.7,10.92,10.17,10.42,10.6,10.7,0.0,0.0,0.0,OK,OK
2026-01-07,KRGYO,3.09,cache_saatlik,yfinance,3.09,3.12,2.96,2.96,3.09,3.09,3.12,2.96,2.96,3.09,3.09,0.0,0.0,0.0,OK,OK
2026-01-08,ANGEN,10.74,cache_saatlik,yfinance,10.74,10.94,10.61,10.91,10.85,10.74,10.94,10.61,10.91,10.85,10.74,0.0,0.0,0.0,OK,OK
2026-01-08,KLSYN,8.23,cache_saatlik,yfinance,8.23,8.48,7.49,7.75,7.87,8.23,8.48,7.49,7.75,7.87,8.23,0.0,0.0,0.0,OK,OK
2026-01-12,BORLS,3.47,cache_saatlik,yfinance,3.47,3.47,3.23,3.23,3.58,3.47,3.47,3.23,3.23,3.58,3.47,0.0,0.0,0.0,OK,OK
2026-01-12,BRLSM,13.51,cache_saatlik,yfinance,13.51,13.96,13.51,13.81,13.76,13.51,13.96,13.51,13.81,13.76,13.51,0.0,0.0,0.0,OK,OK
2026-01-12,FENER,3.19,cache_saatlik,yfinance,3.19,3.21,3.05,3.08,3.13,3.19,3.21,3.05,3.08,3.13,3.19,0.0,0.0,0.0,OK,OK
2026-01-12,KLGYO,7.7,cache_saatlik,yfinance,7.7,8.3,7.67,7.93,7.55,7.7,8.3,7.67,7.93,7.55,7.7,0.0,0.0,0.0,OK,OK
2026-01-12,ORGE,67.0,cache_saatlik,yfinance,67.0,67.55,66.1,67.1,67.0,67.0,67.55,66.1,67.1,67.0,67.0,0.0,0.0,0.0,OK,OK
2026-01-13,ARENA,30.5,cache_saatlik,yfinance,30.5,32.42,30.24,31.48,30.32,30.5,32.42,30.24,31.48,30.32,30.5,0.0,0.0,0.0,OK,OK
2026-01-13,BORLS,3.01,cache_saatlik,yfinance,3.01,3.18,3.0,3.13,3.23,3.01,3.18,3.0,3.13,3.23,3.01,0.0,0.0,0.0,OK,OK
2026-01-13,ORGE,68.5,cache_saatlik,yfinance,68.5,70.35,68.1,68.4,67.1,68.5,70.35,68.1,68.4,67.1,68.5,0.0,0.0,0.0,OK,OK
2026-01-14,BORLS,2.96,cache_saatlik,yfinance,2.96,3.03,2.82,2.82,3.13,2.96,3.03,2.82,2.82,3.13,2.96,0.0,0.0,0.0,OK,OK
2026-01-14,DCTTR,9.2,cache_saatlik,yfinance,9.2,9.81,8.93,9.77,8.92,9.2,9.81,8.93,9.77,8.92,9.2,0.0,0.0,0.0,OK,OK
2026-01-14,DNISI,20.0,cache_saatlik,yfinance,20.0,20.5,19.69,19.72,19.88,20.0,20.5,19.69,19.72,19.88,20.0,0.0,0.0,0.0,OK,OK
2026-01-14,NATEN,9.49,cache_saatlik,yfinance,9.49,9.75,9.3,9.48,9.42,9.49,9.75,9.3,9.48,9.42,9.49,0.0,0.0,0.0,OK,OK
2026-01-14,POLTK,6160.0,cache_saatlik,yfinance,6160.0,6302.5,6140.0,6140.0,6320.0,6160.0,6302.5,6140.0,6140.0,6320.0,6160.0,0.0,0.0,0.0,OK,OK
