tarih,hisse,kova,grup,kat,pos52,giris,tf,sebep,cikis,cikis_saat,getiri_%,max_%,min_%,max_saat,min_saat,max_fiyat,min_fiyat
2026-01-02,ARENA,dipkir,dip,7.0,0.097,28.82,15dk,gun_sonu,28.24,18:00,-2.05,2.29,-2.91,16:15,10:15,29.48,27.98
2026-01-05,ALCAR,dipkir,dip,7.4,0.1,868.5,15dk,gun_sonu,857.5,18:00,-1.3,0.4,-1.78,10:00,15:45,872.0,853.0
2026-01-05,BIENY,dipkir,dip,11.6,0.021,25.0,15dk,gun_sonu,25.3,18:00,1.17,2.72,-0.32,10:00,10:00,25.68,24.92
2026-01-05,ESCAR,dipkir,dip,9.5,0.118,25.52,15dk,stop,24.7544,12:45,-3.03,1.88,-4.0,10:00,13:30,26.0,24.5
2026-01-05,GOKNR,dipkir,dip,5.0,0.09,20.0,15dk,gun_sonu,20.36,18:00,1.77,2.8,-1.0,15:30,10:00,20.56,19.8
2026-01-05,GZNMI,dipkir,dip,6.0,0.035,58.0,15dk,hedef,59.74,10:00,2.97,7.76,-2.07,12:15,17:30,62.5,56.8
2026-01-05,JANTS,dipkir,dip,22.6,0.169,20.58,15dk,hedef,21.1974,10:30,2.97,4.47,-2.33,11:00,18:00,21.5,20.1
2026-01-05,MARKA,dipkir,dip,6.1,0.19,41.0,15dk,stop,39.77,10:15,-3.03,0.98,-3.27,10:00,10:30,41.4,39.66
2026-01-05,QUAGR,dipkir,dip,20.5,0.036,2.9,15dk,stop,2.813,10:15,-3.03,1.03,-4.83,10:00,17:30,2.93,2.76
2026-01-06,KSTUR,dipkir,dip,5.1,0.183,3300.0,1dk,hedef,3399.0,12:55,2.97,3.33,3.33,18:05,18:05,3410.0,3410.0
2026-01-07,KCAER,dipkir,dip,8.8,0.117,10.7,15dk,stop,10.379,17:45,-3.03,2.06,-4.95,10:00,17:45,10.92,10.17
2026-01-07,KRGYO,dipkir,dip,15.0,0.133,3.09,15dk,stop,2.9973,11:30,-3.03,0.97,-4.21,10:00,18:00,3.12,2.96
2026-01-08,ANGEN,dipkir,dip,5.0,0.166,10.74,15dk,gun_sonu,10.91,18:00,1.55,1.86,-1.21,17:45,10:30,10.94,10.61
2026-01-08,KLSYN,dipkir,kirilim,19.5,1.073,8.23,15dk,hedef,8.4769,10:00,2.97,3.04,-8.99,10:00,10:30,8.48,7.49
2026-01-12,BORLS,dipkir,dip,9.0,-0.004,3.47,15dk,stop,3.3659,10:15,-3.03,0.0,-6.92,10:00,18:00,3.47,3.23
2026-01-12,BRLSM,dipkir,dip,5.1,0.171,13.51,15dk,hedef,13.9153,11:15,2.97,3.33,0.07,14:30,10:00,13.96,13.52
2026-01-12,FENER,dipkir,dip,5.1,0.057,3.19,15dk,stop,3.0943,15:45,-3.03,0.63,-4.39,10:00,16:00,3.21,3.05
2026-01-12,ORGE,dipkir,dip,10.2,0.048,67.0,15dk,gun_sonu,67.1,18:00,0.12,0.82,-1.34,15:45,10:00,67.55,66.1
2026-01-13,ARENA,dipkir,dip,9.9,0.156,30.5,15dk,hedef,31.415,10:00,2.97,6.3,-0.85,11:00,10:00,32.42,30.24
2026-01-13,BORLS,dipkir,dip,8.0,-0.007,3.01,15dk,hedef,3.1003,10:00,2.97,5.65,-0.33,17:45,10:00,3.18,3.0
2026-01-13,ORGE,dipkir,dip,10.5,0.081,68.5,15dk,gun_sonu,68.4,18:00,-0.18,2.7,-0.58,10:15,10:00,70.35,68.1
2026-01-14,BORLS,dipkir,dip,8.6,-0.001,2.96,15dk,stop,2.8712,10:15,-3.03,2.36,-4.73,10:00,18:00,3.03,2.82
2026-01-14,DCTTR,dipkir,dip,9.2,0.154,9.2,15dk,hedef,9.476,10:15,2.97,6.63,-2.93,10:30,10:00,9.81,8.93
