tarih,hisse,grup,giris,cikis,sebep,getiri_%,poz_tl,tl_kar
2026-01-02,ARENA,dip,28.82,28.24,gun_sonu,-2.05,100000.0,-2050.0
2026-01-05,ALCAR,dip,868.5,857.5,gun_sonu,-1.3,12244.0,-159.0
2026-01-05,BIENY,dip,25.0,25.3,gun_sonu,1.17,12244.0,143.0
2026-01-05,ESCAR,dip,25.52,24.7544,stop,-3.03,12244.0,-371.0
2026-01-05,GOKNR,dip,20.0,20.36,gun_sonu,1.77,12244.0,217.0
2026-01-05,GZNMI,dip,58.0,59.74,hedef,2.97,12244.0,364.0
2026-01-05,JANTS,dip,20.58,21.1974,hedef,2.97,12244.0,364.0
2026-01-05,MARKA,dip,41.0,39.77,stop,-3.03,12244.0,-371.0
2026-01-05,QUAGR,dip,2.9,2.813,stop,-3.03,12244.0,-371.0
2026-01-06,KSTUR,dip,3300.0,3399.0,hedef,2.97,97765.0,2904.0
2026-01-07,KCAER,dip,10.7,10.379,stop,-3.03,50334.0,-1525.0
2026-01-07,KRGYO,dip,3.09,2.9973,stop,-3.03,50334.0,-1525.0
2026-01-08,ANGEN,dip,10.74,10.91,gun_sonu,1.55,48809.0,757.0
2026-01-08,KLSYN,kirilim,8.23,8.4769,hedef,2.97,48809.0,1450.0
2026-01-12,BORLS,dip,3.47,3.3659,stop,-3.03,24956.0,-756.0
2026-01-12,BRLSM,dip,13.51,13.9153,hedef,2.97,24956.0,741.0
2026-01-12,FENER,dip,3.19,3.0943,stop,-3.03,24956.0,-756.0
2026-01-12,ORGE,dip,67.0,67.1,gun_sonu,0.12,24956.0,30.0
2026-01-13,ARENA,dip,30.5,31.415,hedef,2.97,33028.0,981.0
2026-01-13,BORLS,dip,3.01,3.1003,hedef,2.97,33028.0,981.0
2026-01-13,ORGE,dip,68.5,68.4,gun_sonu,-0.18,33028.0,-59.0
2026-01-14,BORLS,dip,2.96,2.8712,stop,-3.03,20197.0,-612.0
2026-01-14,DCTTR,dip,9.2,9.476,hedef,2.97,20197.0,600.0
2026-01-14,DNISI,dip,20.0,19.72,gun_sonu,-1.43,20197.0,-289.0
2026-01-14,NATEN,dip,9.49,9.48,gun_sonu,-0.14,20197.0,-28.0
2026-01-14,POLTK,dip,6160.0,6140.0,gun_sonu,-0.36,20197.0,-73.0
2026-01-15,AKYHO,dip,2.64,2.67,gun_sonu,1.1,33528.0,369.0
2026-01-15,BORLS,dip,2.62,2.6986,hedef,2.97,33528.0,996.0
2026-01-15,ELITE,dip,29.0,29.6,gun_sonu,2.04,33528.0,684.0
2026-01-16,BESLR,dip,13.34,13.7402,hedef,2.97,34211.0,1016.0
2026-01-16,SEGMN,kirilim,28.0,28.84,hedef,2.97,34211.0,1016.0
2026-01-16,TEZOL,dip,12.17,12.16,gun_sonu,-0.12,34211.0,-41.0
2026-01-19,DGNMO,dip,5.05,5.01,gun_sonu,-0.83,34875.0,-289.0
2026-01-19,ONCSM,kirilim,329.0,338.87,hedef,2.97,34875.0,1036.0
2026-01-19,TEZOL,dip,12.16,12.12,gun_sonu,-0.36,34875.0,-126.0
2026-01-20,LINK,dip,6.5304225,6.3345,stop,-3.03,35081.0,-1063.0
2026-01-20,YBTAS,dip,20.0,20.6,hedef,2.97,35081.0,1042.0
2026-01-20,YKSLN,dip,3.15,3.11,gun_sonu,-1.3,35081.0,-456.0
2026-01-21,GATEG,kirilim,310.0,300.7,stop,-3.03,34922.0,-1058.0
2026-01-21,TURGG,dip,27.16,27.9748,hedef,2.97,34922.0,1037.0
2026-01-21,VSNMD,dip,104.0,100.88,stop,-3.03,34922.0,-1058.0
2026-01-22,ESEN,dip,5.7,5.529,stop,-3.03,103688.0,-3142.0
2026-01-23,CEMAS,dip,4.29,4.1613,stop,-3.03,33515.0,-1016.0
2026-01-23,DERHL,dip,14.42,13.9874,stop,-3.03,33515.0,-1016.0
2026-01-23,IHYAY,dip,2.01,2.0703,hedef,2.97,33515.0,995.0
2026-01-26,BIZIM,kirilim,31.0,31.93,hedef,2.97,16585.0,493.0
2026-01-26,DERHL,dip,14.4,14.832,hedef,2.97,16585.0,493.0
2026-01-26,KERVN,dip,1.91,1.9673,hedef,2.97,16585.0,493.0
2026-01-26,KRDMA,dip,27.0,27.81,hedef,2.97,16585.0,493.0
2026-01-26,TRILC,dip,2.83978258,2.925,hedef,2.97,16585.0,493.0
2026-01-26,TUREX,dip,7.8,7.69,gun_sonu,-1.44,16585.0,-239.0
2026-01-27,SANFM,dip,7.97,7.7309,stop,-3.03,101735.0,-3083.0
2026-01-28,ESCAR,dip,25.0,25.75,hedef,2.97,49326.0,1465.0
2026-01-28,TUREX,dip,8.28,8.0316,stop,-3.03,49326.0,-1495.0
2026-01-29,BIGEN,dip,9.62,9.39,gun_sonu,-2.42,32874.0,-796.0
2026-01-29,ERBOS,kirilim,215.0,212.9,gun_sonu,-1.01,32874.0,-332.0
2026-01-29,ISFIN,kirilim,21.0,21.26,gun_sonu,1.21,32874.0,398.0
2026-01-30,GATEG,kirilim,372.0,360.84,stop,-3.03,48946.0,-1483.0
2026-01-30,GENIL,dip,8.6599134,8.9197,hedef,2.97,48946.0,1454.0
2026-02-02,GENIL,dip,8.3865828,8.2599,gun_sonu,-1.54,32621.0,-502.0
2026-02-02,HUNER,dip,3.2,3.296,hedef,2.97,32621.0,969.0
2026-02-02,TEZOL,dip,12.79,12.84,gun_sonu,0.36,32621.0,117.0
2026-02-03,DERHL,dip,15.72,16.1916,hedef,2.97,98447.0,2924.0
2026-02-04,ACSEL,dip,101.5,104.545,hedef,2.97,20274.0,602.0
2026-02-04,CMBTN,dip,1899.0,1899.0,gun_sonu,-0.03,20274.0,-6.0
2026-02-04,DERHL,dip,17.3,17.819,hedef,2.97,20274.0,602.0
2026-02-04,ESCAR,dip,27.0,26.74,gun_sonu,-1.0,20274.0,-203.0
2026-02-04,RAYSG,dip,232.0,225.04,stop,-3.03,20274.0,-614.0
2026-02-05,DYOBY,dip,14.2,14.626,hedef,2.97,101752.0,3022.0
2026-02-06,LINK,dip,5.753601,5.9262,hedef,2.97,104774.0,3112.0
2026-02-09,ARENA,dip,28.0,28.08,gun_sonu,0.25,17981.0,45.0
2026-02-09,BANVT,dip,168.7,173.761,hedef,2.97,17981.0,534.0
2026-02-09,EMKEL,dip,22.58,23.2574,hedef,2.97,17981.0,534.0
2026-02-09,MERCN,dip,18.0,18.44,gun_sonu,2.41,17981.0,433.0
2026-02-09,SUWEN,dip,8.75,8.68,gun_sonu,-0.83,17981.0,-149.0
2026-02-09,TEKTU,dip,9.33,9.6099,hedef,2.97,17981.0,534.0
2026-02-10,CMBTN,dip,1971.0,2030.13,hedef,2.97,36606.0,1087.0
2026-02-10,MERCN,dip,18.59,19.1477,hedef,2.97,36606.0,1087.0
2026-02-10,TTRAK,dip,580.5,563.085,stop,-3.03,36606.0,-1109.0
2026-02-11,DYOBY,dip,15.39,15.8517,hedef,2.97,27721.0,823.0
2026-02-11,GZNMI,dip,54.45,56.0835,hedef,2.97,27721.0,823.0
2026-02-11,MARKA,dip,39.64,38.4508,stop,-3.03,27721.0,-840.0
2026-02-11,PKENT,dip,169.9,174.997,hedef,2.97,27721.0,823.0
2026-02-12,VSNMD,dip,94.0,96.82,hedef,2.97,112513.0,3342.0
2026-02-13,GEREL,kirilim,27.44,26.6168,stop,-3.03,28964.0,-878.0
2026-02-13,GZNMI,dip,57.75,59.4825,hedef,2.97,28964.0,860.0
2026-02-13,QUAGR,dip,3.09,3.1827,hedef,2.97,28964.0,860.0
2026-02-13,YAPRK,dip,14.3571285,14.7878,hedef,2.97,28964.0,860.0
2026-02-16,ALBRK,kirilim,10.25,10.28,gun_sonu,0.26,9796.0,25.0
2026-02-16,BIENY,dip,27.2,28.016,hedef,2.97,9796.0,291.0
2026-02-16,CEOEM,dip,23.1,23.793,hedef,2.97,9796.0,291.0
2026-02-16,EKGYO,kirilim,26.5,26.04,gun_sonu,-1.77,9796.0,-173.0
2026-02-16,GZNMI,dip,65.05,67.0015,hedef,2.97,9796.0,291.0
2026-02-16,HLGYO,kirilim,5.0,5.15,hedef,2.97,9796.0,291.0
2026-02-16,IHLAS,dip,1.86973426,1.8136,stop,-3.03,9796.0,-297.0
2026-02-16,IHYAY,dip,1.97,1.99,gun_sonu,0.98,9796.0,96.0
2026-02-16,OZKGY,kirilim,16.1,16.24,gun_sonu,0.84,9796.0,82.0
2026-02-16,QUAGR,dip,3.46,3.5638,hedef,2.97,9796.0,291.0
2026-02-16,SANFM,dip,7.39,7.44,gun_sonu,0.64,9796.0,63.0
