tarih,hisse,kova,grup,kat,pos52,giris,tf,sebep,cikis,cikis_saat,getiri_%,max_%,min_%,max_saat,min_saat,max_fiyat,min_fiyat
2026-01-02,AHSGY,elenen,tepe,7.2,0.923,16.7,15dk,stop,16.199,10:15,-3.03,1.86,-4.97,12:00,10:00,17.01,15.87
2026-01-02,ANELE,elenen,orta,17.0,0.238,16.69,15dk,stop,16.1893,11:30,-3.03,2.22,-4.97,10:15,10:00,17.06,15.86
2026-01-02,BMSCH,elenen,tepe,6.5,0.96,30.4,15dk,hedef,31.312,10:00,2.97,10.0,0.0,18:00,10:00,33.44,30.4
2026-01-02,DGATE,elenen,orta,20.2,0.552,70.7,15dk,stop,68.579,10:15,-3.03,0.78,-4.95,17:00,10:00,71.25,67.2
2026-01-02,DMSAS,elenen,orta,6.8,0.317,9.2,15dk,gun_sonu,9.08,18:00,-1.34,2.61,-1.41,10:00,11:15,9.44,9.07
2026-01-02,IZINV,elenen,orta,6.3,0.507,63.9,15dk,gun_sonu,64.45,18:00,0.83,1.8,-1.8,11:15,10:15,65.05,62.75
2026-01-02,KRVGD,elenen,tepe,5.0,0.96,2.76,15dk,gun_sonu,2.8,18:00,1.42,2.54,-1.81,16:45,10:15,2.83,2.71
2026-01-02,NTGAZ,elenen,tepe,8.2,0.804,10.58,15dk,stop,10.2626,13:00,-3.03,0.0,-3.21,10:00,18:00,10.58,10.24
2026-01-02,NUHCM,elenen,orta,15.4,0.206,220.5,15dk,gun_sonu,222.6,18:00,0.92,2.45,0.45,11:45,10:00,225.9,221.5
2026-01-02,PARSN,elenen,orta,5.1,0.784,104.0,15dk,gun_sonu,102.6,18:00,-1.38,0.0,-2.6,10:00,10:15,104.0,101.3
2026-01-02,RUBNS,elenen,orta,10.7,0.535,23.84,15dk,hedef,24.5552,10:00,2.97,6.8,-1.43,18:00,10:00,25.46,23.5
2026-01-02,SEGYO,elenen,orta,12.5,0.4,4.94,15dk,hedef,5.0882,10:00,2.97,4.05,-1.01,10:00,11:30,5.14,4.89
2026-01-02,SONME,elenen,tepe,6.3,1.064,179.9,15dk,hedef,185.297,10:00,2.97,3.34,-4.95,10:00,12:00,185.9,171.0
2026-01-02,TRHOL,elenen,orta,6.1,0.604,525.5,15dk,hedef,541.265,10:00,2.97,9.9,0.0,10:00,18:00,577.5,525.5
